cynoglossus_semilaevis ENSCSEG00000001682
hippocampus_comes ENSHCOG00000006910
tetraodon_nigroviridis ENSTNIG00000017109
takifugu_rubripes ENSTRUG00000005912
gasterosteus_aculeatus ENSGACG00000002736
mola_mola ENSMMOG00000008004
seriola_dumerili ENSSDUG00000017782
seriola_lalandi_dorsalis ENSSLDG00000019651
scophthalmus_maximus ENSSMAG00000015670
mastacembelus_armatus ENSMAMG00000010631
monopterus_albus ENSMALG00000007189
anabas_testudineus ENSATEG00000008937
amphiprion_percula ENSAPEG00000006991
amphiprion_ocellaris ENSAOCG00000010190
acanthochromis_polyacanthus ENSAPOG00000004895
stegastes_partitus ENSSPAG00000008889
poecilia_formosa ENSPFOG00000013110
poecilia_latipinna ENSPLAG00000018351
poecilia_mexicana ENSPMEG00000003915
poecilia_reticulata ENSPREG00000010270
xiphophorus_maculatus ENSXMAG00000007370
xiphophorus_couchianus ENSXCOG00000006621
gambusia_affinis ENSGAFG00000003321
fundulus_heteroclitus ENSFHEG00000019053
cyprinodon_variegatus ENSCVAG00000016699
kryptolebias_marmoratus ENSKMAG00000016337
oryzias_latipes_asm223467v1 ENSORLG00000001625
oryzias_latipes_asm223471v1 ENSORLG00020020659
oryzias_latipes_asm223469v1 ENSORLG00015008734
oryzias_melastigma ENSOMEG00000001393
maylandia_zebra ENSMZEG00005018150
astatotilapia_calliptera ENSACLG00000015345
pundamilia_nyererei ENSPNYG00000006825
haplochromis_burtoni ENSHBUG00000020067
neolamprologus_brichardi ENSNBRG00000012188
oreochromis_niloticus ENSONIG00000002974
amphilophus_citrinellus ENSACIG00000010782
periophthalmus_magnuspinnatus ENSPMGG00000010629
gadus_morhua ENSGMOG00000019047
esox_lucius ENSELUG00000014318
pygocentrus_nattereri ENSPNAG00000008936
astyanax_mexicanus ENSAMXG00000001065
ictalurus_punctatus ENSIPUG00000012801
danio_rerio ENSDARG00000079857
scleropages_formosus ENSSFOG00015011799
paramormyrops_kingsleyae ENSPKIG00000003437
lepisosteus_oculatus ENSLOCG00000016119
apteryx_haastii ENSAHAG00000004744
apteryx_rowi ENSARWG00000003700
apteryx_owenii ENSAOWG00000014985
dromaius_novaehollandiae ENSDNVG00000013506
nothoprocta_perdicaria ENSNPEG00000003666
calidris_pygmaea ENSCPGG00000016062
calidris_pugnax ENSCPUG00000018035
melopsittacus_undulatus ENSMUNG00000016617
taeniopygia_guttata ENSTGUG00000006710
lonchura_striata_domestica ENSLSDG00000008702
serinus_canaria ENSSCAG00000014007
zonotrichia_albicollis ENSZALG00000009659
junco_hyemalis ENSJHYG00000004744
parus_major ENSPMJG00000014640
cyanistes_caeruleus ENSCCEG00000010752
ficedula_albicollis ENSFALG00000011044
manacus_vitellinus ENSMVIG00005007612
lepidothrix_coronata ENSLCOG00000012548
gallus_gallus ENSGALG00000007825
meleagris_gallopavo ENSMGAG00000001641
coturnix_japonica ENSCJPG00005016286
numida_meleagris ENSNMEG00000011399
anser_brachyrhynchus ENSABRG00000023067
anas_platyrhynchos_platyrhynchos ENSAPLG00000005956
crocodylus_porosus ENSCPRG00005013668
chrysemys_picta_bellii ENSCPBG00000026159
chelonoidis_abingdonii ENSCABG00000006696
pelodiscus_sinensis ENSPSIG00000014050
anolis_carolinensis ENSACAG00000002834
pogona_vitticeps ENSPVIG00000003708
notechis_scutatus ENSNSUG00000015686
salvator_merianae ENSSMRG00000014681
sphenodon_punctatus ENSSPUG00000007563
cavia_porcellus ENSCPOG00000004783
chinchilla_lanigera ENSCLAG00000009068
octodon_degus ENSODEG00000012067
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013196
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007243
fukomys_damarensis ENSFDAG00000009058
octodon_degus ENSODEG00000006792
urocitellus_parryii ENSUPAG00010011475
ictidomys_tridecemlineatus ENSSTOG00000005893
spermophilus_dauricus ENSSDAG00000015132
marmota_marmota_marmota ENSMMMG00000006843
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016983
mus_spicilegus ENSMSIG00000016739
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042208
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016140
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016750
rattus_norvegicus ENSRNOG00000054669
meriones_unguiculatus ENSMUGG00000005803
microtus_ochrogaster ENSMOCG00000011390
microtus_ochrogaster ENSMOCG00000002753
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018010
cricetulus_griseus_crigri-picr ENSCGRG00015027590
cricetulus_griseus_crigri_1.0 ENSCGRG00000005539
mesocricetus_auratus ENSMAUG00000007138
peromyscus_maniculatus_bairdii ENSPEMG00000002385
jaculus_jaculus ENSJJAG00000023772
castor_canadensis ENSCCNG00000009029
cavia_aperea ENSCAPG00000012522
cavia_aperea ENSCAPG00000001103
dipodomys_ordii ENSDORG00000011221
nannospalax_galili ENSNGAG00000015574
oryctolagus_cuniculus ENSOCUG00000009559
ochotona_princeps ENSOPRG00000009727
pan_paniscus ENSPPAG00000028445
pan_troglodytes ENSPTRG00000011954
homo_sapiens ENSG00000162929
gorilla_gorilla ENSGGOG00000024214
pongo_abelii ENSPPYG00000012388
nomascus_leucogenys ENSNLEG00000009560
piliocolobus_tephrosceles ENSPTEG00000017128
colobus_angolensis_palliatus ENSCANG00000041571
rhinopithecus_roxellana ENSRROG00000010642
rhinopithecus_bieti ENSRBIG00000033182
papio_anubis ENSPANG00000017323
theropithecus_gelada ENSTGEG00000008253
cercocebus_atys ENSCATG00000045345
chlorocebus_sabaeus ENSCSAG00000014480
mandrillus_leucophaeus ENSMLEG00000044342
