bos_taurus ENSBTAG00000007297
ovis_aries ENSOARG00000006891
sus_scrofa ENSSSCG00000030145
vicugna_pacos ENSVPAG00000008490
equus_caballus ENSECAG00000006939
mustela_putorius_furo ENSMPUG00000012850
neovison_vison ENSNVIG00000021812
ailuropoda_melanoleuca ENSAMEG00000019762
canis_lupus_familiaris ENSCAFG00000011472
pan_troglodytes ENSPTRG00000001502
homo_sapiens ENSG00000186306
gorilla_gorilla ENSGGOG00000008159
macaca_mulatta ENSMMUG00000019444
aotus_nancymaae ENSANAG00000001894
callithrix_jacchus ENSCJAG00000006444
carlito_syrichta ENSTSYG00000027768
otolemur_garnettii ENSOGAG00000011538
oryctolagus_cuniculus ENSOCUG00000013962
ochotona_princeps ENSOPRG00000003685
ictidomys_tridecemlineatus ENSSTOG00000001170
marmota_marmota_marmota ENSMMMG00000021167
loxodonta_africana ENSLAFG00000032718
sorex_araneus ENSSARG00000001161
erinaceus_europaeus ENSEEUG00000010920
dasypus_novemcinctus ENSDNOG00000043123
bison_bison_bison ENSBBBG00000021758
notamacropus_eugenii ENSMEUG00000002195
phascolarctos_cinereus ENSPCIG00000028720
sarcophilus_harrisii ENSSHAG00000007174
monodelphis_domestica ENSMODG00000010624
