equus_caballus ENSECAG00000018012
equus_asinus_asinus ENSEASG00005002190
ornithorhynchus_anatinus ENSOANG00000031140
dromaius_novaehollandiae ENSDNVG00000001860
bos_taurus ENSBTAG00000008091
bos_mutus ENSBMUG00000024445
bison_bison_bison ENSBBBG00000002743
capra_hircus ENSCHIG00000017025
ovis_aries ENSOARG00000020993
tursiops_truncatus ENSTTRG00000007024
sus_scrofa ENSSSCG00000006624
equus_asinus_asinus ENSEASG00005005619
sorex_araneus ENSSARG00000000216
gorilla_gorilla ENSGGOG00000039174
gorilla_gorilla ENSGGOG00000010547
pan_troglodytes ENSPTRG00000001287
pan_paniscus ENSPPAG00000043100
homo_sapiens ENSG00000143416
pongo_abelii ENSPPYG00000000866
nomascus_leucogenys ENSNLEG00000010183
rhinopithecus_roxellana ENSRROG00000037330
rhinopithecus_bieti ENSRBIG00000025453
colobus_angolensis_palliatus ENSCANG00000036429
piliocolobus_tephrosceles ENSPTEG00000028921
mandrillus_leucophaeus ENSMLEG00000043655
cercocebus_atys ENSCATG00000040948
chlorocebus_sabaeus ENSCSAG00000001800
macaca_fascicularis ENSMFAG00000033465
macaca_mulatta ENSMMUG00000045396
macaca_nemestrina ENSMNEG00000028510
theropithecus_gelada ENSTGEG00000016169
papio_anubis ENSPANG00000001762
callithrix_jacchus ENSCJAG00000007509
cebus_capucinus_imitator ENSCCAG00000022592
saimiri_boliviensis_boliviensis ENSSBOG00000032709
aotus_nancymaae ENSANAG00000035868
carlito_syrichta ENSTSYG00000034359
prolemur_simus ENSPSMG00000013638
propithecus_coquereli ENSPCOG00000015274
microcebus_murinus ENSMICG00000016742
otolemur_garnettii ENSOGAG00000008124
tupaia_belangeri ENSTBEG00000002411
loxodonta_africana ENSLAFG00000011764
echinops_telfairi ENSETEG00000013506
myotis_lucifugus ENSMLUG00000015228
myotis_lucifugus ENSMLUG00000030285
pteropus_vampyrus ENSPVAG00000011681
ursus_maritimus ENSUMAG00000002483
ursus_americanus ENSUAMG00000019431
ailuropoda_melanoleuca ENSAMEG00000000659
neovison_vison ENSNVIG00000015102
mustela_putorius_furo ENSMPUG00000003731
canis_lupus_familiaris ENSCAFG00000012675
canis_lupus_dingo ENSCAFG00020012883
vulpes_vulpes ENSVVUG00000012909
panthera_tigris_altaica ENSPTIG00000016772
panthera_pardus ENSPPRG00000022754
felis_catus ENSFCAG00000001859
procavia_capensis ENSPCAG00000011153
