sorex_araneus ENSSARG00000011052
pteropus_vampyrus ENSPVAG00000010375
bos_mutus ENSBMUG00000011277
bos_taurus ENSBTAG00000003503
bison_bison_bison ENSBBBG00000016694
capra_hircus ENSCHIG00000024479
ovis_aries ENSOARG00000004160
sus_scrofa ENSSSCG00000022333
vicugna_pacos ENSVPAG00000011072
myotis_lucifugus ENSMLUG00000004019
equus_caballus ENSECAG00000009182
equus_asinus_asinus ENSEASG00005022785
canis_lupus_familiaris ENSCAFG00000003679
canis_lupus_dingo ENSCAFG00020010797
ailuropoda_melanoleuca ENSAMEG00000000887
mustela_putorius_furo ENSMPUG00000002833
neovison_vison ENSNVIG00000019087
panthera_pardus ENSPPRG00000007067
felis_catus ENSFCAG00000042208
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010801
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002275
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010887
cavia_porcellus ENSCPOG00000010228
chinchilla_lanigera ENSCLAG00000017939
octodon_degus ENSODEG00000011020
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004588
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002081
octodon_degus ENSODEG00000009993
urocitellus_parryii ENSUPAG00010006726
cricetulus_griseus_crigri-picr ENSCGRG00015018866
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019894
mesocricetus_auratus ENSMAUG00000005422
peromyscus_maniculatus_bairdii ENSPEMG00000025838
vulpes_vulpes ENSVVUG00000001706
panthera_tigris_altaica ENSPTIG00000012961
tursiops_truncatus ENSTTRG00000013305
fukomys_damarensis ENSFDAG00000003035
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004695
chinchilla_lanigera ENSCLAG00000001796
cricetulus_griseus_crigri_1.0 ENSCGRG00000013259
microtus_ochrogaster ENSMOCG00000022491
marmota_marmota_marmota ENSMMMG00000015312
dipodomys_ordii ENSDORG00000009257
jaculus_jaculus ENSJJAG00000021053
aotus_nancymaae ENSANAG00000027251
saimiri_boliviensis_boliviensis ENSSBOG00000026255
rhinopithecus_roxellana ENSRROG00000027463
ursus_maritimus ENSUMAG00000007482
pongo_abelii ENSPPYG00000007729
carlito_syrichta ENSTSYG00000028507
mus_spicilegus ENSMSIG00000012993
rhinopithecus_bieti ENSRBIG00000034558
colobus_angolensis_palliatus ENSCANG00000031063
macaca_nemestrina ENSMNEG00000039612
mandrillus_leucophaeus ENSMLEG00000041211
pan_paniscus ENSPPAG00000038293
microcebus_murinus ENSMICG00000005922
ochotona_princeps ENSOPRG00000004319
nannospalax_galili ENSNGAG00000010533
tupaia_belangeri ENSTBEG00000013316
erinaceus_europaeus ENSEEUG00000003618
ovis_aries ENSOARG00000015733
choloepus_hoffmanni ENSCHOG00000004133
theropithecus_gelada ENSTGEG00000019033
chlorocebus_sabaeus ENSCSAG00000005553
pan_troglodytes ENSPTRG00000008082
gorilla_gorilla ENSGGOG00000041597
propithecus_coquereli ENSPCOG00000028514
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036934
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031338
rattus_norvegicus ENSRNOG00000017090
oryctolagus_cuniculus ENSOCUG00000017749
cebus_capucinus_imitator ENSCCAG00000031578
callithrix_jacchus ENSCJAG00000044992
homo_sapiens ENSG00000155330
nomascus_leucogenys ENSNLEG00000015672
macaca_fascicularis ENSMFAG00000036939
macaca_mulatta ENSMMUG00000008593
papio_anubis ENSPANG00000018045
cercocebus_atys ENSCATG00000031280
piliocolobus_tephrosceles ENSPTEG00000030207
carlito_syrichta ENSTSYG00000008921
otolemur_garnettii ENSOGAG00000000186
castor_canadensis ENSCCNG00000001176
dasypus_novemcinctus ENSDNOG00000037494
loxodonta_africana ENSLAFG00000009006
procavia_capensis ENSPCAG00000011783
meriones_unguiculatus ENSMUGG00000025389
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015354
tupaia_belangeri ENSTBEG00000002566
ursus_americanus ENSUAMG00000009147
crocodylus_porosus ENSCPRG00005004023
echinops_telfairi ENSETEG00000007395
ictidomys_tridecemlineatus ENSSTOG00000027329
phascolarctos_cinereus ENSPCIG00000018582
notamacropus_eugenii ENSMEUG00000015863
sarcophilus_harrisii ENSSHAG00000006495
monodelphis_domestica ENSMODG00000012820
ornithorhynchus_anatinus ENSOANG00000002163
chelonoidis_abingdonii ENSCABG00000002135
gopherus_agassizii ENSGAGG00000012625
chrysemys_picta_bellii ENSCPBG00000016079
pelodiscus_sinensis ENSPSIG00000013617
taeniopygia_guttata ENSTGUG00000008847
lonchura_striata_domestica ENSLSDG00000017709
serinus_canaria ENSSCAG00000004191
zonotrichia_albicollis ENSZALG00000000939
junco_hyemalis ENSJHYG00000012800
manacus_vitellinus ENSMVIG00005003234
lepidothrix_coronata ENSLCOG00000001628
ficedula_albicollis ENSFALG00000000152
cyanistes_caeruleus ENSCCEG00000019471
parus_major ENSPMJG00000002939
anas_platyrhynchos_platyrhynchos ENSAPLG00000009799
anser_brachyrhynchus ENSABRG00000001820
calidris_pugnax ENSCPUG00000011076
calidris_pygmaea ENSCPGG00000001314
melopsittacus_undulatus ENSMUNG00000005532
gallus_gallus ENSGALG00000017363
numida_meleagris ENSNMEG00000018392
apteryx_owenii ENSAOWG00000000067
nothoprocta_perdicaria ENSNPEG00000000282
coturnix_japonica ENSCJPG00005014379
meleagris_gallopavo ENSMGAG00000005255
apteryx_rowi ENSARWG00000014932
apteryx_haastii ENSAHAG00000005945
dromaius_novaehollandiae ENSDNVG00000017115
sphenodon_punctatus ENSSPUG00000016984
notechis_scutatus ENSNSUG00000012690
pogona_vitticeps ENSPVIG00000010378
salvator_merianae ENSSMRG00000004991
xenopus_tropicalis ENSXETG00000003894
scleropages_formosus ENSSFOG00015014292
paramormyrops_kingsleyae ENSPKIG00000004886
tetraodon_nigroviridis ENSTNIG00000004996
cynoglossus_semilaevis ENSCSEG00000008634
xiphophorus_couchianus ENSXCOG00000000510
xiphophorus_maculatus ENSXMAG00000018441
gambusia_affinis ENSGAFG00000003823
poecilia_reticulata ENSPREG00000022233
cyprinodon_variegatus ENSCVAG00000017333
kryptolebias_marmoratus ENSKMAG00000008575
