pelodiscus_sinensis ENSPSIG00000007695
crocodylus_porosus ENSCPRG00005011550
ursus_maritimus ENSUMAG00000016726
ursus_americanus ENSUAMG00000011124
ailuropoda_melanoleuca ENSAMEG00000014606
neovison_vison ENSNVIG00000020043
mustela_putorius_furo ENSMPUG00000014880
canis_lupus_familiaris ENSCAFG00000018291
canis_lupus_dingo ENSCAFG00020014010
vulpes_vulpes ENSVVUG00000020460
panthera_tigris_altaica ENSPTIG00000018278
panthera_pardus ENSPPRG00000000094
felis_catus ENSFCAG00000000252
pteropus_vampyrus ENSPVAG00000003917
myotis_lucifugus ENSMLUG00000012504
equus_asinus_asinus ENSEASG00005011197
equus_caballus ENSECAG00000014023
erinaceus_europaeus ENSEEUG00000012150
ovis_aries ENSOARG00000007345
capra_hircus ENSCHIG00000027164
bos_mutus ENSBMUG00000013103
bos_taurus ENSBTAG00000019092
bison_bison_bison ENSBBBG00000015233
tursiops_truncatus ENSTTRG00000015515
vicugna_pacos ENSVPAG00000012095
sus_scrofa ENSSSCG00000021617
colobus_angolensis_palliatus ENSCANG00000032990
piliocolobus_tephrosceles ENSPTEG00000015196
rhinopithecus_roxellana ENSRROG00000031343
rhinopithecus_bieti ENSRBIG00000041825
cercocebus_atys ENSCATG00000034997
macaca_nemestrina ENSMNEG00000041134
macaca_fascicularis ENSMFAG00000000308
macaca_mulatta ENSMMUG00000000744
cercocebus_atys ENSCATG00000031430
mandrillus_leucophaeus ENSMLEG00000028462
chlorocebus_sabaeus ENSCSAG00000006312
theropithecus_gelada ENSTGEG00000015503
papio_anubis ENSPANG00000022990
pan_paniscus ENSPPAG00000027994
pan_troglodytes ENSPTRG00000009011
homo_sapiens ENSG00000073598
gorilla_gorilla ENSGGOG00000000367
pongo_abelii ENSPPYG00000008179
nomascus_leucogenys ENSNLEG00000001873
cebus_capucinus_imitator ENSCCAG00000021053
saimiri_boliviensis_boliviensis ENSSBOG00000029279
callithrix_jacchus ENSCJAG00000014751
aotus_nancymaae ENSANAG00000038020
carlito_syrichta ENSTSYG00000033775
prolemur_simus ENSPSMG00000017734
microcebus_murinus ENSMICG00000044023
propithecus_coquereli ENSPCOG00000025950
otolemur_garnettii ENSOGAG00000009884
castor_canadensis ENSCCNG00000027804
dipodomys_ordii ENSDORG00000000843
cricetulus_griseus_crigri-picr ENSCGRG00015012421
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013060
cricetulus_griseus_crigri_1.0 ENSCGRG00000006563
mesocricetus_auratus ENSMAUG00000016080
microtus_ochrogaster ENSMOCG00000016181
peromyscus_maniculatus_bairdii ENSPEMG00000012327
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000018844
mus_spicilegus ENSMSIG00000005819
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017703
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016859
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017996
rattus_norvegicus ENSRNOG00000008264
meriones_unguiculatus ENSMUGG00000009699
nannospalax_galili ENSNGAG00000019921
jaculus_jaculus ENSJJAG00000018336
cavia_porcellus ENSCPOG00000020325
cavia_aperea ENSCAPG00000008976
chinchilla_lanigera ENSCLAG00000006982
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014421
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001963
fukomys_damarensis ENSFDAG00000013018
urocitellus_parryii ENSUPAG00010005950
marmota_marmota_marmota ENSMMMG00000013980
spermophilus_dauricus ENSSDAG00000008408
ictidomys_tridecemlineatus ENSSTOG00000006165
oryctolagus_cuniculus ENSOCUG00000014306
ochotona_princeps ENSOPRG00000011794
tupaia_belangeri ENSTBEG00000010901
loxodonta_africana ENSLAFG00000018333
procavia_capensis ENSPCAG00000007180
echinops_telfairi ENSETEG00000006055
choloepus_hoffmanni ENSCHOG00000004018
dasypus_novemcinctus ENSDNOG00000005076
notamacropus_eugenii ENSMEUG00000015736
phascolarctos_cinereus ENSPCIG00000031157
sarcophilus_harrisii ENSSHAG00000004314
monodelphis_domestica ENSMODG00000028821
