cricetulus_griseus_crigri_1.0 ENSCGRG00000001921
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008466
cricetulus_griseus_crigri-picr ENSCGRG00015008845
mesocricetus_auratus ENSMAUG00000019518
peromyscus_maniculatus_bairdii ENSPEMG00000015367
microtus_ochrogaster ENSMOCG00000012385
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019702
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096330
mus_spicilegus ENSMSIG00000028609
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018820
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015895
nannospalax_galili ENSNGAG00000018693
jaculus_jaculus ENSJJAG00000007499
castor_canadensis ENSCCNG00000003078
monodelphis_domestica ENSMODG00000001765
petromyzon_marinus ENSPMAG00000009009
apteryx_owenii ENSAOWG00000003978
apteryx_rowi ENSARWG00000016508
apteryx_haastii ENSAHAG00000004373
dromaius_novaehollandiae ENSDNVG00000011076
nothoprocta_perdicaria ENSNPEG00000015472
taeniopygia_guttata ENSTGUG00000009361
lonchura_striata_domestica ENSLSDG00000013132
serinus_canaria ENSSCAG00000006212
zonotrichia_albicollis ENSZALG00000003490
junco_hyemalis ENSJHYG00000000310
ficedula_albicollis ENSFALG00000011998
parus_major ENSPMJG00000001548
cyanistes_caeruleus ENSCCEG00000008749
manacus_vitellinus ENSMVIG00005009149
lepidothrix_coronata ENSLCOG00000003059
calidris_pugnax ENSCPUG00000011669
calidris_pygmaea ENSCPGG00000013677
melopsittacus_undulatus ENSMUNG00000012106
meleagris_gallopavo ENSMGAG00000011343
gallus_gallus ENSGALG00000020647
coturnix_japonica ENSCJPG00005012275
numida_meleagris ENSNMEG00000022492
anser_brachyrhynchus ENSABRG00000000010
anas_platyrhynchos_platyrhynchos ENSAPLG00000002571
crocodylus_porosus ENSCPRG00005005276
chelonoidis_abingdonii ENSCABG00000016301
gopherus_agassizii ENSGAGG00000014880
chrysemys_picta_bellii ENSCPBG00000003372
pelodiscus_sinensis ENSPSIG00000002961
pogona_vitticeps ENSPVIG00000008970
anolis_carolinensis ENSACAG00000014100
notechis_scutatus ENSNSUG00000018404
salvator_merianae ENSSMRG00000017928
xenopus_tropicalis ENSXETG00000031890
lepisosteus_oculatus ENSLOCG00000003191
phascolarctos_cinereus ENSPCIG00000023114
sarcophilus_harrisii ENSSHAG00000007878
monodelphis_domestica ENSMODG00000029580
octodon_degus ENSODEG00000011774
chinchilla_lanigera ENSCLAG00000006739
cavia_porcellus ENSCPOG00000005479
cavia_aperea ENSCAPG00000014115
fukomys_damarensis ENSFDAG00000014027
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000282
urocitellus_parryii ENSUPAG00010021452
ictidomys_tridecemlineatus ENSSTOG00000002669
spermophilus_dauricus ENSSDAG00000003532
castor_canadensis ENSCCNG00000024221
dipodomys_ordii ENSDORG00000002283
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016461
cricetulus_griseus_crigri-picr ENSCGRG00015005829
mesocricetus_auratus ENSMAUG00000014760
peromyscus_maniculatus_bairdii ENSPEMG00000011903
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070877
mus_spicilegus ENSMSIG00000014211
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026247
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027216
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028580
rattus_norvegicus ENSRNOG00000037795
meriones_unguiculatus ENSMUGG00000026954
nannospalax_galili ENSNGAG00000007054
tupaia_belangeri ENSTBEG00000013168
gorilla_gorilla ENSGGOG00000042055
gorilla_gorilla ENSGGOG00000041666
homo_sapiens ENSG00000203985
pan_troglodytes ENSPTRG00000050620
pan_paniscus ENSPPAG00000037335
pongo_abelii ENSPPYG00000001325
nomascus_leucogenys ENSNLEG00000011528
chlorocebus_sabaeus ENSCSAG00000001299
mandrillus_leucophaeus ENSMLEG00000042853
macaca_mulatta ENSMMUG00000032096
macaca_nemestrina ENSMNEG00000042305
macaca_fascicularis ENSMFAG00000042062
cercocebus_atys ENSCATG00000019460
papio_anubis ENSPANG00000006219
rhinopithecus_bieti ENSRBIG00000037774
rhinopithecus_roxellana ENSRROG00000045781
colobus_angolensis_palliatus ENSCANG00000031051
cebus_capucinus_imitator ENSCCAG00000035066
saimiri_boliviensis_boliviensis ENSSBOG00000029418
callithrix_jacchus ENSCJAG00000004890
aotus_nancymaae ENSANAG00000024236
carlito_syrichta ENSTSYG00000007382
propithecus_coquereli ENSPCOG00000022857
prolemur_simus ENSPSMG00000000534
microcebus_murinus ENSMICG00000047268
otolemur_garnettii ENSOGAG00000016562
ochotona_princeps ENSOPRG00000005588
oryctolagus_cuniculus ENSOCUG00000008126
myotis_lucifugus ENSMLUG00000001956
pteropus_vampyrus ENSPVAG00000004395
equus_caballus ENSECAG00000022046
equus_asinus_asinus ENSEASG00005014570
bos_taurus ENSBTAG00000024195
bos_mutus ENSBMUG00000015758
bison_bison_bison ENSBBBG00000017841
ovis_aries ENSOARG00000006814
capra_hircus ENSCHIG00000020061
tursiops_truncatus ENSTTRG00000003196
sus_scrofa ENSSSCG00000027641
ursus_americanus ENSUAMG00000016905
ursus_maritimus ENSUMAG00000022328
ailuropoda_melanoleuca ENSAMEG00000009731
neovison_vison ENSNVIG00000007454
mustela_putorius_furo ENSMPUG00000006630
canis_lupus_familiaris ENSCAFG00000019066
canis_lupus_dingo ENSCAFG00020012067
vulpes_vulpes ENSVVUG00000026844
panthera_tigris_altaica ENSPTIG00000015861
panthera_pardus ENSPPRG00000008159
felis_catus ENSFCAG00000007736
loxodonta_africana ENSLAFG00000016962
procavia_capensis ENSPCAG00000005497
choloepus_hoffmanni ENSCHOG00000007969
dasypus_novemcinctus ENSDNOG00000005275
ciona_intestinalis ENSCING00000013538
drosophila_melanogaster FBgn0036202
