cyprinodon_variegatus ENSCVAG00000005998
fundulus_heteroclitus ENSFHEG00000021371
xiphophorus_maculatus ENSXMAG00000007652
xiphophorus_couchianus ENSXCOG00000006122
gambusia_affinis ENSGAFG00000001679
poecilia_latipinna ENSPLAG00000002852
poecilia_mexicana ENSPMEG00000021572
poecilia_formosa ENSPFOG00000011231
poecilia_reticulata ENSPREG00000003085
kryptolebias_marmoratus ENSKMAG00000015854
oryzias_latipes_asm223467v1 ENSORLG00000000726
oryzias_latipes_asm223469v1 ENSORLG00015011683
oryzias_latipes_asm223471v1 ENSORLG00020004475
oryzias_melastigma ENSOMEG00000018265
cynoglossus_semilaevis ENSCSEG00000008423
amphiprion_ocellaris ENSAOCG00000015423
amphiprion_percula ENSAPEG00000005329
acanthochromis_polyacanthus ENSAPOG00000003625
stegastes_partitus ENSSPAG00000004725
seriola_dumerili ENSSDUG00000019766
seriola_lalandi_dorsalis ENSSLDG00000021438
gasterosteus_aculeatus ENSGACG00000002944
labrus_bergylta ENSLBEG00000025961
mola_mola ENSMMOG00000008209
maylandia_zebra ENSMZEG00005012068
astatotilapia_calliptera ENSACLG00000018590
haplochromis_burtoni ENSHBUG00000004097
pundamilia_nyererei ENSPNYG00000005300
neolamprologus_brichardi ENSNBRG00000018343
oreochromis_niloticus ENSONIG00000014831
amphilophus_citrinellus ENSACIG00000001933
scophthalmus_maximus ENSSMAG00000013924
mastacembelus_armatus ENSMAMG00000012794
monopterus_albus ENSMALG00000009305
anabas_testudineus ENSATEG00000010649
hippocampus_comes ENSHCOG00000005747
takifugu_rubripes ENSTRUG00000011309
tetraodon_nigroviridis ENSTNIG00000002302
periophthalmus_magnuspinnatus ENSPMGG00000022722
gadus_morhua ENSGMOG00000008307
esox_lucius ENSELUG00000019251
pygocentrus_nattereri ENSPNAG00000012111
astyanax_mexicanus ENSAMXG00000014427
ictalurus_punctatus ENSIPUG00000018571
danio_rerio ENSDARG00000060103
paramormyrops_kingsleyae ENSPKIG00000015878
scleropages_formosus ENSSFOG00015004974
lepisosteus_oculatus ENSLOCG00000007131
sarcophilus_harrisii ENSSHAG00000018519
sarcophilus_harrisii ENSSHAG00000018596
notamacropus_eugenii ENSMEUG00000009948
phascolarctos_cinereus ENSPCIG00000017302
monodelphis_domestica ENSMODG00000006673
dipodomys_ordii ENSDORG00000028940
castor_canadensis ENSCCNG00000028006
peromyscus_maniculatus_bairdii ENSPEMG00000008448
microtus_ochrogaster ENSMOCG00000016486
cricetulus_griseus_crigri-picr ENSCGRG00015019314
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003846
cricetulus_griseus_crigri_1.0 ENSCGRG00000002839
mesocricetus_auratus ENSMAUG00000002789
mus_spicilegus ENSMSIG00000023886
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023829
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039652
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022910
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014405
rattus_norvegicus ENSRNOG00000020689
meriones_unguiculatus ENSMUGG00000011984
nannospalax_galili ENSNGAG00000015621
jaculus_jaculus ENSJJAG00000009135
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014022
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005200
fukomys_damarensis ENSFDAG00000016459
octodon_degus ENSODEG00000004591
cavia_porcellus ENSCPOG00000037660
chinchilla_lanigera ENSCLAG00000011817
