drosophila_melanogaster FBgn0013576
caenorhabditis_elegans_strain_n2 WBGene00018700
apteryx_owenii ENSAOWG00000010538
apteryx_haastii ENSAHAG00000006604
apteryx_rowi ENSARWG00000000405
dromaius_novaehollandiae ENSDNVG00000010372
lonchura_striata_domestica ENSLSDG00000007043
parus_major ENSPMJG00000001731
calidris_pygmaea ENSCPGG00000013369
gallus_gallus ENSGALG00000029033
numida_meleagris ENSNMEG00000014163
anas_platyrhynchos_platyrhynchos ENSAPLG00000014598
anser_brachyrhynchus ENSABRG00000016248
xenopus_tropicalis ENSXETG00000002711
astyanax_mexicanus ENSAMXG00000002462
ciona_savignyi ENSCSAVG00000001914
ciona_intestinalis ENSCING00000020358
piliocolobus_tephrosceles ENSPTEG00000012917
saccharomyces_cerevisiae_strain_s288c YPL196W
