scophthalmus_maximus ENSSMAG00000021170
cynoglossus_semilaevis ENSCSEG00000001367
fundulus_heteroclitus ENSFHEG00000009022
cyprinodon_variegatus ENSCVAG00000011232
poecilia_formosa ENSPFOG00000004622
poecilia_latipinna ENSPLAG00000003405
poecilia_mexicana ENSPMEG00000022312
poecilia_reticulata ENSPREG00000000180
xiphophorus_maculatus ENSXMAG00000029411
xiphophorus_couchianus ENSXCOG00000015903
gambusia_affinis ENSGAFG00000011589
kryptolebias_marmoratus ENSKMAG00000011193
oryzias_latipes_asm223471v1 ENSORLG00020008189
oryzias_latipes_asm223467v1 ENSORLG00000021948
oryzias_latipes_asm223469v1 ENSORLG00015007557
oryzias_melastigma ENSOMEG00000016265
astatotilapia_calliptera ENSACLG00000007955
maylandia_zebra ENSMZEG00005006115
pundamilia_nyererei ENSPNYG00000007472
maylandia_zebra ENSMZEG00005005112
haplochromis_burtoni ENSHBUG00000006288
neolamprologus_brichardi ENSNBRG00000012398
oreochromis_niloticus ENSONIG00000013832
amphilophus_citrinellus ENSACIG00000004514
amphiprion_percula ENSAPEG00000008730
amphiprion_ocellaris ENSAOCG00000017225
acanthochromis_polyacanthus ENSAPOG00000004361
stegastes_partitus ENSSPAG00000015848
mastacembelus_armatus ENSMAMG00000005008
monopterus_albus ENSMALG00000015559
anabas_testudineus ENSATEG00000002975
tetraodon_nigroviridis ENSTNIG00000018829
takifugu_rubripes ENSTRUG00000019827
mola_mola ENSMMOG00000011177
labrus_bergylta ENSLBEG00000011657
seriola_dumerili ENSSDUG00000013181
seriola_lalandi_dorsalis ENSSLDG00000021410
gasterosteus_aculeatus ENSGACG00000000047
hippocampus_comes ENSHCOG00000010070
gadus_morhua ENSGMOG00000018034
esox_lucius ENSELUG00000000905
oryzias_latipes_asm223471v1 ENSORLG00020009157
pygocentrus_nattereri ENSPNAG00000007416
astyanax_mexicanus ENSAMXG00000033037
ictalurus_punctatus ENSIPUG00000017133
danio_rerio ENSDARG00000006544
scleropages_formosus ENSSFOG00015008305
paramormyrops_kingsleyae ENSPKIG00000007556
