chinchilla_lanigera ENSCLAG00000003524
octodon_degus ENSODEG00000013002
cavia_porcellus ENSCPOG00000011749
cavia_aperea ENSCAPG00000009482
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005443
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003984
fukomys_damarensis ENSFDAG00000014066
bos_mutus ENSBMUG00000004081
bos_taurus ENSBTAG00000036260
bison_bison_bison ENSBBBG00000022071
capra_hircus ENSCHIG00000019674
ovis_aries ENSOARG00000011101
pteropus_vampyrus ENSPVAG00000007377
myotis_lucifugus ENSMLUG00000009850
tursiops_truncatus ENSTTRG00000003027
sus_scrofa ENSSSCG00000021176
vicugna_pacos ENSVPAG00000006315
equus_caballus ENSECAG00000000715
equus_asinus_asinus ENSEASG00005001873
erinaceus_europaeus ENSEEUG00000006663
sorex_araneus ENSSARG00000003379
ursus_maritimus ENSUMAG00000018392
ursus_americanus ENSUAMG00000025177
ailuropoda_melanoleuca ENSAMEG00000000841
mustela_putorius_furo ENSMPUG00000000297
neovison_vison ENSNVIG00000018015
canis_lupus_familiaris ENSCAFG00000007693
canis_lupus_dingo ENSCAFG00020001181
vulpes_vulpes ENSVVUG00000017014
panthera_tigris_altaica ENSPTIG00000014939
panthera_pardus ENSPPRG00000017026
felis_catus ENSFCAG00000008427
pan_paniscus ENSPPAG00000018697
pan_troglodytes ENSPTRG00000003681
homo_sapiens ENSG00000110031
gorilla_gorilla ENSGGOG00000001916
nomascus_leucogenys ENSNLEG00000013021
pongo_abelii ENSPPYG00000003248
papio_anubis ENSPANG00000017207
theropithecus_gelada ENSTGEG00000020796
chlorocebus_sabaeus ENSCSAG00000006022
cercocebus_atys ENSCATG00000034035
mandrillus_leucophaeus ENSMLEG00000029135
macaca_fascicularis ENSMFAG00000040604
macaca_mulatta ENSMMUG00000011713
macaca_nemestrina ENSMNEG00000036787
rhinopithecus_roxellana ENSRROG00000036264
rhinopithecus_bieti ENSRBIG00000003257
colobus_angolensis_palliatus ENSCANG00000042228
piliocolobus_tephrosceles ENSPTEG00000029959
saimiri_boliviensis_boliviensis ENSSBOG00000005370
callithrix_jacchus ENSCJAG00000008449
cebus_capucinus_imitator ENSCCAG00000036475
aotus_nancymaae ENSANAG00000028686
carlito_syrichta ENSTSYG00000010179
microcebus_murinus ENSMICG00000001409
prolemur_simus ENSPSMG00000010621
otolemur_garnettii ENSOGAG00000000109
tupaia_belangeri ENSTBEG00000009870
castor_canadensis ENSCCNG00000013142
dipodomys_ordii ENSDORG00000013983
mus_spicilegus ENSMSIG00000015616
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024696
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022765
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014254
rattus_norvegicus ENSRNOG00000012611
meriones_unguiculatus ENSMUGG00000005870
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023102
cricetulus_griseus_crigri-picr ENSCGRG00015006049
cricetulus_griseus_crigri_1.0 ENSCGRG00000005048
mesocricetus_auratus ENSMAUG00000010591
peromyscus_maniculatus_bairdii ENSPEMG00000021779
microtus_ochrogaster ENSMOCG00000019266
nannospalax_galili ENSNGAG00000015233
jaculus_jaculus ENSJJAG00000023492
spermophilus_dauricus ENSSDAG00000012972
ictidomys_tridecemlineatus ENSSTOG00000015780
urocitellus_parryii ENSUPAG00010017394
marmota_marmota_marmota ENSMMMG00000019521
oryctolagus_cuniculus ENSOCUG00000005377
ochotona_princeps ENSOPRG00000000306
dasypus_novemcinctus ENSDNOG00000014262
choloepus_hoffmanni ENSCHOG00000006830
loxodonta_africana ENSLAFG00000029979
procavia_capensis ENSPCAG00000007934
echinops_telfairi ENSETEG00000004142
phascolarctos_cinereus ENSPCIG00000010867
monodelphis_domestica ENSMODG00000020172
ornithorhynchus_anatinus ENSOANG00000011149
anolis_carolinensis ENSACAG00000006855
pogona_vitticeps ENSPVIG00000022970
notechis_scutatus ENSNSUG00000016968
salvator_merianae ENSSMRG00000001140
sphenodon_punctatus ENSSPUG00000016512
gopherus_agassizii ENSGAGG00000021684
chelonoidis_abingdonii ENSCABG00000020541
chrysemys_picta_bellii ENSCPBG00000016862
pelodiscus_sinensis ENSPSIG00000004839
meleagris_gallopavo ENSMGAG00000009727
coturnix_japonica ENSCJPG00005017802
gallus_gallus ENSGALG00000053601
numida_meleagris ENSNMEG00000003074
anser_brachyrhynchus ENSABRG00000005734
junco_hyemalis ENSJHYG00000006909
zonotrichia_albicollis ENSZALG00000004699
ficedula_albicollis ENSFALG00000011009
serinus_canaria ENSSCAG00000010039
parus_major ENSPMJG00000006408
cyanistes_caeruleus ENSCCEG00000017014
calidris_pugnax ENSCPUG00000015251
calidris_pygmaea ENSCPGG00000003620
apteryx_owenii ENSAOWG00000005764
taeniopygia_guttata ENSTGUG00000007113
lonchura_striata_domestica ENSLSDG00000004320
lepidothrix_coronata ENSLCOG00000013110
melopsittacus_undulatus ENSMUNG00000000103
anas_platyrhynchos_platyrhynchos ENSAPLG00000027655
apteryx_rowi ENSARWG00000002605
manacus_vitellinus ENSMVIG00005009284
latimeria_chalumnae ENSLACG00000001614
xiphophorus_maculatus ENSXMAG00000013269
gambusia_affinis ENSGAFG00000016496
poecilia_mexicana ENSPMEG00000012401
poecilia_reticulata ENSPREG00000011166
poecilia_formosa ENSPFOG00000018538
poecilia_latipinna ENSPLAG00000006156
cyprinodon_variegatus ENSCVAG00000002169
fundulus_heteroclitus ENSFHEG00000022538
kryptolebias_marmoratus ENSKMAG00000000822
cynoglossus_semilaevis ENSCSEG00000000264
gasterosteus_aculeatus ENSGACG00000011604
labrus_bergylta ENSLBEG00000018851
maylandia_zebra ENSMZEG00005008272
haplochromis_burtoni ENSHBUG00000000999
astatotilapia_calliptera ENSACLG00000000131
neolamprologus_brichardi ENSNBRG00000001538
