oryzias_latipes_asm223471v1 ENSORLG00020002091
oryzias_latipes_asm223467v1 ENSORLG00000030408
oryzias_melastigma ENSOMEG00000023852
xiphophorus_couchianus ENSXCOG00000001105
xiphophorus_maculatus ENSXMAG00000021673
poecilia_mexicana ENSPMEG00000008371
poecilia_latipinna ENSPLAG00000014922
poecilia_reticulata ENSPREG00000021441
gambusia_affinis ENSGAFG00000008611
amphilophus_citrinellus ENSACIG00000009395
monopterus_albus ENSMALG00000008343
periophthalmus_magnuspinnatus ENSPMGG00000021118
hippocampus_comes ENSHCOG00000000326
esox_lucius ENSELUG00000003836
paramormyrops_kingsleyae ENSPKIG00000019955
