mustela_putorius_furo ENSMPUG00000016492
ursus_americanus ENSUAMG00000004038
canis_lupus_dingo ENSCAFG00020014451
panthera_pardus ENSPPRG00000001691
panthera_tigris_altaica ENSPTIG00000017622
myotis_lucifugus ENSMLUG00000017351
pteropus_vampyrus ENSPVAG00000010066
cavia_aperea ENSCAPG00000003572
dipodomys_ordii ENSDORG00000029957
peromyscus_maniculatus_bairdii ENSPEMG00000011222
mesocricetus_auratus ENSMAUG00000017904
spermophilus_dauricus ENSSDAG00000024940
mandrillus_leucophaeus ENSMLEG00000043082
theropithecus_gelada ENSTGEG00000007267
piliocolobus_tephrosceles ENSPTEG00000003857
piliocolobus_tephrosceles ENSPTEG00000003777
piliocolobus_tephrosceles ENSPTEG00000003891
piliocolobus_tephrosceles ENSPTEG00000003795
macaca_mulatta ENSMMUG00000040768
