pan_paniscus ENSPPAG00000027824
pan_troglodytes ENSPTRG00000019006
gorilla_gorilla ENSGGOG00000011876
pongo_abelii ENSPPYG00000017711
nomascus_leucogenys ENSNLEG00000031144
rhinopithecus_roxellana ENSRROG00000038765
rhinopithecus_bieti ENSRBIG00000041502
piliocolobus_tephrosceles ENSPTEG00000031083
colobus_angolensis_palliatus ENSCANG00000042555
macaca_nemestrina ENSMNEG00000027968
cercocebus_atys ENSCATG00000044832
macaca_mulatta ENSMMUG00000042572
macaca_fascicularis ENSMFAG00000045949
mandrillus_leucophaeus ENSMLEG00000044195
callithrix_jacchus ENSCJAG00000041916
tupaia_belangeri ENSTBEG00000014062
tursiops_truncatus ENSTTRG00000009342
vicugna_pacos ENSVPAG00000010420
pteropus_vampyrus ENSPVAG00000002471
choloepus_hoffmanni ENSCHOG00000013728
