piliocolobus_tephrosceles ENSPTEG00000023602
homo_sapiens ENSG00000284976
prolemur_simus ENSPSMG00000006512
marmota_marmota_marmota ENSMMMG00000008639
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000115018
equus_caballus ENSECAG00000032048
neovison_vison ENSNVIG00000009674
phascolarctos_cinereus ENSPCIG00000032380
chrysemys_picta_bellii ENSCPBG00000000793
chelonoidis_abingdonii ENSCABG00000004987
pelodiscus_sinensis ENSPSIG00000001429
parus_major ENSPMJG00000015131
lepisosteus_oculatus ENSLOCG00000017330
