poecilia_reticulata ENSPREG00000012651
poecilia_latipinna ENSPLAG00000003317
kryptolebias_marmoratus ENSKMAG00000008890
oryzias_latipes_asm223467v1 ENSORLG00000012776
oryzias_latipes_asm223469v1 ENSORLG00015009743
oryzias_melastigma ENSOMEG00000014202
oreochromis_niloticus ENSONIG00000013024
haplochromis_burtoni ENSHBUG00000016644
amphilophus_citrinellus ENSACIG00000013135
anabas_testudineus ENSATEG00000020780
cynoglossus_semilaevis ENSCSEG00000019762
hippocampus_comes ENSHCOG00000017081
lepisosteus_oculatus ENSLOCG00000007181
