urocitellus_parryii ENSUPAG00010004568
spermophilus_dauricus ENSSDAG00000008263
mus_spicilegus ENSMSIG00000001763
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031994
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044748
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030885
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021346
rattus_norvegicus ENSRNOG00000013768
meriones_unguiculatus ENSMUGG00000004099
meriones_unguiculatus ENSMUGG00000010559
meriones_unguiculatus ENSMUGG00000016001
cricetulus_griseus_crigri-picr ENSCGRG00015021713
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004865
cricetulus_griseus_crigri_1.0 ENSCGRG00000011998
mesocricetus_auratus ENSMAUG00000015973
peromyscus_maniculatus_bairdii ENSPEMG00000011579
nannospalax_galili ENSNGAG00000020804
oryctolagus_cuniculus ENSOCUG00000021273
tupaia_belangeri ENSTBEG00000013364
prolemur_simus ENSPSMG00000003154
