gasterosteus_aculeatus ENSGACG00000001572
fundulus_heteroclitus ENSFHEG00000018148
scophthalmus_maximus ENSSMAG00000006950
amphiprion_ocellaris ENSAOCG00000018387
amphiprion_percula ENSAPEG00000013591
acanthochromis_polyacanthus ENSAPOG00000008715
stegastes_partitus ENSSPAG00000019664
pundamilia_nyererei ENSPNYG00000023095
astatotilapia_calliptera ENSACLG00000003769
maylandia_zebra ENSMZEG00005006488
haplochromis_burtoni ENSHBUG00000002374
neolamprologus_brichardi ENSNBRG00000009495
oreochromis_niloticus ENSONIG00000018655
amphilophus_citrinellus ENSACIG00000012153
xiphophorus_maculatus ENSXMAG00000005267
xiphophorus_couchianus ENSXCOG00000019613
gambusia_affinis ENSGAFG00000006577
poecilia_mexicana ENSPMEG00000007464
poecilia_formosa ENSPFOG00000014238
poecilia_latipinna ENSPLAG00000009001
poecilia_reticulata ENSPREG00000018612
cyprinodon_variegatus ENSCVAG00000017079
kryptolebias_marmoratus ENSKMAG00000012449
oryzias_latipes_asm223467v1 ENSORLG00000020374
oryzias_latipes_asm223469v1 ENSORLG00015001381
oryzias_melastigma ENSOMEG00000020348
monopterus_albus ENSMALG00000018193
mastacembelus_armatus ENSMAMG00000019539
anabas_testudineus ENSATEG00000023113
seriola_dumerili ENSSDUG00000015055
seriola_lalandi_dorsalis ENSSLDG00000015123
tetraodon_nigroviridis ENSTNIG00000005318
takifugu_rubripes ENSTRUG00000011037
mola_mola ENSMMOG00000015838
labrus_bergylta ENSLBEG00000000768
cynoglossus_semilaevis ENSCSEG00000004165
periophthalmus_magnuspinnatus ENSPMGG00000009887
hippocampus_comes ENSHCOG00000012679
gadus_morhua ENSGMOG00000003576
esox_lucius ENSELUG00000009291
pygocentrus_nattereri ENSPNAG00000012920
astyanax_mexicanus ENSAMXG00000003367
pygocentrus_nattereri ENSPNAG00000016621
ictalurus_punctatus ENSIPUG00000019128
danio_rerio ENSDARG00000068983
esox_lucius ENSELUG00000000846
paramormyrops_kingsleyae ENSPKIG00000023142
scleropages_formosus ENSSFOG00015007397
lepisosteus_oculatus ENSLOCG00000017047
loxodonta_africana ENSLAFG00000017484
procavia_capensis ENSPCAG00000013758
echinops_telfairi ENSETEG00000001625
choloepus_hoffmanni ENSCHOG00000003304
dasypus_novemcinctus ENSDNOG00000034687
castor_canadensis ENSCCNG00000001417
dipodomys_ordii ENSDORG00000013224
chinchilla_lanigera ENSCLAG00000014696
octodon_degus ENSODEG00000016311
cavia_porcellus ENSCPOG00000014662
cavia_aperea ENSCAPG00000008828
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017336
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016037
fukomys_damarensis ENSFDAG00000017992
ictidomys_tridecemlineatus ENSSTOG00000005795
urocitellus_parryii ENSUPAG00010016398
spermophilus_dauricus ENSSDAG00000015724
marmota_marmota_marmota ENSMMMG00000024425
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012984
cricetulus_griseus_crigri-picr ENSCGRG00015023655
cricetulus_griseus_crigri_1.0 ENSCGRG00000015821
mesocricetus_auratus ENSMAUG00000009607
microtus_ochrogaster ENSMOCG00000015866
peromyscus_maniculatus_bairdii ENSPEMG00000016191
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022268
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000062202
mus_spicilegus ENSMSIG00000010985
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021354
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023673
rattus_norvegicus ENSRNOG00000000540
nannospalax_galili ENSNGAG00000000444
jaculus_jaculus ENSJJAG00000016569
oryctolagus_cuniculus ENSOCUG00000017258
ochotona_princeps ENSOPRG00000005987
tupaia_belangeri ENSTBEG00000014256
pan_troglodytes ENSPTRG00000018126
pan_paniscus ENSPPAG00000038107
homo_sapiens ENSG00000183826
gorilla_gorilla ENSGGOG00000002276
pongo_abelii ENSPPYG00000016567
nomascus_leucogenys ENSNLEG00000011312
macaca_fascicularis ENSMFAG00000042789
macaca_mulatta ENSMMUG00000001634
macaca_nemestrina ENSMNEG00000016937
papio_anubis ENSPANG00000006968
theropithecus_gelada ENSTGEG00000029566
mandrillus_leucophaeus ENSMLEG00000040527
chlorocebus_sabaeus ENSCSAG00000010601
cercocebus_atys ENSCATG00000030458
colobus_angolensis_palliatus ENSCANG00000036249
piliocolobus_tephrosceles ENSPTEG00000033624
rhinopithecus_bieti ENSRBIG00000040956
rhinopithecus_roxellana ENSRROG00000029376
saimiri_boliviensis_boliviensis ENSSBOG00000015333
cebus_capucinus_imitator ENSCCAG00000029338
callithrix_jacchus ENSCJAG00000005701
aotus_nancymaae ENSANAG00000024240
carlito_syrichta ENSTSYG00000012948
microcebus_murinus ENSMICG00000017237
prolemur_simus ENSPSMG00000007229
propithecus_coquereli ENSPCOG00000021323
otolemur_garnettii ENSOGAG00000007941
bos_mutus ENSBMUG00000014701
bos_taurus ENSBTAG00000000529
bison_bison_bison ENSBBBG00000013018
ovis_aries ENSOARG00000015162
capra_hircus ENSCHIG00000022829
tursiops_truncatus ENSTTRG00000000396
