anabas_testudineus ENSATEG00000005609
labrus_bergylta ENSLBEG00000015698
scophthalmus_maximus ENSSMAG00000013010
xiphophorus_maculatus ENSXMAG00000013467
xiphophorus_couchianus ENSXCOG00000004370
poecilia_formosa ENSPFOG00000010677
poecilia_latipinna ENSPLAG00000000201
poecilia_mexicana ENSPMEG00000013959
poecilia_reticulata ENSPREG00000017587
gambusia_affinis ENSGAFG00000021696
cyprinodon_variegatus ENSCVAG00000000531
fundulus_heteroclitus ENSFHEG00000013547
kryptolebias_marmoratus ENSKMAG00000014474
oryzias_latipes_asm223469v1 ENSORLG00015018841
oryzias_latipes_asm223471v1 ENSORLG00020012922
oryzias_latipes_asm223467v1 ENSORLG00000016252
oryzias_melastigma ENSOMEG00000021547
oryzias_melastigma ENSOMEG00000013170
stegastes_partitus ENSSPAG00000012172
cynoglossus_semilaevis ENSCSEG00000013772
mola_mola ENSMMOG00000017183
mastacembelus_armatus ENSMAMG00000010579
gasterosteus_aculeatus ENSGACG00000013154
seriola_dumerili ENSSDUG00000007059
seriola_lalandi_dorsalis ENSSLDG00000011648
amphiprion_percula ENSAPEG00000022859
amphiprion_ocellaris ENSAOCG00000023870
acanthochromis_polyacanthus ENSAPOG00000009768
esox_lucius ENSELUG00000006663
astyanax_mexicanus ENSAMXG00000036698
pygocentrus_nattereri ENSPNAG00000028495
ictalurus_punctatus ENSIPUG00000006556
danio_rerio ENSDARG00000095863
danio_rerio ENSDARG00000041490
paramormyrops_kingsleyae ENSPKIG00000009538
paramormyrops_kingsleyae ENSPKIG00000020524
scleropages_formosus ENSSFOG00015009052
esox_lucius ENSELUG00000012907
lepisosteus_oculatus ENSLOCG00000000481
