calidris_pygmaea ENSCPGG00000012261
calidris_pugnax ENSCPUG00000010381
lepidothrix_coronata ENSLCOG00000002406
manacus_vitellinus ENSMVIG00005010939
lonchura_striata_domestica ENSLSDG00000005522
taeniopygia_guttata ENSTGUG00000003136
zonotrichia_albicollis ENSZALG00000006331
junco_hyemalis ENSJHYG00000010688
serinus_canaria ENSSCAG00000017289
parus_major ENSPMJG00000014096
cyanistes_caeruleus ENSCCEG00000018793
ficedula_albicollis ENSFALG00000009292
melopsittacus_undulatus ENSMUNG00000015705
gallus_gallus ENSGALG00000001561
meleagris_gallopavo ENSMGAG00000002845
coturnix_japonica ENSCJPG00005010131
anas_platyrhynchos_platyrhynchos ENSAPLG00000006806
numida_meleagris ENSNMEG00000007220
anser_brachyrhynchus ENSABRG00000007026
apteryx_haastii ENSAHAG00000005565
apteryx_owenii ENSAOWG00000003257
apteryx_rowi ENSARWG00000004364
dromaius_novaehollandiae ENSDNVG00000009724
nothoprocta_perdicaria ENSNPEG00000006643
crocodylus_porosus ENSCPRG00005000704
gopherus_agassizii ENSGAGG00000001919
chelonoidis_abingdonii ENSCABG00000000483
chrysemys_picta_bellii ENSCPBG00000022897
pelodiscus_sinensis ENSPSIG00000003025
pogona_vitticeps ENSPVIG00000022872
anolis_carolinensis ENSACAG00000009043
notechis_scutatus ENSNSUG00000000154
salvator_merianae ENSSMRG00000009120
sphenodon_punctatus ENSSPUG00000016866
cavia_porcellus ENSCPOG00000023813
cavia_aperea ENSCAPG00000006015
chinchilla_lanigera ENSCLAG00000005340
octodon_degus ENSODEG00000011254
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015323
dipodomys_ordii ENSDORG00000008634
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027901
mus_spicilegus ENSMSIG00000015130
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029070
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026907
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029255
rattus_norvegicus ENSRNOG00000019244
meriones_unguiculatus ENSMUGG00000003306
cricetulus_griseus_crigri_1.0 ENSCGRG00000014161
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016415
cricetulus_griseus_crigri-picr ENSCGRG00015015045
mesocricetus_auratus ENSMAUG00000002259
peromyscus_maniculatus_bairdii ENSPEMG00000006702
microtus_ochrogaster ENSMOCG00000016563
nannospalax_galili ENSNGAG00000018197
jaculus_jaculus ENSJJAG00000018780
castor_canadensis ENSCCNG00000010937
ictidomys_tridecemlineatus ENSSTOG00000001815
urocitellus_parryii ENSUPAG00010016318
propithecus_coquereli ENSPCOG00000028505
microcebus_murinus ENSMICG00000032614
prolemur_simus ENSPSMG00000013260
otolemur_garnettii ENSOGAG00000030763
cercocebus_atys ENSCATG00000022961
papio_anubis ENSPANG00000026092
theropithecus_gelada ENSTGEG00000017040
theropithecus_gelada ENSTGEG00000018809
macaca_fascicularis ENSMFAG00000002897
rhinopithecus_roxellana ENSRROG00000033980
rhinopithecus_bieti ENSRBIG00000043145
chlorocebus_sabaeus ENSCSAG00000000685
piliocolobus_tephrosceles ENSPTEG00000009143
macaca_nemestrina ENSMNEG00000041023
macaca_mulatta ENSMMUG00000003582
pan_paniscus ENSPPAG00000033475
pan_troglodytes ENSPTRG00000045448
homo_sapiens ENSG00000162576
gorilla_gorilla ENSGGOG00000025096
pongo_abelii ENSPPYG00000002009
nomascus_leucogenys ENSNLEG00000000062
cebus_capucinus_imitator ENSCCAG00000023268
callithrix_jacchus ENSCJAG00000040810
aotus_nancymaae ENSANAG00000026233
ochotona_princeps ENSOPRG00000004542
spermophilus_dauricus ENSSDAG00000003528
equus_caballus ENSECAG00000020731
equus_asinus_asinus ENSEASG00005014522
pteropus_vampyrus ENSPVAG00000001025
ursus_americanus ENSUAMG00000012818
ailuropoda_melanoleuca ENSAMEG00000013866
canis_lupus_familiaris ENSCAFG00000019269
canis_lupus_dingo ENSCAFG00020011521
vulpes_vulpes ENSVVUG00000004397
panthera_pardus ENSPPRG00000010717
felis_catus ENSFCAG00000043363
ovis_aries ENSOARG00000003922
capra_hircus ENSCHIG00000023192
bos_taurus ENSBTAG00000012247
bison_bison_bison ENSBBBG00000004139
tursiops_truncatus ENSTTRG00000017043
sus_scrofa ENSSSCG00000021880
loxodonta_africana ENSLAFG00000032320
procavia_capensis ENSPCAG00000002544
echinops_telfairi ENSETEG00000002685
phascolarctos_cinereus ENSPCIG00000007762
notamacropus_eugenii ENSMEUG00000003222
monodelphis_domestica ENSMODG00000006413
sarcophilus_harrisii ENSSHAG00000006827
ornithorhynchus_anatinus ENSOANG00000004678
xenopus_tropicalis ENSXETG00000011119
latimeria_chalumnae ENSLACG00000018878
astyanax_mexicanus ENSAMXG00000034886
pygocentrus_nattereri ENSPNAG00000007930
danio_rerio ENSDARG00000062222
tetraodon_nigroviridis ENSTNIG00000007274
takifugu_rubripes ENSTRUG00000002364
mola_mola ENSMMOG00000004816
gasterosteus_aculeatus ENSGACG00000000331
mastacembelus_armatus ENSMAMG00000008529
monopterus_albus ENSMALG00000020732
anabas_testudineus ENSATEG00000024283
seriola_dumerili ENSSDUG00000001232
seriola_lalandi_dorsalis ENSSLDG00000007536
scophthalmus_maximus ENSSMAG00000006610
xiphophorus_maculatus ENSXMAG00000004007
xiphophorus_couchianus ENSXCOG00000018436
gambusia_affinis ENSGAFG00000007009
poecilia_mexicana ENSPMEG00000018944
poecilia_latipinna ENSPLAG00000017086
poecilia_formosa ENSPFOG00000017431
poecilia_reticulata ENSPREG00000003226
cyprinodon_variegatus ENSCVAG00000000170
fundulus_heteroclitus ENSFHEG00000021039
kryptolebias_marmoratus ENSKMAG00000006129
oryzias_latipes_asm223471v1 ENSORLG00020014530
oryzias_latipes_asm223467v1 ENSORLG00000015958
oryzias_latipes_asm223469v1 ENSORLG00015009659
oryzias_melastigma ENSOMEG00000005284
maylandia_zebra ENSMZEG00005000310
pundamilia_nyererei ENSPNYG00000017762
maylandia_zebra ENSMZEG00005021678
astatotilapia_calliptera ENSACLG00000006486
haplochromis_burtoni ENSHBUG00000006613
neolamprologus_brichardi ENSNBRG00000012907
oreochromis_niloticus ENSONIG00000019318
amphilophus_citrinellus ENSACIG00000000296
amphiprion_ocellaris ENSAOCG00000013171
amphiprion_percula ENSAPEG00000006423
acanthochromis_polyacanthus ENSAPOG00000022083
stegastes_partitus ENSSPAG00000009527
labrus_bergylta ENSLBEG00000011870
cynoglossus_semilaevis ENSCSEG00000005443
periophthalmus_magnuspinnatus ENSPMGG00000020006
hippocampus_comes ENSHCOG00000009235
gadus_morhua ENSGMOG00000000261
