zonotrichia_albicollis ENSZALG00000013726
junco_hyemalis ENSJHYG00000003470
ficedula_albicollis ENSFALG00000006624
lonchura_striata_domestica ENSLSDG00000015909
taeniopygia_guttata ENSTGUG00000000423
parus_major ENSPMJG00000004463
lepidothrix_coronata ENSLCOG00000005292
calidris_pygmaea ENSCPGG00000010650
calidris_pugnax ENSCPUG00000019135
gallus_gallus ENSGALG00000005979
coturnix_japonica ENSCJPG00005010950
numida_meleagris ENSNMEG00000005594
crocodylus_porosus ENSCPRG00005003415
chelonoidis_abingdonii ENSCABG00000015280
gopherus_agassizii ENSGAGG00000018737
chrysemys_picta_bellii ENSCPBG00000018467
anolis_carolinensis ENSACAG00000009859
phascolarctos_cinereus ENSPCIG00000020449
monodelphis_domestica ENSMODG00000012321
chinchilla_lanigera ENSCLAG00000014735
octodon_degus ENSODEG00000006997
cavia_porcellus ENSCPOG00000008891
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009519
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007715
fukomys_damarensis ENSFDAG00000013849
mus_spicilegus ENSMSIG00000004125
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033945
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036737
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032797
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015664
rattus_norvegicus ENSRNOG00000013136
meriones_unguiculatus ENSMUGG00000012475
peromyscus_maniculatus_bairdii ENSPEMG00000011760
microtus_ochrogaster ENSMOCG00000017814
cricetulus_griseus_crigri-picr ENSCGRG00015009453
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016037
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018213
cricetulus_griseus_crigri_1.0 ENSCGRG00000012026
mesocricetus_auratus ENSMAUG00000017746
ictidomys_tridecemlineatus ENSSTOG00000020956
marmota_marmota_marmota ENSMMMG00000010867
urocitellus_parryii ENSUPAG00010006413
spermophilus_dauricus ENSSDAG00000006716
carlito_syrichta ENSTSYG00000000706
neovison_vison ENSNVIG00000006172
procavia_capensis ENSPCAG00000014147
microcebus_murinus ENSMICG00000049561
propithecus_coquereli ENSPCOG00000007221
prolemur_simus ENSPSMG00000014517
otolemur_garnettii ENSOGAG00000009070
rhinopithecus_roxellana ENSRROG00000033458
rhinopithecus_bieti ENSRBIG00000033383
piliocolobus_tephrosceles ENSPTEG00000021013
colobus_angolensis_palliatus ENSCANG00000024558
macaca_nemestrina ENSMNEG00000037482
macaca_fascicularis ENSMFAG00000041036
macaca_mulatta ENSMMUG00000000996
mandrillus_leucophaeus ENSMLEG00000023701
theropithecus_gelada ENSTGEG00000018970
chlorocebus_sabaeus ENSCSAG00000014406
papio_anubis ENSPANG00000008509
cercocebus_atys ENSCATG00000015484
callithrix_jacchus ENSCJAG00000010173
saimiri_boliviensis_boliviensis ENSSBOG00000022583
aotus_nancymaae ENSANAG00000021659
pan_troglodytes ENSPTRG00000014755
pan_paniscus ENSPPAG00000028571
homo_sapiens ENSG00000172939
pongo_abelii ENSPPYG00000014010
nomascus_leucogenys ENSNLEG00000005345
cebus_capucinus_imitator ENSCCAG00000033133
tupaia_belangeri ENSTBEG00000008621
dipodomys_ordii ENSDORG00000011949
ovis_aries ENSOARG00000001089
capra_hircus ENSCHIG00000017239
bos_mutus ENSBMUG00000018075
bos_taurus ENSBTAG00000014927
bison_bison_bison ENSBBBG00000020205
tursiops_truncatus ENSTTRG00000005309
sus_scrofa ENSSSCG00000011253
vicugna_pacos ENSVPAG00000008140
ursus_maritimus ENSUMAG00000005657
ursus_americanus ENSUAMG00000005328
ailuropoda_melanoleuca ENSAMEG00000017753
mustela_putorius_furo ENSMPUG00000002669
canis_lupus_familiaris ENSCAFG00000004972
canis_lupus_dingo ENSCAFG00020000717
vulpes_vulpes ENSVVUG00000006140
panthera_tigris_altaica ENSPTIG00000009682
panthera_pardus ENSPPRG00000024257
felis_catus ENSFCAG00000012392
equus_caballus ENSECAG00000019157
equus_asinus_asinus ENSEASG00005007524
erinaceus_europaeus ENSEEUG00000006652
myotis_lucifugus ENSMLUG00000011748
choloepus_hoffmanni ENSCHOG00000004816
dasypus_novemcinctus ENSDNOG00000018020
echinops_telfairi ENSETEG00000004948
sorex_araneus ENSSARG00000007478
ornithorhynchus_anatinus ENSOANG00000000384
ornithorhynchus_anatinus ENSOANG00000032023
latimeria_chalumnae ENSLACG00000012878
