propithecus_coquereli ENSPCOG00000025296
microcebus_murinus ENSMICG00000042587
prolemur_simus ENSPSMG00000004082
fukomys_damarensis ENSFDAG00000008667
castor_canadensis ENSCCNG00000020854
marmota_marmota_marmota ENSMMMG00000001584
callithrix_jacchus ENSCJAG00000042560
aotus_nancymaae ENSANAG00000025010
piliocolobus_tephrosceles ENSPTEG00000014539
piliocolobus_tephrosceles ENSPTEG00000014575
macaca_mulatta ENSMMUG00000045696
macaca_nemestrina ENSMNEG00000032150
macaca_nemestrina ENSMNEG00000027987
macaca_nemestrina ENSMNEG00000041570
theropithecus_gelada ENSTGEG00000000867
colobus_angolensis_palliatus ENSCANG00000039344
ursus_maritimus ENSUMAG00000000371
ursus_maritimus ENSUMAG00000009126
neovison_vison ENSNVIG00000004004
panthera_pardus ENSPPRG00000011284
panthera_pardus ENSPPRG00000023316
panthera_tigris_altaica ENSPTIG00000017027
equus_asinus_asinus ENSEASG00005009088
equus_asinus_asinus ENSEASG00005009071
equus_asinus_asinus ENSEASG00005009079
bos_mutus ENSBMUG00000008898
bison_bison_bison ENSBBBG00000020438
capra_hircus ENSCHIG00000023436
