zonotrichia_albicollis ENSZALG00000007214
lonchura_striata_domestica ENSLSDG00000007107
anas_platyrhynchos_platyrhynchos ENSAPLG00000015052
neovison_vison ENSNVIG00000002882
mustela_putorius_furo ENSMPUG00000008086
pan_paniscus ENSPPAG00000022910
pan_troglodytes ENSPTRG00000043068
gorilla_gorilla ENSGGOG00000027459
nomascus_leucogenys ENSNLEG00000035535
rhinopithecus_bieti ENSRBIG00000038430
rhinopithecus_roxellana ENSRROG00000038792
colobus_angolensis_palliatus ENSCANG00000007452
macaca_fascicularis ENSMFAG00000030223
macaca_nemestrina ENSMNEG00000039712
macaca_mulatta ENSMMUG00000015067
papio_anubis ENSPANG00000010371
propithecus_coquereli ENSPCOG00000012794
sus_scrofa ENSSSCG00000034093
carlito_syrichta ENSTSYG00000030399
acanthochromis_polyacanthus ENSAPOG00000006424
petromyzon_marinus ENSPMAG00000002363
