maylandia_zebra ENSMZEG00005022712
astatotilapia_calliptera ENSACLG00000015207
haplochromis_burtoni ENSHBUG00000004976
pundamilia_nyererei ENSPNYG00000018849
oreochromis_niloticus ENSONIG00000004065
stegastes_partitus ENSSPAG00000004998
labrus_bergylta ENSLBEG00000021836
seriola_dumerili ENSSDUG00000020658
seriola_lalandi_dorsalis ENSSLDG00000002661
poecilia_formosa ENSPFOG00000023460
poecilia_mexicana ENSPMEG00000015307
xiphophorus_maculatus ENSXMAG00000016149
acanthochromis_polyacanthus ENSAPOG00000016310
scophthalmus_maximus ENSSMAG00000003794
cynoglossus_semilaevis ENSCSEG00000001377
mola_mola ENSMMOG00000019094
gambusia_affinis ENSGAFG00000003403
xiphophorus_couchianus ENSXCOG00000005566
poecilia_latipinna ENSPLAG00000021316
poecilia_mexicana ENSPMEG00000006299
cyprinodon_variegatus ENSCVAG00000007716
fundulus_heteroclitus ENSFHEG00000017842
oryzias_latipes_asm223467v1 ENSORLG00000018559
oryzias_latipes_asm223469v1 ENSORLG00015021518
oryzias_latipes_asm223471v1 ENSORLG00020006280
oryzias_melastigma ENSOMEG00000021143
anabas_testudineus ENSATEG00000004461
periophthalmus_magnuspinnatus ENSPMGG00000008488
danio_rerio ENSDARG00000069379
danio_rerio ENSDARG00000018301
pygocentrus_nattereri ENSPNAG00000017650
pogona_vitticeps ENSPVIG00000021878
anolis_carolinensis ENSACAG00000028896
notechis_scutatus ENSNSUG00000012982
apteryx_rowi ENSARWG00000000090
apteryx_owenii ENSAOWG00000005551
apteryx_haastii ENSAHAG00000003641
nothoprocta_perdicaria ENSNPEG00000006188
dromaius_novaehollandiae ENSDNVG00000013223
junco_hyemalis ENSJHYG00000001586
zonotrichia_albicollis ENSZALG00000007763
serinus_canaria ENSSCAG00000005809
cyanistes_caeruleus ENSCCEG00000008742
lonchura_striata_domestica ENSLSDG00000015681
parus_major ENSPMJG00000014187
ficedula_albicollis ENSFALG00000007194
lepidothrix_coronata ENSLCOG00000015414
melopsittacus_undulatus ENSMUNG00000000611
calidris_pygmaea ENSCPGG00000006245
calidris_pugnax ENSCPUG00000010557
manacus_vitellinus ENSMVIG00005011521
anser_brachyrhynchus ENSABRG00000003948
anas_platyrhynchos_platyrhynchos ENSAPLG00000027474
coturnix_japonica ENSCJPG00005011559
meleagris_gallopavo ENSMGAG00000002365
gallus_gallus ENSGALG00000050464
numida_meleagris ENSNMEG00000013139
