gambusia_affinis ENSGAFG00000013621
xiphophorus_maculatus ENSXMAG00000028537
poecilia_mexicana ENSPMEG00000010840
poecilia_latipinna ENSPLAG00000022637
cyprinodon_variegatus ENSCVAG00000011179
poecilia_reticulata ENSPREG00000013168
amphilophus_citrinellus ENSACIG00000007058
amphiprion_ocellaris ENSAOCG00000021579
amphiprion_percula ENSAPEG00000018012
acanthochromis_polyacanthus ENSAPOG00000017681
oryzias_latipes_asm223467v1 ENSORLG00000027559
oryzias_latipes_asm223471v1 ENSORLG00020019111
oryzias_latipes_asm223469v1 ENSORLG00015020023
oryzias_melastigma ENSOMEG00000006133
mola_mola ENSMMOG00000007375
seriola_lalandi_dorsalis ENSSLDG00000008357
