mastacembelus_armatus ENSMAMG00000010341
monopterus_albus ENSMALG00000015001
amphiprion_ocellaris ENSAOCG00000002180
amphiprion_percula ENSAPEG00000004285
acanthochromis_polyacanthus ENSAPOG00000023421
acanthochromis_polyacanthus ENSAPOG00000023459
stegastes_partitus ENSSPAG00000013877
labrus_bergylta ENSLBEG00000015676
mola_mola ENSMMOG00000002235
seriola_lalandi_dorsalis ENSSLDG00000009126
seriola_dumerili ENSSDUG00000005128
scophthalmus_maximus ENSSMAG00000000457
gasterosteus_aculeatus ENSGACG00000019680
anabas_testudineus ENSATEG00000014728
hippocampus_comes ENSHCOG00000014631
poecilia_mexicana ENSPMEG00000001367
poecilia_formosa ENSPFOG00000006830
poecilia_latipinna ENSPLAG00000005783
poecilia_reticulata ENSPREG00000004384
poecilia_reticulata ENSPREG00000011730
poecilia_reticulata ENSPREG00000021978
poecilia_reticulata ENSPREG00000002167
poecilia_mexicana ENSPMEG00000018433
poecilia_latipinna ENSPLAG00000015734
poecilia_latipinna ENSPLAG00000012364
poecilia_formosa ENSPFOG00000016420
poecilia_latipinna ENSPLAG00000022265
poecilia_reticulata ENSPREG00000004769
poecilia_formosa ENSPFOG00000001135
poecilia_mexicana ENSPMEG00000001365
poecilia_reticulata ENSPREG00000021477
gambusia_affinis ENSGAFG00000016426
xiphophorus_couchianus ENSXCOG00000013433
xiphophorus_maculatus ENSXMAG00000003491
fundulus_heteroclitus ENSFHEG00000019740
cyprinodon_variegatus ENSCVAG00000014941
kryptolebias_marmoratus ENSKMAG00000014702
oryzias_latipes_asm223469v1 ENSORLG00015015615
oryzias_latipes_asm223467v1 ENSORLG00000013859
oryzias_latipes_asm223471v1 ENSORLG00020016645
oryzias_melastigma ENSOMEG00000009520
acanthochromis_polyacanthus ENSAPOG00000009844
cynoglossus_semilaevis ENSCSEG00000008871
periophthalmus_magnuspinnatus ENSPMGG00000014977
tetraodon_nigroviridis ENSTNIG00000007575
takifugu_rubripes ENSTRUG00000016474
maylandia_zebra ENSMZEG00005008010
haplochromis_burtoni ENSHBUG00000005953
astatotilapia_calliptera ENSACLG00000026346
pundamilia_nyererei ENSPNYG00000020275
neolamprologus_brichardi ENSNBRG00000004000
oreochromis_niloticus ENSONIG00000011707
amphilophus_citrinellus ENSACIG00000018383
gadus_morhua ENSGMOG00000013627
esox_lucius ENSELUG00000011445
pygocentrus_nattereri ENSPNAG00000014765
astyanax_mexicanus ENSAMXG00000003675
danio_rerio ENSDARG00000009252
scleropages_formosus ENSSFOG00015003253
scleropages_formosus ENSSFOG00015023713
paramormyrops_kingsleyae ENSPKIG00000020551
lepisosteus_oculatus ENSLOCG00000015986
castor_canadensis ENSCCNG00000029493
dipodomys_ordii ENSDORG00000029712
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018986
