ornithorhynchus_anatinus ENSOANG00000009693
myotis_lucifugus ENSMLUG00000030717
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026245
phascolarctos_cinereus ENSPCIG00000033593
phascolarctos_cinereus ENSPCIG00000016915
sarcophilus_harrisii ENSSHAG00000016452
monodelphis_domestica ENSMODG00000018920
jaculus_jaculus ENSJJAG00000016706
apteryx_owenii ENSAOWG00000002334
apteryx_haastii ENSAHAG00000011587
apteryx_rowi ENSARWG00000013273
dromaius_novaehollandiae ENSDNVG00000012068
nothoprocta_perdicaria ENSNPEG00000001475
anas_platyrhynchos_platyrhynchos ENSAPLG00000013523
anser_brachyrhynchus ENSABRG00000008093
gallus_gallus ENSGALG00000036711
coturnix_japonica ENSCJPG00005014061
meleagris_gallopavo ENSMGAG00000006125
numida_meleagris ENSNMEG00000003593
crocodylus_porosus ENSCPRG00005013665
chelonoidis_abingdonii ENSCABG00000016819
gopherus_agassizii ENSGAGG00000018317
chrysemys_picta_bellii ENSCPBG00000025455
pogona_vitticeps ENSPVIG00000021585
pogona_vitticeps ENSPVIG00000015279
pogona_vitticeps ENSPVIG00000002412
anolis_carolinensis ENSACAG00000000617
notechis_scutatus ENSNSUG00000002533
salvator_merianae ENSSMRG00000021441
sphenodon_punctatus ENSSPUG00000002323
calidris_pygmaea ENSCPGG00000004311
calidris_pugnax ENSCPUG00000007241
melopsittacus_undulatus ENSMUNG00000010851
serinus_canaria ENSSCAG00000011093
ficedula_albicollis ENSFALG00000001725
lepidothrix_coronata ENSLCOG00000007705
spermophilus_dauricus ENSSDAG00000010898
spermophilus_dauricus ENSSDAG00000010915
spermophilus_dauricus ENSSDAG00000010912
urocitellus_parryii ENSUPAG00010004949
marmota_marmota_marmota ENSMMMG00000018305
ictidomys_tridecemlineatus ENSSTOG00000023386
meriones_unguiculatus ENSMUGG00000003661
meriones_unguiculatus ENSMUGG00000003694
rattus_norvegicus ENSRNOG00000010105
rattus_norvegicus ENSRNOG00000040101
mus_spicilegus ENSMSIG00000011446
mus_spicilegus ENSMSIG00000027918
mus_spicilegus ENSMSIG00000015002
mus_spicilegus ENSMSIG00000013266
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027907
mus_spicilegus ENSMSIG00000024606
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025303
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026746
nannospalax_galili ENSNGAG00000016757
cricetulus_griseus_crigri_1.0 ENSCGRG00000014847
cricetulus_griseus_crigri-picr ENSCGRG00015007998
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023641
mesocricetus_auratus ENSMAUG00000019826
microtus_ochrogaster ENSMOCG00000004702
peromyscus_maniculatus_bairdii ENSPEMG00000027141
oryctolagus_cuniculus ENSOCUG00000005202
pan_troglodytes ENSPTRG00000049740
pan_troglodytes ENSPTRG00000048368
pan_troglodytes ENSPTRG00000045347
pan_troglodytes ENSPTRG00000051663
pan_troglodytes ENSPTRG00000047221
macaca_mulatta ENSMMUG00000047546
macaca_fascicularis ENSMFAG00000035736
macaca_nemestrina ENSMNEG00000039454
chlorocebus_sabaeus ENSCSAG00000019604
mandrillus_leucophaeus ENSMLEG00000033953
cercocebus_atys ENSCATG00000042918
papio_anubis ENSPANG00000031355
