mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023024
mus_spicilegus ENSMSIG00000010076
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073600
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022112
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018846
rattus_norvegicus ENSRNOG00000039596
meriones_unguiculatus ENSMUGG00000017263
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003909
cricetulus_griseus_crigri-picr ENSCGRG00015002778
mesocricetus_auratus ENSMAUG00000000382
microtus_ochrogaster ENSMOCG00000014123
peromyscus_maniculatus_bairdii ENSPEMG00000020881
nannospalax_galili ENSNGAG00000019242
jaculus_jaculus ENSJJAG00000017932
castor_canadensis ENSCCNG00000021392
urocitellus_parryii ENSUPAG00010022069
ictidomys_tridecemlineatus ENSSTOG00000020198
marmota_marmota_marmota ENSMMMG00000009879
octodon_degus ENSODEG00000002833
cavia_porcellus ENSCPOG00000035933
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020658
fukomys_damarensis ENSFDAG00000014057
oryctolagus_cuniculus ENSOCUG00000006947
prolemur_simus ENSPSMG00000019083
otolemur_garnettii ENSOGAG00000010617
pan_paniscus ENSPPAG00000007840
pan_troglodytes ENSPTRG00000039590
homo_sapiens ENSG00000228672
gorilla_gorilla ENSGGOG00000024748
pongo_abelii ENSPPYG00000015839
nomascus_leucogenys ENSNLEG00000009161
piliocolobus_tephrosceles ENSPTEG00000031295
rhinopithecus_bieti ENSRBIG00000029532
theropithecus_gelada ENSTGEG00000024127
chlorocebus_sabaeus ENSCSAG00000000497
callithrix_jacchus ENSCJAG00000040085
ursus_americanus ENSUAMG00000026690
ailuropoda_melanoleuca ENSAMEG00000011223
neovison_vison ENSNVIG00000014327
mustela_putorius_furo ENSMPUG00000019785
canis_lupus_familiaris ENSCAFG00000024193
canis_lupus_dingo ENSCAFG00020003180
vulpes_vulpes ENSVVUG00000009908
felis_catus ENSFCAG00000044483
panthera_pardus ENSPPRG00000018174
equus_asinus_asinus ENSEASG00005020875
equus_caballus ENSECAG00000005235
bos_taurus ENSBTAG00000030520
bison_bison_bison ENSBBBG00000012723
capra_hircus ENSCHIG00000010812
sus_scrofa ENSSSCG00000014347
dasypus_novemcinctus ENSDNOG00000044909
echinops_telfairi ENSETEG00000010775
monodelphis_domestica ENSMODG00000023788
sarcophilus_harrisii ENSSHAG00000010763
ficedula_albicollis ENSFALG00000015220
