stegastes_partitus ENSSPAG00000006456
anser_brachyrhynchus ENSABRG00000009561
monopterus_albus ENSMALG00000006499
anabas_testudineus ENSATEG00000001855
takifugu_rubripes ENSTRUG00000015622
tetraodon_nigroviridis ENSTNIG00000011712
mola_mola ENSMMOG00000020622
gasterosteus_aculeatus ENSGACG00000008679
scophthalmus_maximus ENSSMAG00000007334
mastacembelus_armatus ENSMAMG00000022319
labrus_bergylta ENSLBEG00000004154
seriola_dumerili ENSSDUG00000022984
seriola_lalandi_dorsalis ENSSLDG00000017713
xiphophorus_maculatus ENSXMAG00000008915
xiphophorus_couchianus ENSXCOG00000017181
gambusia_affinis ENSGAFG00000000901
poecilia_latipinna ENSPLAG00000021038
poecilia_mexicana ENSPMEG00000011396
poecilia_formosa ENSPFOG00000011875
poecilia_formosa ENSPFOG00000011972
poecilia_reticulata ENSPREG00000010162
poecilia_latipinna ENSPLAG00000004824
poecilia_formosa ENSPFOG00000012126
fundulus_heteroclitus ENSFHEG00000012125
fundulus_heteroclitus ENSFHEG00000012184
cyprinodon_variegatus ENSCVAG00000009544
kryptolebias_marmoratus ENSKMAG00000020055
oryzias_latipes_asm223467v1 ENSORLG00000003868
oryzias_latipes_asm223471v1 ENSORLG00020008458
oryzias_latipes_asm223469v1 ENSORLG00015021984
oryzias_melastigma ENSOMEG00000023066
amphiprion_percula ENSAPEG00000004833
amphiprion_ocellaris ENSAOCG00000016687
acanthochromis_polyacanthus ENSAPOG00000016951
astatotilapia_calliptera ENSACLG00000002615
maylandia_zebra ENSMZEG00005022736
pundamilia_nyererei ENSPNYG00000010655
haplochromis_burtoni ENSHBUG00000002002
neolamprologus_brichardi ENSNBRG00000018190
oreochromis_niloticus ENSONIG00000001102
amphilophus_citrinellus ENSACIG00000010830
cynoglossus_semilaevis ENSCSEG00000016986
periophthalmus_magnuspinnatus ENSPMGG00000010783
hippocampus_comes ENSHCOG00000008788
hippocampus_comes ENSHCOG00000004704
gadus_morhua ENSGMOG00000015110
esox_lucius ENSELUG00000018495
pygocentrus_nattereri ENSPNAG00000004382
astyanax_mexicanus ENSAMXG00000041137
ictalurus_punctatus ENSIPUG00000019959
danio_rerio ENSDARG00000104734
scleropages_formosus ENSSFOG00015010019
scleropages_formosus ENSSFOG00015023121
paramormyrops_kingsleyae ENSPKIG00000001284
lepisosteus_oculatus ENSLOCG00000012570
chelonoidis_abingdonii ENSCABG00000014692
gopherus_agassizii ENSGAGG00000023279
chrysemys_picta_bellii ENSCPBG00000006907
crocodylus_porosus ENSCPRG00005005475
calidris_pygmaea ENSCPGG00000002898
calidris_pugnax ENSCPUG00000014571
anas_platyrhynchos_platyrhynchos ENSAPLG00000013309
meleagris_gallopavo ENSMGAG00000006718
coturnix_japonica ENSCJPG00005004853
gallus_gallus ENSGALG00000003369
numida_meleagris ENSNMEG00000007232
melopsittacus_undulatus ENSMUNG00000016461
parus_major ENSPMJG00000001104
cyanistes_caeruleus ENSCCEG00000021413
ficedula_albicollis ENSFALG00000000656
taeniopygia_guttata ENSTGUG00000002531
lonchura_striata_domestica ENSLSDG00000006993
serinus_canaria ENSSCAG00000007033
junco_hyemalis ENSJHYG00000012106
zonotrichia_albicollis ENSZALG00000005065
lepidothrix_coronata ENSLCOG00000012102
manacus_vitellinus ENSMVIG00005007829
apteryx_haastii ENSAHAG00000010242
apteryx_owenii ENSAOWG00000008348
apteryx_rowi ENSARWG00000014408
dromaius_novaehollandiae ENSDNVG00000000765
nothoprocta_perdicaria ENSNPEG00000002577
sphenodon_punctatus ENSSPUG00000012964
ochotona_princeps ENSOPRG00000000759
oryctolagus_cuniculus ENSOCUG00000013285
carlito_syrichta ENSTSYG00000030078
myotis_lucifugus ENSMLUG00000012015
pteropus_vampyrus ENSPVAG00000003859
erinaceus_europaeus ENSEEUG00000002724
equus_caballus ENSECAG00000025059
equus_asinus_asinus ENSEASG00005009207
ursus_americanus ENSUAMG00000024345
ursus_maritimus ENSUMAG00000023038
ailuropoda_melanoleuca ENSAMEG00000005952
mustela_putorius_furo ENSMPUG00000010560
neovison_vison ENSNVIG00000012127
canis_lupus_dingo ENSCAFG00020013546
canis_lupus_familiaris ENSCAFG00000015692
vulpes_vulpes ENSVVUG00000021134
panthera_tigris_altaica ENSPTIG00000008088
panthera_pardus ENSPPRG00000005293
felis_catus ENSFCAG00000002146
capra_hircus ENSCHIG00000021124
ovis_aries ENSOARG00000018523
bos_taurus ENSBTAG00000044019
bos_mutus ENSBMUG00000016697
bison_bison_bison ENSBBBG00000010563
tursiops_truncatus ENSTTRG00000006661
sus_scrofa ENSSSCG00000017414
vicugna_pacos ENSVPAG00000005448
microcebus_murinus ENSMICG00000011944
prolemur_simus ENSPSMG00000012613
propithecus_coquereli ENSPCOG00000019992
otolemur_garnettii ENSOGAG00000009442
pan_troglodytes ENSPTRG00000009192
pan_paniscus ENSPPAG00000041529
homo_sapiens ENSG00000108773
gorilla_gorilla ENSGGOG00000005463
nomascus_leucogenys ENSNLEG00000011357
macaca_fascicularis ENSMFAG00000040507
macaca_nemestrina ENSMNEG00000035340
macaca_mulatta ENSMMUG00000014756
mandrillus_leucophaeus ENSMLEG00000038575
theropithecus_gelada ENSTGEG00000009389
cercocebus_atys ENSCATG00000043639
papio_anubis ENSPANG00000021453
chlorocebus_sabaeus ENSCSAG00000003097
rhinopithecus_bieti ENSRBIG00000026433
rhinopithecus_roxellana ENSRROG00000037766
colobus_angolensis_palliatus ENSCANG00000028419
piliocolobus_tephrosceles ENSPTEG00000015520
saimiri_boliviensis_boliviensis ENSSBOG00000023343
callithrix_jacchus ENSCJAG00000014837
aotus_nancymaae ENSANAG00000026916
cebus_capucinus_imitator ENSCCAG00000023968
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020918
mus_spicilegus ENSMSIG00000004648
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018025
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017182
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018312
rattus_norvegicus ENSRNOG00000018364
meriones_unguiculatus ENSMUGG00000023536
peromyscus_maniculatus_bairdii ENSPEMG00000017221
microtus_ochrogaster ENSMOCG00000020106
cricetulus_griseus_crigri-picr ENSCGRG00015002186
cricetulus_griseus_crigri_1.0 ENSCGRG00000008663
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018026
mesocricetus_auratus ENSMAUG00000019208
nannospalax_galili ENSNGAG00000011766
