colobus_angolensis_palliatus ENSCANG00000032749
sus_scrofa ENSSSCG00000032281
pan_paniscus ENSPPAG00000000477
gorilla_gorilla ENSGGOG00000041112
theropithecus_gelada ENSTGEG00000007930
mandrillus_leucophaeus ENSMLEG00000003338
piliocolobus_tephrosceles ENSPTEG00000032916
aotus_nancymaae ENSANAG00000019606
propithecus_coquereli ENSPCOG00000012582
propithecus_coquereli ENSPCOG00000020062
peromyscus_maniculatus_bairdii ENSPEMG00000027286
spermophilus_dauricus ENSSDAG00000013777
spermophilus_dauricus ENSSDAG00000013785
urocitellus_parryii ENSUPAG00010004502
spermophilus_dauricus ENSSDAG00000013795
castor_canadensis ENSCCNG00000010646
microcebus_murinus ENSMICG00000038041
ursus_maritimus ENSUMAG00000015221
ursus_americanus ENSUAMG00000027556
neovison_vison ENSNVIG00000015478
panthera_pardus ENSPPRG00000020605
panthera_pardus ENSPPRG00000020592
panthera_tigris_altaica ENSPTIG00000009237
equus_asinus_asinus ENSEASG00005005485
equus_caballus ENSECAG00000035602
bos_mutus ENSBMUG00000017666
bos_taurus ENSBTAG00000050737
bison_bison_bison ENSBBBG00000017515
capra_hircus ENSCHIG00000014861
