oryzias_melastigma ENSOMEG00000009814
mola_mola ENSMMOG00000018592
mastacembelus_armatus ENSMAMG00000012578
pygocentrus_nattereri ENSPNAG00000023591
pygocentrus_nattereri ENSPNAG00000025947
pygocentrus_nattereri ENSPNAG00000006533
pygocentrus_nattereri ENSPNAG00000021282
pygocentrus_nattereri ENSPNAG00000011211
pygocentrus_nattereri ENSPNAG00000013711
pygocentrus_nattereri ENSPNAG00000013691
pygocentrus_nattereri ENSPNAG00000025725
pygocentrus_nattereri ENSPNAG00000025717
pygocentrus_nattereri ENSPNAG00000025705
pygocentrus_nattereri ENSPNAG00000018176
pygocentrus_nattereri ENSPNAG00000018189
pygocentrus_nattereri ENSPNAG00000018156
pygocentrus_nattereri ENSPNAG00000007389
cynoglossus_semilaevis ENSCSEG00000005359
seriola_dumerili ENSSDUG00000015305
oryzias_latipes_asm223471v1 ENSORLG00020020709
oryzias_latipes_asm223471v1 ENSORLG00020020720
oryzias_latipes_asm223469v1 ENSORLG00015019603
manacus_vitellinus ENSMVIG00005015225
