gorilla_gorilla ENSGGOG00000026854
pan_paniscus ENSPPAG00000017863
homo_sapiens ENSG00000225523
homo_sapiens ENSG00000211611
pongo_abelii ENSPPYG00000029708
papio_anubis ENSPANG00000005426
chlorocebus_sabaeus ENSCSAG00000016519
macaca_fascicularis ENSMFAG00000011337
macaca_nemestrina ENSMNEG00000000446
papio_anubis ENSPANG00000010209
chlorocebus_sabaeus ENSCSAG00000016513
cercocebus_atys ENSCATG00000043116
theropithecus_gelada ENSTGEG00000028214
piliocolobus_tephrosceles ENSPTEG00000003424
homo_sapiens ENSG00000211626
peromyscus_maniculatus_bairdii ENSPEMG00000025025
peromyscus_maniculatus_bairdii ENSPEMG00000028689
peromyscus_maniculatus_bairdii ENSPEMG00000025511
peromyscus_maniculatus_bairdii ENSPEMG00000024712
peromyscus_maniculatus_bairdii ENSPEMG00000027401
peromyscus_maniculatus_bairdii ENSPEMG00000030458
peromyscus_maniculatus_bairdii ENSPEMG00000026059
peromyscus_maniculatus_bairdii ENSPEMG00000026120
peromyscus_maniculatus_bairdii ENSPEMG00000028064
peromyscus_maniculatus_bairdii ENSPEMG00000029848
cricetulus_griseus_crigri-picr ENSCGRG00015018926
cricetulus_griseus_crigri-picr ENSCGRG00015011637
cricetulus_griseus_crigri-picr ENSCGRG00015002780
cricetulus_griseus_crigri-picr ENSCGRG00015011642
cricetulus_griseus_crigri-picr ENSCGRG00015012338
mesocricetus_auratus ENSMAUG00000014450
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094433
mus_spicilegus ENSMSIG00000008302
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094094
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000100
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076571
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000098
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076569
mus_spicilegus ENSMSIG00000008334
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000074
rattus_norvegicus ENSRNOG00000048017
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076563
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000096
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000073
rattus_norvegicus ENSRNOG00000048182
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000075
castor_canadensis ENSCCNG00000007252
castor_canadensis ENSCCNG00000009012
tupaia_belangeri ENSTBEG00000008512
tupaia_belangeri ENSTBEG00000011432
sus_scrofa ENSSSCG00000038789
sus_scrofa ENSSSCG00000039724
sus_scrofa ENSSSCG00000034504
ovis_aries ENSOARG00000020794
panthera_pardus ENSPPRG00000006116
felis_catus ENSFCAG00000041795
ursus_maritimus ENSUMAG00000008345
ursus_americanus ENSUAMG00000026168
ailuropoda_melanoleuca ENSAMEG00000010176
equus_caballus ENSECAG00000022590
equus_asinus_asinus ENSEASG00005006559
