marmota_marmota_marmota ENSMMMG00000015162
meriones_unguiculatus ENSMUGG00000012644
piliocolobus_tephrosceles ENSPTEG00000031823
apteryx_haastii ENSAHAG00000017893
apteryx_owenii ENSAOWG00000009499
melopsittacus_undulatus ENSMUNG00000007378
salvator_merianae ENSSMRG00000011701
vulpes_vulpes ENSVVUG00000001028
canis_lupus_dingo ENSCAFG00020010750
ursus_maritimus ENSUMAG00000008116
equus_asinus_asinus ENSEASG00005011993
cyanistes_caeruleus ENSCCEG00000002612
poecilia_latipinna ENSPLAG00000021006
poecilia_mexicana ENSPMEG00000009586
mastacembelus_armatus ENSMAMG00000014534
monopterus_albus ENSMALG00000018362
oryzias_latipes_asm223469v1 ENSORLG00015000327
hippocampus_comes ENSHCOG00000004744
