tupaia_belangeri ENSTBEG00000008867
dipodomys_ordii ENSDORG00000000077
prolemur_simus ENSPSMG00000007327
pteropus_vampyrus ENSPVAG00000001395
tursiops_truncatus ENSTTRG00000010056
ovis_aries ENSOARG00000000165
vicugna_pacos ENSVPAG00000007587
equus_asinus_asinus ENSEASG00005013308
equus_caballus ENSECAG00000034456
ursus_americanus ENSUAMG00000010314
nomascus_leucogenys ENSNLEG00000002873
choloepus_hoffmanni ENSCHOG00000003461
sarcophilus_harrisii ENSSHAG00000015193
gopherus_agassizii ENSGAGG00000005381
