ictidomys_tridecemlineatus ENSSTOG00000007128
spermophilus_dauricus ENSSDAG00000012979
urocitellus_parryii ENSUPAG00010012993
marmota_marmota_marmota ENSMMMG00000009408
chinchilla_lanigera ENSCLAG00000016535
octodon_degus ENSODEG00000008307
cavia_aperea ENSCAPG00000005216
cavia_porcellus ENSCPOG00000004677
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019111
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017916
fukomys_damarensis ENSFDAG00000018523
castor_canadensis ENSCCNG00000005940
dipodomys_ordii ENSDORG00000027997
mus_spicilegus ENSMSIG00000026734
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090958
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031128
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030018
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013239
rattus_norvegicus ENSRNOG00000015310
meriones_unguiculatus ENSMUGG00000019847
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007026
cricetulus_griseus_crigri-picr ENSCGRG00015013119
cricetulus_griseus_crigri_1.0 ENSCGRG00000008965
mesocricetus_auratus ENSMAUG00000017794
microtus_ochrogaster ENSMOCG00000017378
peromyscus_maniculatus_bairdii ENSPEMG00000024699
nannospalax_galili ENSNGAG00000010300
jaculus_jaculus ENSJJAG00000000443
oryctolagus_cuniculus ENSOCUG00000015394
pan_troglodytes ENSPTRG00000004094
pan_paniscus ENSPPAG00000028327
homo_sapiens ENSG00000137507
gorilla_gorilla ENSGGOG00000001727
pongo_abelii ENSPPYG00000003700
nomascus_leucogenys ENSNLEG00000016810
papio_anubis ENSPANG00000015382
cercocebus_atys ENSCATG00000039757
theropithecus_gelada ENSTGEG00000001412
mandrillus_leucophaeus ENSMLEG00000030896
macaca_fascicularis ENSMFAG00000039295
macaca_mulatta ENSMMUG00000022403
macaca_nemestrina ENSMNEG00000041843
chlorocebus_sabaeus ENSCSAG00000003880
rhinopithecus_bieti ENSRBIG00000043891
rhinopithecus_roxellana ENSRROG00000028668
colobus_angolensis_palliatus ENSCANG00000037123
piliocolobus_tephrosceles ENSPTEG00000036193
cebus_capucinus_imitator ENSCCAG00000036797
saimiri_boliviensis_boliviensis ENSSBOG00000034148
callithrix_jacchus ENSCJAG00000041496
aotus_nancymaae ENSANAG00000036098
carlito_syrichta ENSTSYG00000034701
propithecus_coquereli ENSPCOG00000028697
microcebus_murinus ENSMICG00000026468
prolemur_simus ENSPSMG00000007385
otolemur_garnettii ENSOGAG00000010967
myotis_lucifugus ENSMLUG00000010094
pteropus_vampyrus ENSPVAG00000017670
erinaceus_europaeus ENSEEUG00000009990
ailuropoda_melanoleuca ENSAMEG00000016910
ursus_americanus ENSUAMG00000000314
neovison_vison ENSNVIG00000000538
mustela_putorius_furo ENSMPUG00000008762
canis_lupus_familiaris ENSCAFG00000005243
canis_lupus_dingo ENSCAFG00020001532
vulpes_vulpes ENSVVUG00000024297
panthera_tigris_altaica ENSPTIG00000019326
panthera_pardus ENSPPRG00000014260
felis_catus ENSFCAG00000012007
equus_caballus ENSECAG00000019895
equus_asinus_asinus ENSEASG00005014217
capra_hircus ENSCHIG00000024280
ovis_aries ENSOARG00000012979
bos_taurus ENSBTAG00000001301
bos_mutus ENSBMUG00000001231
bison_bison_bison ENSBBBG00000023629
tursiops_truncatus ENSTTRG00000013300
sus_scrofa ENSSSCG00000014869
dasypus_novemcinctus ENSDNOG00000036201
loxodonta_africana ENSLAFG00000017456
phascolarctos_cinereus ENSPCIG00000011397
monodelphis_domestica ENSMODG00000005278
sarcophilus_harrisii ENSSHAG00000007473
