notamacropus_eugenii ENSMEUG00000015619
phascolarctos_cinereus ENSPCIG00000017273
sarcophilus_harrisii ENSSHAG00000010939
monodelphis_domestica ENSMODG00000016163
ursus_maritimus ENSUMAG00000021614
ursus_americanus ENSUAMG00000013309
ailuropoda_melanoleuca ENSAMEG00000008206
mustela_putorius_furo ENSMPUG00000015628
neovison_vison ENSNVIG00000019228
canis_lupus_dingo ENSCAFG00020001166
canis_lupus_familiaris ENSCAFG00000019547
vulpes_vulpes ENSVVUG00000010997
panthera_pardus ENSPPRG00000004432
panthera_tigris_altaica ENSPTIG00000006591
felis_catus ENSFCAG00000033771
equus_asinus_asinus ENSEASG00005001516
equus_caballus ENSECAG00000015576
tursiops_truncatus ENSTTRG00000011999
sus_scrofa ENSSSCG00000008021
capra_hircus ENSCHIG00000008739
ovis_aries ENSOARG00000015937
bos_mutus ENSBMUG00000022060
bos_taurus ENSBTAG00000007246
bison_bison_bison ENSBBBG00000022464
erinaceus_europaeus ENSEEUG00000009060
sorex_araneus ENSSARG00000007639
pteropus_vampyrus ENSPVAG00000016663
myotis_lucifugus ENSMLUG00000010040
oryctolagus_cuniculus ENSOCUG00000001136
ochotona_princeps ENSOPRG00000001339
castor_canadensis ENSCCNG00000031270
dipodomys_ordii ENSDORG00000028876
peromyscus_maniculatus_bairdii ENSPEMG00000027984
microtus_ochrogaster ENSMOCG00000010004
cricetulus_griseus_crigri_1.0 ENSCGRG00000012431
cricetulus_griseus_crigri-picr ENSCGRG00015016170
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023413
mesocricetus_auratus ENSMAUG00000008010
mus_spicilegus ENSMSIG00000010873
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022130
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024168
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021219
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023537
rattus_norvegicus ENSRNOG00000016494
meriones_unguiculatus ENSMUGG00000016363
nannospalax_galili ENSNGAG00000016981
jaculus_jaculus ENSJJAG00000016676
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016178
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002206
