gorilla_gorilla ENSGGOG00000003319
homo_sapiens ENSG00000122862
pan_troglodytes ENSPTRG00000002565
pan_paniscus ENSPPAG00000027779
pongo_abelii ENSPPYG00000002387
nomascus_leucogenys ENSNLEG00000011575
macaca_mulatta ENSMMUG00000037735
macaca_fascicularis ENSMFAG00000040348
macaca_nemestrina ENSMNEG00000028902
mandrillus_leucophaeus ENSMLEG00000034577
cercocebus_atys ENSCATG00000035817
theropithecus_gelada ENSTGEG00000029153
papio_anubis ENSPANG00000022138
chlorocebus_sabaeus ENSCSAG00000007791
rhinopithecus_roxellana ENSRROG00000026739
rhinopithecus_bieti ENSRBIG00000031550
piliocolobus_tephrosceles ENSPTEG00000029386
colobus_angolensis_palliatus ENSCANG00000013250
callithrix_jacchus ENSCJAG00000038711
saimiri_boliviensis_boliviensis ENSSBOG00000019744
cebus_capucinus_imitator ENSCCAG00000037221
aotus_nancymaae ENSANAG00000032565
carlito_syrichta ENSTSYG00000036827
microcebus_murinus ENSMICG00000046302
propithecus_coquereli ENSPCOG00000028219
otolemur_garnettii ENSOGAG00000005910
tupaia_belangeri ENSTBEG00000015293
castor_canadensis ENSCCNG00000030816
dipodomys_ordii ENSDORG00000023694
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016197
mus_spicilegus ENSMSIG00000030457
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020077
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015386
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030802
rattus_norvegicus ENSRNOG00000000394
meriones_unguiculatus ENSMUGG00000023540
cricetulus_griseus_crigri_1.0 ENSCGRG00000015367
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023117
cricetulus_griseus_crigri-picr ENSCGRG00015005471
peromyscus_maniculatus_bairdii ENSPEMG00000024958
nannospalax_galili ENSNGAG00000009397
chinchilla_lanigera ENSCLAG00000013917
cavia_porcellus ENSCPOG00000005120
octodon_degus ENSODEG00000012813
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014268
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009729
marmota_marmota_marmota ENSMMMG00000007773
urocitellus_parryii ENSUPAG00010020400
spermophilus_dauricus ENSSDAG00000002868
oryctolagus_cuniculus ENSOCUG00000024313
ochotona_princeps ENSOPRG00000001679
ursus_maritimus ENSUMAG00000007749
ursus_americanus ENSUAMG00000010323
ailuropoda_melanoleuca ENSAMEG00000017969
ursus_maritimus ENSUMAG00000010964
ursus_americanus ENSUAMG00000006104
ailuropoda_melanoleuca ENSAMEG00000020210
neovison_vison ENSNVIG00000012411
canis_lupus_familiaris ENSCAFG00000013817
canis_lupus_dingo ENSCAFG00020025951
vulpes_vulpes ENSVVUG00000020501
panthera_pardus ENSPPRG00000007180
panthera_tigris_altaica ENSPTIG00000006384
felis_catus ENSFCAG00000032249
equus_caballus ENSECAG00000009192
equus_asinus_asinus ENSEASG00005015605
capra_hircus ENSCHIG00000000139
ovis_aries ENSOARG00000005322
bos_mutus ENSBMUG00000013097
bos_taurus ENSBTAG00000017863
bison_bison_bison ENSBBBG00000006076
vicugna_pacos ENSVPAG00000000629
tursiops_truncatus ENSTTRG00000008173
sus_scrofa ENSSSCG00000023374
pteropus_vampyrus ENSPVAG00000009530
myotis_lucifugus ENSMLUG00000012649
procavia_capensis ENSPCAG00000001387
prolemur_simus ENSPSMG00000009366
erinaceus_europaeus ENSEEUG00000001992
echinops_telfairi ENSETEG00000019479
loxodonta_africana ENSLAFG00000004256
dasypus_novemcinctus ENSDNOG00000043179
choloepus_hoffmanni ENSCHOG00000000448
sarcophilus_harrisii ENSSHAG00000003801
ornithorhynchus_anatinus ENSOANG00000003008
apteryx_owenii ENSAOWG00000015981
apteryx_haastii ENSAHAG00000015307
apteryx_rowi ENSARWG00000010310
dromaius_novaehollandiae ENSDNVG00000005655
nothoprocta_perdicaria ENSNPEG00000006587
calidris_pygmaea ENSCPGG00000016760
calidris_pugnax ENSCPUG00000011362
taeniopygia_guttata ENSTGUG00000003885
lonchura_striata_domestica ENSLSDG00000017300
serinus_canaria ENSSCAG00000016352
junco_hyemalis ENSJHYG00000012151
cyanistes_caeruleus ENSCCEG00000019395
parus_major ENSPMJG00000014016
ficedula_albicollis ENSFALG00000013062
lepidothrix_coronata ENSLCOG00000005267
manacus_vitellinus ENSMVIG00005000850
numida_meleagris ENSNMEG00000015460
coturnix_japonica ENSCJPG00005003429
anas_platyrhynchos_platyrhynchos ENSAPLG00000026405
crocodylus_porosus ENSCPRG00005006414
chrysemys_picta_bellii ENSCPBG00000019940
chelonoidis_abingdonii ENSCABG00000022924
pelodiscus_sinensis ENSPSIG00000004620
pogona_vitticeps ENSPVIG00000005717
danio_rerio ENSDARG00000077069
