mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027646
mus_spicilegus ENSMSIG00000027828
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025498
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024576
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026020
rattus_norvegicus ENSRNOG00000009495
meriones_unguiculatus ENSMUGG00000020667
nannospalax_galili ENSNGAG00000003604
peromyscus_maniculatus_bairdii ENSPEMG00000020092
microtus_ochrogaster ENSMOCG00000002554
cricetulus_griseus_crigri_1.0 ENSCGRG00000013456
cricetulus_griseus_crigri-picr ENSCGRG00015024576
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016023
mesocricetus_auratus ENSMAUG00000009948
jaculus_jaculus ENSJJAG00000002737
dipodomys_ordii ENSDORG00000016279
chinchilla_lanigera ENSCLAG00000012861
octodon_degus ENSODEG00000014333
cavia_porcellus ENSCPOG00000011012
cavia_aperea ENSCAPG00000006808
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018688
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016257
fukomys_damarensis ENSFDAG00000015133
urocitellus_parryii ENSUPAG00010002917
ictidomys_tridecemlineatus ENSSTOG00000023905
marmota_marmota_marmota ENSMMMG00000015708
oryctolagus_cuniculus ENSOCUG00000009585
ochotona_princeps ENSOPRG00000012428
carlito_syrichta ENSTSYG00000026357
microcebus_murinus ENSMICG00000005684
propithecus_coquereli ENSPCOG00000021182
prolemur_simus ENSPSMG00000025026
otolemur_garnettii ENSOGAG00000015510
pan_paniscus ENSPPAG00000040681
pan_troglodytes ENSPTRG00000013474
homo_sapiens ENSG00000197122
gorilla_gorilla ENSGGOG00000007437
pongo_abelii ENSPPYG00000010985
nomascus_leucogenys ENSNLEG00000006271
cercocebus_atys ENSCATG00000014782
chlorocebus_sabaeus ENSCSAG00000013699
theropithecus_gelada ENSTGEG00000001314
papio_anubis ENSPANG00000015298
mandrillus_leucophaeus ENSMLEG00000041832
macaca_fascicularis ENSMFAG00000032120
macaca_nemestrina ENSMNEG00000027187
macaca_mulatta ENSMMUG00000020131
piliocolobus_tephrosceles ENSPTEG00000017463
colobus_angolensis_palliatus ENSCANG00000043771
rhinopithecus_bieti ENSRBIG00000010135
rhinopithecus_roxellana ENSRROG00000033954
saimiri_boliviensis_boliviensis ENSSBOG00000029720
callithrix_jacchus ENSCJAG00000021512
cebus_capucinus_imitator ENSCCAG00000022057
aotus_nancymaae ENSANAG00000033463
ovis_aries ENSOARG00000017940
capra_hircus ENSCHIG00000005804
bos_mutus ENSBMUG00000000620
bos_taurus ENSBTAG00000008938
bison_bison_bison ENSBBBG00000014730
tursiops_truncatus ENSTTRG00000005695
sus_scrofa ENSSSCG00000007334
ursus_maritimus ENSUMAG00000003648
ursus_americanus ENSUAMG00000023161
ailuropoda_melanoleuca ENSAMEG00000012309
neovison_vison ENSNVIG00000013498
mustela_putorius_furo ENSMPUG00000017762
canis_lupus_familiaris ENSCAFG00000008755
canis_lupus_dingo ENSCAFG00020012489
vulpes_vulpes ENSVVUG00000029296
panthera_pardus ENSPPRG00000004596
panthera_tigris_altaica ENSPTIG00000007614
felis_catus ENSFCAG00000006991
myotis_lucifugus ENSMLUG00000004480
pteropus_vampyrus ENSPVAG00000017785
erinaceus_europaeus ENSEEUG00000005742
loxodonta_africana ENSLAFG00000014637
procavia_capensis ENSPCAG00000005712
equus_caballus ENSECAG00000012072
equus_asinus_asinus ENSEASG00005000578
dasypus_novemcinctus ENSDNOG00000048370
tupaia_belangeri ENSTBEG00000003334
echinops_telfairi ENSETEG00000007521
castor_canadensis ENSCCNG00000019681
notamacropus_eugenii ENSMEUG00000010031
phascolarctos_cinereus ENSPCIG00000024313
sarcophilus_harrisii ENSSHAG00000017529
monodelphis_domestica ENSMODG00000000247
taeniopygia_guttata ENSTGUG00000004937
lonchura_striata_domestica ENSLSDG00000014044
serinus_canaria ENSSCAG00000012544
cyanistes_caeruleus ENSCCEG00000005720
parus_major ENSPMJG00000004037
ficedula_albicollis ENSFALG00000005512
junco_hyemalis ENSJHYG00000003195
zonotrichia_albicollis ENSZALG00000013804
lepidothrix_coronata ENSLCOG00000009414
manacus_vitellinus ENSMVIG00005007911
melopsittacus_undulatus ENSMUNG00000006407
calidris_pygmaea ENSCPGG00000014815
calidris_pugnax ENSCPUG00000009739
gallus_gallus ENSGALG00000003855
coturnix_japonica ENSCJPG00005020921
meleagris_gallopavo ENSMGAG00000003468
numida_meleagris ENSNMEG00000015911
anser_brachyrhynchus ENSABRG00000015683
apteryx_haastii ENSAHAG00000000017
apteryx_owenii ENSAOWG00000004741
apteryx_rowi ENSARWG00000014677
dromaius_novaehollandiae ENSDNVG00000001467
nothoprocta_perdicaria ENSNPEG00000011281
gopherus_agassizii ENSGAGG00000014244
chelonoidis_abingdonii ENSCABG00000020125
chrysemys_picta_bellii ENSCPBG00000017859
pelodiscus_sinensis ENSPSIG00000013186
crocodylus_porosus ENSCPRG00005012037
anolis_carolinensis ENSACAG00000011859
pogona_vitticeps ENSPVIG00000023599
notechis_scutatus ENSNSUG00000000110
salvator_merianae ENSSMRG00000006140
sphenodon_punctatus ENSSPUG00000003903
xenopus_tropicalis ENSXETG00000017318
paramormyrops_kingsleyae ENSPKIG00000019210
periophthalmus_magnuspinnatus ENSPMGG00000008183
seriola_dumerili ENSSDUG00000004836
seriola_lalandi_dorsalis ENSSLDG00000004737
amphiprion_percula ENSAPEG00000001308
amphiprion_ocellaris ENSAOCG00000023573
acanthochromis_polyacanthus ENSAPOG00000002357
stegastes_partitus ENSSPAG00000002146
scophthalmus_maximus ENSSMAG00000019082
cynoglossus_semilaevis ENSCSEG00000014687
takifugu_rubripes ENSTRUG00000005980
tetraodon_nigroviridis ENSTNIG00000019527
mola_mola ENSMMOG00000013302
gasterosteus_aculeatus ENSGACG00000011349
monopterus_albus ENSMALG00000018820
mastacembelus_armatus ENSMAMG00000005314
anabas_testudineus ENSATEG00000024502
poecilia_formosa ENSPFOG00000000684
poecilia_mexicana ENSPMEG00000003412
poecilia_latipinna ENSPLAG00000023338
poecilia_reticulata ENSPREG00000020990
xiphophorus_maculatus ENSXMAG00000001476
xiphophorus_couchianus ENSXCOG00000000519
gambusia_affinis ENSGAFG00000019921
fundulus_heteroclitus ENSFHEG00000014030
kryptolebias_marmoratus ENSKMAG00000002189
oryzias_latipes_asm223467v1 ENSORLG00000016183
oryzias_latipes_asm223469v1 ENSORLG00015002092
oryzias_latipes_asm223471v1 ENSORLG00020007151
oryzias_melastigma ENSOMEG00000016964
maylandia_zebra ENSMZEG00005023436
astatotilapia_calliptera ENSACLG00000017545
pundamilia_nyererei ENSPNYG00000021857
haplochromis_burtoni ENSHBUG00000007505
neolamprologus_brichardi ENSNBRG00000001659
oreochromis_niloticus ENSONIG00000016547
amphilophus_citrinellus ENSACIG00000017397
hippocampus_comes ENSHCOG00000008735
labrus_bergylta ENSLBEG00000023572
gadus_morhua ENSGMOG00000013026
esox_lucius ENSELUG00000000185
ictalurus_punctatus ENSIPUG00000019030
scleropages_formosus ENSSFOG00015002027
paramormyrops_kingsleyae ENSPKIG00000003717
scleropages_formosus ENSSFOG00015021140
pygocentrus_nattereri ENSPNAG00000021238
astyanax_mexicanus ENSAMXG00000001275
danio_rerio ENSDARG00000008107
paramormyrops_kingsleyae ENSPKIG00000006914
lepisosteus_oculatus ENSLOCG00000002309
tetraodon_nigroviridis ENSTNIG00000018270
takifugu_rubripes ENSTRUG00000018366
mola_mola ENSMMOG00000004051
labrus_bergylta ENSLBEG00000003115
gasterosteus_aculeatus ENSGACG00000005548
amphiprion_ocellaris ENSAOCG00000009110
acanthochromis_polyacanthus ENSAPOG00000001747
stegastes_partitus ENSSPAG00000010795
anabas_testudineus ENSATEG00000025083
maylandia_zebra ENSMZEG00005004034
astatotilapia_calliptera ENSACLG00000021545
haplochromis_burtoni ENSHBUG00000003523
oreochromis_niloticus ENSONIG00000006882
kryptolebias_marmoratus ENSKMAG00000014774
monopterus_albus ENSMALG00000011826
mastacembelus_armatus ENSMAMG00000005682
seriola_dumerili ENSSDUG00000017198
seriola_lalandi_dorsalis ENSSLDG00000020307
scophthalmus_maximus ENSSMAG00000010185
poecilia_formosa ENSPFOG00000013135
poecilia_mexicana ENSPMEG00000003702
poecilia_latipinna ENSPLAG00000018412
poecilia_reticulata ENSPREG00000011011
xiphophorus_maculatus ENSXMAG00000010238
xiphophorus_couchianus ENSXCOG00000016071
gambusia_affinis ENSGAFG00000001032
fundulus_heteroclitus ENSFHEG00000012806
cyprinodon_variegatus ENSCVAG00000000334
oryzias_latipes_asm223467v1 ENSORLG00000006714
oryzias_latipes_asm223471v1 ENSORLG00020013939
oryzias_latipes_asm223469v1 ENSORLG00015009183
oryzias_melastigma ENSOMEG00000013533
amphiprion_percula ENSAPEG00000011301
pundamilia_nyererei ENSPNYG00000006607
neolamprologus_brichardi ENSNBRG00000007194
amphilophus_citrinellus ENSACIG00000013925
periophthalmus_magnuspinnatus ENSPMGG00000001278
cynoglossus_semilaevis ENSCSEG00000019825
hippocampus_comes ENSHCOG00000001176
gadus_morhua ENSGMOG00000013049
esox_lucius ENSELUG00000015278
astyanax_mexicanus ENSAMXG00000014517
pygocentrus_nattereri ENSPNAG00000007840
ictalurus_punctatus ENSIPUG00000002409
astyanax_mexicanus ENSAMXG00000039996
latimeria_chalumnae ENSLACG00000006496
