sarcophilus_harrisii ENSSHAG00000014602
phascolarctos_cinereus ENSPCIG00000003805
monodelphis_domestica ENSMODG00000021017
loxodonta_africana ENSLAFG00000012686
procavia_capensis ENSPCAG00000011989
canis_lupus_dingo ENSCAFG00020018411
canis_lupus_familiaris ENSCAFG00000010348
vulpes_vulpes ENSVVUG00000016649
ursus_americanus ENSUAMG00000025506
ursus_maritimus ENSUMAG00000025547
ailuropoda_melanoleuca ENSAMEG00000002037
mustela_putorius_furo ENSMPUG00000009174
neovison_vison ENSNVIG00000005732
panthera_pardus ENSPPRG00000007914
panthera_tigris_altaica ENSPTIG00000012548
felis_catus ENSFCAG00000029722
ovis_aries ENSOARG00000010659
capra_hircus ENSCHIG00000016300
bos_mutus ENSBMUG00000019437
bos_taurus ENSBTAG00000021276
bison_bison_bison ENSBBBG00000003155
tursiops_truncatus ENSTTRG00000000729
sus_scrofa ENSSSCG00000022857
equus_caballus ENSECAG00000015204
equus_asinus_asinus ENSEASG00005003845
myotis_lucifugus ENSMLUG00000000122
cercocebus_atys ENSCATG00000039028
papio_anubis ENSPANG00000015993
mandrillus_leucophaeus ENSMLEG00000039530
macaca_fascicularis ENSMFAG00000045102
macaca_nemestrina ENSMNEG00000044665
theropithecus_gelada ENSTGEG00000022466
chlorocebus_sabaeus ENSCSAG00000008136
rhinopithecus_bieti ENSRBIG00000039405
rhinopithecus_roxellana ENSRROG00000043978
piliocolobus_tephrosceles ENSPTEG00000037945
colobus_angolensis_palliatus ENSCANG00000037692
pan_troglodytes ENSPTRG00000013939
pan_paniscus ENSPPAG00000030214
homo_sapiens ENSG00000160180
gorilla_gorilla ENSGGOG00000014678
pongo_abelii ENSPPYG00000011449
pongo_abelii ENSPPYG00000011555
nomascus_leucogenys ENSNLEG00000014549
cebus_capucinus_imitator ENSCCAG00000022195
callithrix_jacchus ENSCJAG00000007362
saimiri_boliviensis_boliviensis ENSSBOG00000024872
aotus_nancymaae ENSANAG00000033542
carlito_syrichta ENSTSYG00000036572
propithecus_coquereli ENSPCOG00000023385
prolemur_simus ENSPSMG00000020291
microcebus_murinus ENSMICG00000015162
otolemur_garnettii ENSOGAG00000014507
jaculus_jaculus ENSJJAG00000014849
fukomys_damarensis ENSFDAG00000001104
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000024029
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022274
mus_spicilegus ENSMSIG00000011620
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021360
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023679
rattus_norvegicus ENSRNOG00000001159
meriones_unguiculatus ENSMUGG00000018870
cricetulus_griseus_crigri-picr ENSCGRG00015023247
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022835
cricetulus_griseus_crigri_1.0 ENSCGRG00000018290
mesocricetus_auratus ENSMAUG00000015898
microtus_ochrogaster ENSMOCG00000016667
peromyscus_maniculatus_bairdii ENSPEMG00000015455
nannospalax_galili ENSNGAG00000023456
cavia_porcellus ENSCPOG00000006226
dipodomys_ordii ENSDORG00000029966
chinchilla_lanigera ENSCLAG00000013670
octodon_degus ENSODEG00000013636
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007574
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002358
castor_canadensis ENSCCNG00000027724
spermophilus_dauricus ENSSDAG00000020065
ictidomys_tridecemlineatus ENSSTOG00000000593
marmota_marmota_marmota ENSMMMG00000010483
spermophilus_dauricus ENSSDAG00000020079
spermophilus_dauricus ENSSDAG00000014310
dasypus_novemcinctus ENSDNOG00000030948
ornithorhynchus_anatinus ENSOANG00000006450
chelonoidis_abingdonii ENSCABG00000020991
gopherus_agassizii ENSGAGG00000010707
chrysemys_picta_bellii ENSCPBG00000012936
pelodiscus_sinensis ENSPSIG00000017410
