apteryx_rowi ENSARWG00000005978
apteryx_owenii ENSAOWG00000017929
apteryx_haastii ENSAHAG00000002938
dromaius_novaehollandiae ENSDNVG00000002196
nothoprocta_perdicaria ENSNPEG00000006916
lonchura_striata_domestica ENSLSDG00000001278
taeniopygia_guttata ENSTGUG00000009924
serinus_canaria ENSSCAG00000014293
junco_hyemalis ENSJHYG00000011369
zonotrichia_albicollis ENSZALG00000006209
cyanistes_caeruleus ENSCCEG00000014316
parus_major ENSPMJG00000000685
ficedula_albicollis ENSFALG00000007743
manacus_vitellinus ENSMVIG00005002700
lepidothrix_coronata ENSLCOG00000000476
melopsittacus_undulatus ENSMUNG00000008314
calidris_pygmaea ENSCPGG00000005649
calidris_pugnax ENSCPUG00000017078
anser_brachyrhynchus ENSABRG00000006875
gallus_gallus ENSGALG00000007906
coturnix_japonica ENSCJPG00005013728
meleagris_gallopavo ENSMGAG00000008414
anas_platyrhynchos_platyrhynchos ENSAPLG00000019862
crocodylus_porosus ENSCPRG00005011869
gopherus_agassizii ENSGAGG00000006424
chrysemys_picta_bellii ENSCPBG00000016190
pelodiscus_sinensis ENSPSIG00000011304
pogona_vitticeps ENSPVIG00000011849
anolis_carolinensis ENSACAG00000010910
notechis_scutatus ENSNSUG00000006803
salvator_merianae ENSSMRG00000019711
sphenodon_punctatus ENSSPUG00000012354
phascolarctos_cinereus ENSPCIG00000002497
notamacropus_eugenii ENSMEUG00000011510
monodelphis_domestica ENSMODG00000002666
sarcophilus_harrisii ENSSHAG00000012945
loxodonta_africana ENSLAFG00000014188
echinops_telfairi ENSETEG00000016771
procavia_capensis ENSPCAG00000016100
ursus_americanus ENSUAMG00000020512
ursus_maritimus ENSUMAG00000015635
ailuropoda_melanoleuca ENSAMEG00000016472
canis_lupus_dingo ENSCAFG00020023198
vulpes_vulpes ENSVVUG00000025519
canis_lupus_familiaris ENSCAFG00000024807
mustela_putorius_furo ENSMPUG00000005200
neovison_vison ENSNVIG00000003613
panthera_pardus ENSPPRG00000001069
panthera_tigris_altaica ENSPTIG00000005533
felis_catus ENSFCAG00000005681
equus_asinus_asinus ENSEASG00005019624
equus_caballus ENSECAG00000002376
bos_taurus ENSBTAG00000045943
bos_mutus ENSBMUG00000005848
bison_bison_bison ENSBBBG00000002249
capra_hircus ENSCHIG00000014693
ovis_aries ENSOARG00000020815
tursiops_truncatus ENSTTRG00000010899
myotis_lucifugus ENSMLUG00000011237
sus_scrofa ENSSSCG00000016288
erinaceus_europaeus ENSEEUG00000004890
pteropus_vampyrus ENSPVAG00000007492
castor_canadensis ENSCCNG00000020041
dipodomys_ordii ENSDORG00000011349
mus_spicilegus ENSMSIG00000001352
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015178
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026253
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014376
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027613
meriones_unguiculatus ENSMUGG00000022060
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024089
