mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110086
mus_spicilegus ENSMSIG00000019832
rattus_norvegicus ENSRNOG00000058482
meriones_unguiculatus ENSMUGG00000017222
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008174
cricetulus_griseus_crigri_1.0 ENSCGRG00000019580
cricetulus_griseus_crigri-picr ENSCGRG00015016385
mesocricetus_auratus ENSMAUG00000017385
microtus_ochrogaster ENSMOCG00000005510
peromyscus_maniculatus_bairdii ENSPEMG00000012949
nannospalax_galili ENSNGAG00000008630
castor_canadensis ENSCCNG00000026203
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021290
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020917
fukomys_damarensis ENSFDAG00000016932
chinchilla_lanigera ENSCLAG00000018092
cavia_porcellus ENSCPOG00000036996
ictidomys_tridecemlineatus ENSSTOG00000021297
spermophilus_dauricus ENSSDAG00000001413
marmota_marmota_marmota ENSMMMG00000006113
microcebus_murinus ENSMICG00000026478
prolemur_simus ENSPSMG00000000364
propithecus_coquereli ENSPCOG00000002556
pan_troglodytes ENSPTRG00000045064
pan_paniscus ENSPPAG00000018722
homo_sapiens ENSG00000271824
gorilla_gorilla ENSGGOG00000040139
nomascus_leucogenys ENSNLEG00000027339
rhinopithecus_roxellana ENSRROG00000016761
rhinopithecus_bieti ENSRBIG00000030559
piliocolobus_tephrosceles ENSPTEG00000033762
colobus_angolensis_palliatus ENSCANG00000038288
macaca_mulatta ENSMMUG00000000341
macaca_nemestrina ENSMNEG00000022167
papio_anubis ENSPANG00000034382
cercocebus_atys ENSCATG00000021467
theropithecus_gelada ENSTGEG00000021966
cebus_capucinus_imitator ENSCCAG00000017491
saimiri_boliviensis_boliviensis ENSSBOG00000017136
callithrix_jacchus ENSCJAG00000005981
aotus_nancymaae ENSANAG00000018238
equus_asinus_asinus ENSEASG00005020531
equus_caballus ENSECAG00000034812
bos_mutus ENSBMUG00000025652
bos_taurus ENSBTAG00000054891
bison_bison_bison ENSBBBG00000019638
capra_hircus ENSCHIG00000006529
sus_scrofa ENSSSCG00000040031
ursus_americanus ENSUAMG00000017445
ailuropoda_melanoleuca ENSAMEG00000017947
neovison_vison ENSNVIG00000015959
canis_lupus_dingo ENSCAFG00020007492
panthera_pardus ENSPPRG00000017516
felis_catus ENSFCAG00000034925
phascolarctos_cinereus ENSPCIG00000029568
