fundulus_heteroclitus ENSFHEG00000002872
cyprinodon_variegatus ENSCVAG00000011929
neolamprologus_brichardi ENSNBRG00000003398
mola_mola ENSMMOG00000003073
labrus_bergylta ENSLBEG00000027164
periophthalmus_magnuspinnatus ENSPMGG00000006550
paramormyrops_kingsleyae ENSPKIG00000017243
lepisosteus_oculatus ENSLOCG00000013796
sphenodon_punctatus ENSSPUG00000018953
sphenodon_punctatus ENSSPUG00000018952
pogona_vitticeps ENSPVIG00000005735
anolis_carolinensis ENSACAG00000000601
notechis_scutatus ENSNSUG00000000221
salvator_merianae ENSSMRG00000013160
notechis_scutatus ENSNSUG00000001742
manacus_vitellinus ENSMVIG00005003142
lepidothrix_coronata ENSLCOG00000014709
parus_major ENSPMJG00000011804
cyanistes_caeruleus ENSCCEG00000021435
ficedula_albicollis ENSFALG00000011595
junco_hyemalis ENSJHYG00000004808
zonotrichia_albicollis ENSZALG00000002483
serinus_canaria ENSSCAG00000016948
lonchura_striata_domestica ENSLSDG00000007302
taeniopygia_guttata ENSTGUG00000006867
junco_hyemalis ENSJHYG00000004821
lonchura_striata_domestica ENSLSDG00000007307
melopsittacus_undulatus ENSMUNG00000012635
calidris_pygmaea ENSCPGG00000007006
calidris_pugnax ENSCPUG00000000473
anas_platyrhynchos_platyrhynchos ENSAPLG00000018190
anas_platyrhynchos_platyrhynchos ENSAPLG00000004787
anser_brachyrhynchus ENSABRG00000020325
gallus_gallus ENSGALG00000005077
meleagris_gallopavo ENSMGAG00000009126
coturnix_japonica ENSCJPG00005010798
numida_meleagris ENSNMEG00000011496
nothoprocta_perdicaria ENSNPEG00000001836
nothoprocta_perdicaria ENSNPEG00000001886
dromaius_novaehollandiae ENSDNVG00000017979
apteryx_rowi ENSARWG00000013939
apteryx_owenii ENSAOWG00000015662
apteryx_owenii ENSAOWG00000015672
apteryx_rowi ENSARWG00000013933
apteryx_haastii ENSAHAG00000016817
crocodylus_porosus ENSCPRG00005000094
chelonoidis_abingdonii ENSCABG00000013732
chelonoidis_abingdonii ENSCABG00000013750
gopherus_agassizii ENSGAGG00000011339
chrysemys_picta_bellii ENSCPBG00000005930
pelodiscus_sinensis ENSPSIG00000016737
sphenodon_punctatus ENSSPUG00000018941
pan_troglodytes ENSPTRG00000022455
pan_paniscus ENSPPAG00000033513
homo_sapiens ENSG00000185010
gorilla_gorilla ENSGGOG00000003600
pongo_abelii ENSPPYG00000020895
nomascus_leucogenys ENSNLEG00000014427
rhinopithecus_roxellana ENSRROG00000034331
rhinopithecus_bieti ENSRBIG00000038452
colobus_angolensis_palliatus ENSCANG00000015345
papio_anubis ENSPANG00000010602
theropithecus_gelada ENSTGEG00000013622
mandrillus_leucophaeus ENSMLEG00000034152
cercocebus_atys ENSCATG00000031608
macaca_fascicularis ENSMFAG00000039948
macaca_nemestrina ENSMNEG00000033339
macaca_mulatta ENSMMUG00000010245
chlorocebus_sabaeus ENSCSAG00000006668
saimiri_boliviensis_boliviensis ENSSBOG00000002240
callithrix_jacchus ENSCJAG00000004258
aotus_nancymaae ENSANAG00000025258
carlito_syrichta ENSTSYG00000014405
prolemur_simus ENSPSMG00000012498
propithecus_coquereli ENSPCOG00000022504
microcebus_murinus ENSMICG00000029671
otolemur_garnettii ENSOGAG00000005241
tupaia_belangeri ENSTBEG00000011754
peromyscus_maniculatus_bairdii ENSPEMG00000014119
microtus_ochrogaster ENSMOCG00000006178
cricetulus_griseus_crigri-picr ENSCGRG00015008387
cricetulus_griseus_crigri_1.0 ENSCGRG00000015402
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018172
mesocricetus_auratus ENSMAUG00000017844
mus_spicilegus ENSMSIG00000029977
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034354
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031196
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033194
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031738
nannospalax_galili ENSNGAG00000013455
jaculus_jaculus ENSJJAG00000003754
dipodomys_ordii ENSDORG00000013155
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010245
fukomys_damarensis ENSFDAG00000002067
chinchilla_lanigera ENSCLAG00000000314
octodon_degus ENSODEG00000000713
cavia_porcellus ENSCPOG00000007773
marmota_marmota_marmota ENSMMMG00000000247
urocitellus_parryii ENSUPAG00010007355
ictidomys_tridecemlineatus ENSSTOG00000023387
oryctolagus_cuniculus ENSOCUG00000000142
myotis_lucifugus ENSMLUG00000002117
pteropus_vampyrus ENSPVAG00000013548
bos_mutus ENSBMUG00000007027
bos_taurus ENSBTAG00000010726
ovis_aries ENSOARG00000003319
capra_hircus ENSCHIG00000019484
tursiops_truncatus ENSTTRG00000008140
sus_scrofa ENSSSCG00000012818
vicugna_pacos ENSVPAG00000001347
equus_asinus_asinus ENSEASG00005001768
equus_asinus_asinus ENSEASG00005001759
equus_caballus ENSECAG00000015044
mustela_putorius_furo ENSMPUG00000016139
neovison_vison ENSNVIG00000023588
ursus_americanus ENSUAMG00000016684
ailuropoda_melanoleuca ENSAMEG00000002841
panthera_pardus ENSPPRG00000019076
panthera_tigris_altaica ENSPTIG00000016773
felis_catus ENSFCAG00000040463
ailuropoda_melanoleuca ENSAMEG00000002491
ursus_maritimus ENSUMAG00000017227
neovison_vison ENSNVIG00000011778
canis_lupus_familiaris ENSCAFG00000019631
canis_lupus_dingo ENSCAFG00020008704
vulpes_vulpes ENSVVUG00000020717
panthera_tigris_altaica ENSPTIG00000009117
equus_asinus_asinus ENSEASG00005004499
sorex_araneus ENSSARG00000012743
bison_bison_bison ENSBBBG00000017458
erinaceus_europaeus ENSEEUG00000007003
mandrillus_leucophaeus ENSMLEG00000042001
cebus_capucinus_imitator ENSCCAG00000022821
carlito_syrichta ENSTSYG00000032807
urocitellus_parryii ENSUPAG00010002763
spermophilus_dauricus ENSSDAG00000003505
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001376
piliocolobus_tephrosceles ENSPTEG00000011651
panthera_pardus ENSPPRG00000009588
meriones_unguiculatus ENSMUGG00000024343
dasypus_novemcinctus ENSDNOG00000013018
loxodonta_africana ENSLAFG00000015274
procavia_capensis ENSPCAG00000003237
echinops_telfairi ENSETEG00000002430
rattus_norvegicus ENSRNOG00000031197
phascolarctos_cinereus ENSPCIG00000029339
notamacropus_eugenii ENSMEUG00000005841
sarcophilus_harrisii ENSSHAG00000000596
monodelphis_domestica ENSMODG00000009313
ornithorhynchus_anatinus ENSOANG00000008717
latimeria_chalumnae ENSLACG00000014186
