mustela_putorius_furo ENSMPUG00000012027
equus_caballus ENSECAG00000036581
ovis_aries ENSOARG00000006425
felis_catus ENSFCAG00000046076
nomascus_leucogenys ENSNLEG00000015104
nomascus_leucogenys ENSNLEG00000015733
homo_sapiens ENSG00000196946
pan_troglodytes ENSPTRG00000034337
homo_sapiens ENSG00000215343
homo_sapiens ENSG00000215356
gorilla_gorilla ENSGGOG00000009930
homo_sapiens ENSG00000215372
pan_troglodytes ENSPTRG00000034312
gorilla_gorilla ENSGGOG00000003686
pan_troglodytes ENSPTRG00000034308
gorilla_gorilla ENSGGOG00000036370
pan_troglodytes ENSPTRG00000050141
homo_sapiens ENSG00000214534
pongo_abelii ENSPPYG00000004114
pongo_abelii ENSPPYG00000018327
pongo_abelii ENSPPYG00000019011
rhinopithecus_roxellana ENSRROG00000029101
piliocolobus_tephrosceles ENSPTEG00000015636
colobus_angolensis_palliatus ENSCANG00000028094
piliocolobus_tephrosceles ENSPTEG00000020271
piliocolobus_tephrosceles ENSPTEG00000031873
colobus_angolensis_palliatus ENSCANG00000014901
theropithecus_gelada ENSTGEG00000010276
papio_anubis ENSPANG00000031178
papio_anubis ENSPANG00000008564
theropithecus_gelada ENSTGEG00000014946
macaca_fascicularis ENSMFAG00000039693
papio_anubis ENSPANG00000032756
cercocebus_atys ENSCATG00000011301
macaca_mulatta ENSMMUG00000039325
macaca_mulatta ENSMMUG00000040877
papio_anubis ENSPANG00000034927
macaca_mulatta ENSMMUG00000043052
cercocebus_atys ENSCATG00000033242
rhinopithecus_roxellana ENSRROG00000018668
rhinopithecus_bieti ENSRBIG00000040857
nomascus_leucogenys ENSNLEG00000032673
