crocodylus_porosus ENSCPRG00005012207
chelonoidis_abingdonii ENSCABG00000012279
meriones_unguiculatus ENSMUGG00000008456
rattus_norvegicus ENSRNOG00000036885
peromyscus_maniculatus_bairdii ENSPEMG00000028917
rattus_norvegicus ENSRNOG00000023943
meriones_unguiculatus ENSMUGG00000008444
peromyscus_maniculatus_bairdii ENSPEMG00000028416
prolemur_simus ENSPSMG00000008139
microcebus_murinus ENSMICG00000015261
otolemur_garnettii ENSOGAG00000005755
otolemur_garnettii ENSOGAG00000004493
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008509
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003498
fukomys_damarensis ENSFDAG00000009711
chinchilla_lanigera ENSCLAG00000007095
chinchilla_lanigera ENSCLAG00000009272
cavia_porcellus ENSCPOG00000015020
octodon_degus ENSODEG00000005271
castor_canadensis ENSCCNG00000018719
ictidomys_tridecemlineatus ENSSTOG00000002545
urocitellus_parryii ENSUPAG00010015782
marmota_marmota_marmota ENSMMMG00000006605
spermophilus_dauricus ENSSDAG00000018186
oryctolagus_cuniculus ENSOCUG00000017251
ochotona_princeps ENSOPRG00000012519
tupaia_belangeri ENSTBEG00000003608
propithecus_coquereli ENSPCOG00000023337
microcebus_murinus ENSMICG00000014351
papio_anubis ENSPANG00000035606
cercocebus_atys ENSCATG00000038852
macaca_fascicularis ENSMFAG00000039941
macaca_mulatta ENSMMUG00000041662
mandrillus_leucophaeus ENSMLEG00000037426
chlorocebus_sabaeus ENSCSAG00000001448
rhinopithecus_roxellana ENSRROG00000045756
rhinopithecus_bieti ENSRBIG00000035482
colobus_angolensis_palliatus ENSCANG00000018947
papio_anubis ENSPANG00000031411
theropithecus_gelada ENSTGEG00000022336
colobus_angolensis_palliatus ENSCANG00000043048
gorilla_gorilla ENSGGOG00000041335
pan_troglodytes ENSPTRG00000000935
homo_sapiens ENSG00000117228
pongo_abelii ENSPPYG00000001174
nomascus_leucogenys ENSNLEG00000010238
pan_paniscus ENSPPAG00000041602
gorilla_gorilla ENSGGOG00000015555
pan_troglodytes ENSPTRG00000048580
saimiri_boliviensis_boliviensis ENSSBOG00000030334
cebus_capucinus_imitator ENSCCAG00000022223
callithrix_jacchus ENSCJAG00000044560
aotus_nancymaae ENSANAG00000028477
bos_taurus ENSBTAG00000001143
bos_mutus ENSBMUG00000002509
bison_bison_bison ENSBBBG00000022588
capra_hircus ENSCHIG00000016414
ovis_aries ENSOARG00000002737
capra_hircus ENSCHIG00000017953
bos_mutus ENSBMUG00000017233
bos_taurus ENSBTAG00000017670
ovis_aries ENSOARG00000015072
capra_hircus ENSCHIG00000020926
tursiops_truncatus ENSTTRG00000010548
vicugna_pacos ENSVPAG00000005314
vicugna_pacos ENSVPAG00000004173
ursus_maritimus ENSUMAG00000001567
ursus_americanus ENSUAMG00000013468
ailuropoda_melanoleuca ENSAMEG00000016105
mustela_putorius_furo ENSMPUG00000004780
canis_lupus_familiaris ENSCAFG00000020204
canis_lupus_dingo ENSCAFG00020013656
vulpes_vulpes ENSVVUG00000030199
felis_catus ENSFCAG00000001014
panthera_tigris_altaica ENSPTIG00000009314
equus_asinus_asinus ENSEASG00005013211
equus_caballus ENSECAG00000021220
myotis_lucifugus ENSMLUG00000028624
myotis_lucifugus ENSMLUG00000023035
myotis_lucifugus ENSMLUG00000023536
myotis_lucifugus ENSMLUG00000030045
myotis_lucifugus ENSMLUG00000010222
myotis_lucifugus ENSMLUG00000010246
pteropus_vampyrus ENSPVAG00000007553
erinaceus_europaeus ENSEEUG00000013666
sorex_araneus ENSSARG00000003403
choloepus_hoffmanni ENSCHOG00000011582
choloepus_hoffmanni ENSCHOG00000013402
loxodonta_africana ENSLAFG00000016456
loxodonta_africana ENSLAFG00000000440
echinops_telfairi ENSETEG00000015036
cricetulus_griseus_crigri_1.0 ENSCGRG00000001509
cricetulus_griseus_crigri-picr ENSCGRG00015010922
cricetulus_griseus_crigri_1.0 ENSCGRG00000016789
cricetulus_griseus_crigri_1.0 ENSCGRG00000017642
cricetulus_griseus_crigri-picr ENSCGRG00015011079
peromyscus_maniculatus_bairdii ENSPEMG00000031096
peromyscus_maniculatus_bairdii ENSPEMG00000026457
peromyscus_maniculatus_bairdii ENSPEMG00000028796
mus_spicilegus ENSMSIG00000010182
ochotona_princeps ENSOPRG00000018786
ovis_aries ENSOARG00000015226
bison_bison_bison ENSBBBG00000005960
peromyscus_maniculatus_bairdii ENSPEMG00000029463
echinops_telfairi ENSETEG00000006692
loxodonta_africana ENSLAFG00000022418
loxodonta_africana ENSLAFG00000000438
procavia_capensis ENSPCAG00000005450
dasypus_novemcinctus ENSDNOG00000038299
dasypus_novemcinctus ENSDNOG00000004251
dasypus_novemcinctus ENSDNOG00000040236
prolemur_simus ENSPSMG00000008213
microcebus_murinus ENSMICG00000029892
otolemur_garnettii ENSOGAG00000031422
mandrillus_leucophaeus ENSMLEG00000039514
theropithecus_gelada ENSTGEG00000022081
chlorocebus_sabaeus ENSCSAG00000001449
macaca_mulatta ENSMMUG00000000662
saimiri_boliviensis_boliviensis ENSSBOG00000030204
equus_asinus_asinus ENSEASG00005013208
equus_caballus ENSECAG00000019309
procavia_capensis ENSPCAG00000004114
xenopus_tropicalis ENSXETG00000034057
xenopus_tropicalis ENSXETG00000012343
esox_lucius ENSELUG00000008600
paramormyrops_kingsleyae ENSPKIG00000001343
astyanax_mexicanus ENSAMXG00000013785
astyanax_mexicanus ENSAMXG00000000132
