coturnix_japonica ENSCJPG00005010855
gallus_gallus ENSGALG00000048216
lepidothrix_coronata ENSLCOG00000014255
manacus_vitellinus ENSMVIG00005010317
lonchura_striata_domestica ENSLSDG00000004162
junco_hyemalis ENSJHYG00000003673
cyanistes_caeruleus ENSCCEG00000010509
pogona_vitticeps ENSPVIG00000025697
macaca_nemestrina ENSMNEG00000037288
macaca_fascicularis ENSMFAG00000042384
macaca_mulatta ENSMMUG00000039732
mandrillus_leucophaeus ENSMLEG00000042304
papio_anubis ENSPANG00000034342
cercocebus_atys ENSCATG00000037690
rhinopithecus_bieti ENSRBIG00000040910
rhinopithecus_roxellana ENSRROG00000038281
colobus_angolensis_palliatus ENSCANG00000027685
pan_paniscus ENSPPAG00000031744
pan_troglodytes ENSPTRG00000044335
gorilla_gorilla ENSGGOG00000023499
nomascus_leucogenys ENSNLEG00000017177
pan_paniscus ENSPPAG00000040561
pan_troglodytes ENSPTRG00000050774
gorilla_gorilla ENSGGOG00000024589
nomascus_leucogenys ENSNLEG00000028032
saimiri_boliviensis_boliviensis ENSSBOG00000015014
callithrix_jacchus ENSCJAG00000045559
cebus_capucinus_imitator ENSCCAG00000024498
aotus_nancymaae ENSANAG00000026416
carlito_syrichta ENSTSYG00000029623
microcebus_murinus ENSMICG00000031629
marmota_marmota_marmota ENSMMMG00000018626
bos_mutus ENSBMUG00000004284
capra_hircus ENSCHIG00000015776
sus_scrofa ENSSSCG00000035498
panthera_tigris_altaica ENSPTIG00000008584
felis_catus ENSFCAG00000011190
panthera_pardus ENSPPRG00000011695
vulpes_vulpes ENSVVUG00000009453
canis_lupus_dingo ENSCAFG00020015181
