tupaia_belangeri ENSTBEG00000010148
erinaceus_europaeus ENSEEUG00000007060
cricetulus_griseus_crigri_1.0 ENSCGRG00000002082
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012449
cricetulus_griseus_crigri_1.0 ENSCGRG00000017795
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012283
mesocricetus_auratus ENSMAUG00000008652
peromyscus_maniculatus_bairdii ENSPEMG00000026406
microtus_ochrogaster ENSMOCG00000000189
mus_spicilegus ENSMSIG00000002581
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019103
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000008859
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018247
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019297
rattus_norvegicus ENSRNOG00000013454
meriones_unguiculatus ENSMUGG00000015496
nannospalax_galili ENSNGAG00000020171
urocitellus_parryii ENSUPAG00010001880
ictidomys_tridecemlineatus ENSSTOG00000020292
marmota_marmota_marmota ENSMMMG00000011989
spermophilus_dauricus ENSSDAG00000005158
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007794
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008066
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019113
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019261
fukomys_damarensis ENSFDAG00000021000
cavia_aperea ENSCAPG00000011243
cavia_porcellus ENSCPOG00000037731
chinchilla_lanigera ENSCLAG00000006479
octodon_degus ENSODEG00000007864
jaculus_jaculus ENSJJAG00000006484
castor_canadensis ENSCCNG00000017000
dipodomys_ordii ENSDORG00000024439
pan_troglodytes ENSPTRG00000050322
pan_paniscus ENSPPAG00000028521
gorilla_gorilla ENSGGOG00000002908
cercocebus_atys ENSCATG00000044466
papio_anubis ENSPANG00000018821
mandrillus_leucophaeus ENSMLEG00000037266
mandrillus_leucophaeus ENSMLEG00000014509
piliocolobus_tephrosceles ENSPTEG00000034295
pan_paniscus ENSPPAG00000028502
gorilla_gorilla ENSGGOG00000039456
