macaca_fascicularis ENSMFAG00000007708
macaca_nemestrina ENSMNEG00000013327
macaca_mulatta ENSMMUG00000029611
theropithecus_gelada ENSTGEG00000020995
papio_anubis ENSPANG00000031951
cercocebus_atys ENSCATG00000020724
mandrillus_leucophaeus ENSMLEG00000008407
rhinopithecus_roxellana ENSRROG00000038361
rhinopithecus_bieti ENSRBIG00000033740
colobus_angolensis_palliatus ENSCANG00000042672
pan_troglodytes ENSPTRG00000050886
pan_paniscus ENSPPAG00000041336
gorilla_gorilla ENSGGOG00000043465
neovison_vison ENSNVIG00000019183
