saimiri_boliviensis_boliviensis ENSSBOG00000024761
cebus_capucinus_imitator ENSCCAG00000030239
aotus_nancymaae ENSANAG00000020796
theropithecus_gelada ENSTGEG00000000885
papio_anubis ENSPANG00000034995
cercocebus_atys ENSCATG00000042924
mandrillus_leucophaeus ENSMLEG00000011494
macaca_nemestrina ENSMNEG00000028344
macaca_fascicularis ENSMFAG00000016897
macaca_mulatta ENSMMUG00000038931
rhinopithecus_roxellana ENSRROG00000044538
rhinopithecus_bieti ENSRBIG00000015716
colobus_angolensis_palliatus ENSCANG00000005151
piliocolobus_tephrosceles ENSPTEG00000034189
nomascus_leucogenys ENSNLEG00000030492
