macaca_nemestrina ENSMNEG00000032506
macaca_mulatta ENSMMUG00000046735
macaca_fascicularis ENSMFAG00000044590
cercocebus_atys ENSCATG00000038369
mandrillus_leucophaeus ENSMLEG00000029826
papio_anubis ENSPANG00000034994
rhinopithecus_bieti ENSRBIG00000044745
rhinopithecus_roxellana ENSRROG00000043765
colobus_angolensis_palliatus ENSCANG00000035824
cebus_capucinus_imitator ENSCCAG00000030061
marmota_marmota_marmota ENSMMMG00000012597
urocitellus_parryii ENSUPAG00010016037
meriones_unguiculatus ENSMUGG00000023358
propithecus_coquereli ENSPCOG00000011078
microcebus_murinus ENSMICG00000046546
pan_troglodytes ENSPTRG00000046584
pan_paniscus ENSPPAG00000036044
gorilla_gorilla ENSGGOG00000039227
gorilla_gorilla ENSGGOG00000037082
nomascus_leucogenys ENSNLEG00000028280
aotus_nancymaae ENSANAG00000038470
aotus_nancymaae ENSANAG00000026391
gorilla_gorilla ENSGGOG00000041942
carlito_syrichta ENSTSYG00000035262
mus_spicilegus ENSMSIG00000020679
felis_catus ENSFCAG00000032722
sus_scrofa ENSSSCG00000035907
