kryptolebias_marmoratus ENSKMAG00000006449
cynoglossus_semilaevis ENSCSEG00000014379
mola_mola ENSMMOG00000018326
takifugu_rubripes ENSTRUG00000011094
poecilia_mexicana ENSPMEG00000006146
poecilia_latipinna ENSPLAG00000006010
poecilia_formosa ENSPFOG00000002309
poecilia_reticulata ENSPREG00000015382
xiphophorus_maculatus ENSXMAG00000001292
xiphophorus_couchianus ENSXCOG00000020736
gambusia_affinis ENSGAFG00000010387
fundulus_heteroclitus ENSFHEG00000012872
cyprinodon_variegatus ENSCVAG00000012215
oryzias_latipes_asm223469v1 ENSORLG00015014824
oryzias_latipes_asm223467v1 ENSORLG00000020829
oryzias_latipes_asm223471v1 ENSORLG00020008970
oryzias_melastigma ENSOMEG00000004232
labrus_bergylta ENSLBEG00000008776
labrus_bergylta ENSLBEG00000024601
gasterosteus_aculeatus ENSGACG00000002937
monopterus_albus ENSMALG00000005197
mastacembelus_armatus ENSMAMG00000018438
anabas_testudineus ENSATEG00000019710
seriola_dumerili ENSSDUG00000013910
seriola_lalandi_dorsalis ENSSLDG00000012718
scophthalmus_maximus ENSSMAG00000018202
amphiprion_ocellaris ENSAOCG00000013454
amphiprion_percula ENSAPEG00000020887
stegastes_partitus ENSSPAG00000009636
acanthochromis_polyacanthus ENSAPOG00000011286
astatotilapia_calliptera ENSACLG00000015262
maylandia_zebra ENSMZEG00005016932
pundamilia_nyererei ENSPNYG00000014895
haplochromis_burtoni ENSHBUG00000008938
neolamprologus_brichardi ENSNBRG00000008219
oreochromis_niloticus ENSONIG00000001567
amphilophus_citrinellus ENSACIG00000004232
periophthalmus_magnuspinnatus ENSPMGG00000014595
hippocampus_comes ENSHCOG00000010700
gadus_morhua ENSGMOG00000015389
pygocentrus_nattereri ENSPNAG00000021582
astyanax_mexicanus ENSAMXG00000038728
ictalurus_punctatus ENSIPUG00000000049
scleropages_formosus ENSSFOG00015011269
paramormyrops_kingsleyae ENSPKIG00000012269
esox_lucius ENSELUG00000008632
lepisosteus_oculatus ENSLOCG00000008658
apteryx_owenii ENSAOWG00000006765
apteryx_haastii ENSAHAG00000010937
apteryx_rowi ENSARWG00000007840
dromaius_novaehollandiae ENSDNVG00000003003
parus_major ENSPMJG00000003052
calidris_pygmaea ENSCPGG00000004561
crocodylus_porosus ENSCPRG00005002531
salvator_merianae ENSSMRG00000000782
pogona_vitticeps ENSPVIG00000023451
ursus_americanus ENSUAMG00000024381
ursus_maritimus ENSUMAG00000020311
ailuropoda_melanoleuca ENSAMEG00000011947
neovison_vison ENSNVIG00000017267
mustela_putorius_furo ENSMPUG00000007975
canis_lupus_dingo ENSCAFG00020009278
canis_lupus_familiaris ENSCAFG00000017395
vulpes_vulpes ENSVVUG00000028345
panthera_pardus ENSPPRG00000009607
panthera_tigris_altaica ENSPTIG00000022008
felis_catus ENSFCAG00000012586
equus_asinus_asinus ENSEASG00005000725
equus_caballus ENSECAG00000017552
bos_mutus ENSBMUG00000026806
bos_taurus ENSBTAG00000014692
bison_bison_bison ENSBBBG00000013242
ovis_aries ENSOARG00000001743
capra_hircus ENSCHIG00000025478
tursiops_truncatus ENSTTRG00000011177
sus_scrofa ENSSSCG00000006560
myotis_lucifugus ENSMLUG00000013291
pteropus_vampyrus ENSPVAG00000011092
erinaceus_europaeus ENSEEUG00000001777
ictidomys_tridecemlineatus ENSSTOG00000014516
marmota_marmota_marmota ENSMMMG00000017685
marmota_marmota_marmota ENSMMMG00000017690
urocitellus_parryii ENSUPAG00010015154
spermophilus_dauricus ENSSDAG00000001644
chinchilla_lanigera ENSCLAG00000008566
octodon_degus ENSODEG00000013013
cavia_porcellus ENSCPOG00000034503
cavia_aperea ENSCAPG00000007342
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011859
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005202
fukomys_damarensis ENSFDAG00000006155
dipodomys_ordii ENSDORG00000011769
castor_canadensis ENSCCNG00000021275
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027938
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026172
mus_spicilegus ENSMSIG00000027822
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025229
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026673
rattus_norvegicus ENSRNOG00000023493
meriones_unguiculatus ENSMUGG00000006904
