ovis_aries ENSOARG00000000287
capra_hircus ENSCHIG00000023870
bison_bison_bison ENSBBBG00000013941
sus_scrofa ENSSSCG00000006598
sorex_araneus ENSSARG00000003495
erinaceus_europaeus ENSEEUG00000006276
neovison_vison ENSNVIG00000007414
mustela_putorius_furo ENSMPUG00000003105
ursus_americanus ENSUAMG00000009854
vulpes_vulpes ENSVVUG00000015725
canis_lupus_dingo ENSCAFG00020009402
equus_asinus_asinus ENSEASG00005005158
equus_caballus ENSECAG00000007664
pan_troglodytes ENSPTRG00000030383
pan_paniscus ENSPPAG00000014094
homo_sapiens ENSG00000203786
gorilla_gorilla ENSGGOG00000003499
pongo_abelii ENSPPYG00000000832
nomascus_leucogenys ENSNLEG00000010346
theropithecus_gelada ENSTGEG00000018057
chlorocebus_sabaeus ENSCSAG00000018409
rhinopithecus_roxellana ENSRROG00000034558
rhinopithecus_bieti ENSRBIG00000041464
callithrix_jacchus ENSCJAG00000021128
carlito_syrichta ENSTSYG00000035037
propithecus_coquereli ENSPCOG00000021958
prolemur_simus ENSPSMG00000017160
microcebus_murinus ENSMICG00000016842
otolemur_garnettii ENSOGAG00000024925
tupaia_belangeri ENSTBEG00000008896
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026231
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059832
mus_spicilegus ENSMSIG00000012341
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025285
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026730
rattus_norvegicus ENSRNOG00000028865
meriones_unguiculatus ENSMUGG00000022068
cricetulus_griseus_crigri_1.0 ENSCGRG00000019116
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011269
cricetulus_griseus_crigri-picr ENSCGRG00015007751
mesocricetus_auratus ENSMAUG00000009358
peromyscus_maniculatus_bairdii ENSPEMG00000003567
microtus_ochrogaster ENSMOCG00000005848
jaculus_jaculus ENSJJAG00000004578
dipodomys_ordii ENSDORG00000026948
urocitellus_parryii ENSUPAG00010016650
spermophilus_dauricus ENSSDAG00000002208
ictidomys_tridecemlineatus ENSSTOG00000000154
cavia_porcellus ENSCPOG00000030598
cavia_aperea ENSCAPG00000017854
octodon_degus ENSODEG00000009720
ochotona_princeps ENSOPRG00000004373
dasypus_novemcinctus ENSDNOG00000004965
echinops_telfairi ENSETEG00000013865
phascolarctos_cinereus ENSPCIG00000032460
notamacropus_eugenii ENSMEUG00000015119
sarcophilus_harrisii ENSSHAG00000001915
