pelodiscus_sinensis ENSPSIG00000004210
nothoprocta_perdicaria ENSNPEG00000011442
gopherus_agassizii ENSGAGG00000001911
chelonoidis_abingdonii ENSCABG00000017934
chrysemys_picta_bellii ENSCPBG00000023010
crocodylus_porosus ENSCPRG00005019015
pogona_vitticeps ENSPVIG00000024638
anolis_carolinensis ENSACAG00000028833
pan_troglodytes ENSPTRG00000014372
pan_paniscus ENSPPAG00000025902
gorilla_gorilla ENSGGOG00000010896
homo_sapiens ENSG00000184949
nomascus_leucogenys ENSNLEG00000015147
piliocolobus_tephrosceles ENSPTEG00000035101
colobus_angolensis_palliatus ENSCANG00000034802
rhinopithecus_roxellana ENSRROG00000044925
rhinopithecus_bieti ENSRBIG00000042690
macaca_mulatta ENSMMUG00000012467
macaca_fascicularis ENSMFAG00000000358
macaca_nemestrina ENSMNEG00000037270
mandrillus_leucophaeus ENSMLEG00000031706
cercocebus_atys ENSCATG00000042291
papio_anubis ENSPANG00000026317
theropithecus_gelada ENSTGEG00000011486
chlorocebus_sabaeus ENSCSAG00000006575
saimiri_boliviensis_boliviensis ENSSBOG00000024182
cebus_capucinus_imitator ENSCCAG00000018563
callithrix_jacchus ENSCJAG00000011747
aotus_nancymaae ENSANAG00000030228
carlito_syrichta ENSTSYG00000014703
prolemur_simus ENSPSMG00000005162
microcebus_murinus ENSMICG00000011770
propithecus_coquereli ENSPCOG00000019885
otolemur_garnettii ENSOGAG00000032247
spermophilus_dauricus ENSSDAG00000024329
urocitellus_parryii ENSUPAG00010022332
cavia_aperea ENSCAPG00000008773
cricetulus_griseus_crigri-picr ENSCGRG00015003185
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011936
microtus_ochrogaster ENSMOCG00000007156
peromyscus_maniculatus_bairdii ENSPEMG00000021220
mus_spicilegus ENSMSIG00000002630
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020917
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042564
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020019
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020021
rattus_norvegicus ENSRNOG00000021795
jaculus_jaculus ENSJJAG00000009801
castor_canadensis ENSCCNG00000001439
oryctolagus_cuniculus ENSOCUG00000004994
ochotona_princeps ENSOPRG00000014787
tupaia_belangeri ENSTBEG00000015231
neovison_vison ENSNVIG00000001762
mustela_putorius_furo ENSMPUG00000013142
ailuropoda_melanoleuca ENSAMEG00000010571
canis_lupus_dingo ENSCAFG00020002773
vulpes_vulpes ENSVVUG00000022620
canis_lupus_familiaris ENSCAFG00000001385
panthera_tigris_altaica ENSPTIG00000016564
panthera_pardus ENSPPRG00000007472
felis_catus ENSFCAG00000002819
equus_caballus ENSECAG00000006137
equus_asinus_asinus ENSEASG00005018761
bos_mutus ENSBMUG00000026388
bison_bison_bison ENSBBBG00000005333
bos_taurus ENSBTAG00000010573
capra_hircus ENSCHIG00000022945
ovis_aries ENSOARG00000015674
tursiops_truncatus ENSTTRG00000005625
sus_scrofa ENSSSCG00000035577
vicugna_pacos ENSVPAG00000001481
erinaceus_europaeus ENSEEUG00000013036
pteropus_vampyrus ENSPVAG00000010139
choloepus_hoffmanni ENSCHOG00000003088
dasypus_novemcinctus ENSDNOG00000038419
dasypus_novemcinctus ENSDNOG00000017708
loxodonta_africana ENSLAFG00000016113
procavia_capensis ENSPCAG00000016225
echinops_telfairi ENSETEG00000008186
notamacropus_eugenii ENSMEUG00000002062
phascolarctos_cinereus ENSPCIG00000015975
sarcophilus_harrisii ENSSHAG00000001759
monodelphis_domestica ENSMODG00000009641
ornithorhynchus_anatinus ENSOANG00000010573
