maylandia_zebra ENSMZEG00005022638
neolamprologus_brichardi ENSNBRG00000024354
acanthochromis_polyacanthus ENSAPOG00000016132
seriola_dumerili ENSSDUG00000005323
equus_asinus_asinus ENSEASG00005010623
equus_caballus ENSECAG00000005171
equus_asinus_asinus ENSEASG00005010619
equus_asinus_asinus ENSEASG00005010618
equus_caballus ENSECAG00000011512
equus_asinus_asinus ENSEASG00005010616
meriones_unguiculatus ENSMUGG00000020464
canis_lupus_familiaris ENSCAFG00000030032
vulpes_vulpes ENSVVUG00000023297
tupaia_belangeri ENSTBEG00000000929
ursus_maritimus ENSUMAG00000003605
ursus_americanus ENSUAMG00000023460
neovison_vison ENSNVIG00000021005
mustela_putorius_furo ENSMPUG00000013723
canis_lupus_dingo ENSCAFG00020023686
canis_lupus_dingo ENSCAFG00020021541
vulpes_vulpes ENSVVUG00000007103
felis_catus ENSFCAG00000044674
ursus_maritimus ENSUMAG00000003601
ursus_americanus ENSUAMG00000023458
vulpes_vulpes ENSVVUG00000018641
equus_asinus_asinus ENSEASG00005002671
myotis_lucifugus ENSMLUG00000009277
ailuropoda_melanoleuca ENSAMEG00000006661
ovis_aries ENSOARG00000002670
pan_troglodytes ENSPTRG00000047693
ovis_aries ENSOARG00000003440
dasypus_novemcinctus ENSDNOG00000041660
choloepus_hoffmanni ENSCHOG00000011985
dasypus_novemcinctus ENSDNOG00000044315
procavia_capensis ENSPCAG00000009056
mustela_putorius_furo ENSMPUG00000013725
neovison_vison ENSNVIG00000021017
canis_lupus_familiaris ENSCAFG00000001784
canis_lupus_dingo ENSCAFG00020023683
vulpes_vulpes ENSVVUG00000007117
ursus_americanus ENSUAMG00000023462
ursus_maritimus ENSUMAG00000003611
ailuropoda_melanoleuca ENSAMEG00000004509
panthera_tigris_altaica ENSPTIG00000011038
panthera_pardus ENSPPRG00000008915
felis_catus ENSFCAG00000022219
pteropus_vampyrus ENSPVAG00000005474
ovis_aries ENSOARG00000007879
capra_hircus ENSCHIG00000016822
bos_mutus ENSBMUG00000019052
bison_bison_bison ENSBBBG00000023051
bos_taurus ENSBTAG00000025124
tursiops_truncatus ENSTTRG00000000583
sus_scrofa ENSSSCG00000021371
equus_asinus_asinus ENSEASG00005002673
equus_caballus ENSECAG00000008211
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007766
chinchilla_lanigera ENSCLAG00000010228
castor_canadensis ENSCCNG00000015406
castor_canadensis ENSCCNG00000015420
urocitellus_parryii ENSUPAG00010005173
spermophilus_dauricus ENSSDAG00000002114
ictidomys_tridecemlineatus ENSSTOG00000030911
marmota_marmota_marmota ENSMMMG00000019706
tupaia_belangeri ENSTBEG00000014476
pan_paniscus ENSPPAG00000031459
pan_troglodytes ENSPTRG00000017426
gorilla_gorilla ENSGGOG00000008304
homo_sapiens ENSG00000145908
pongo_abelii ENSPPYG00000015957
nomascus_leucogenys ENSNLEG00000010439
rhinopithecus_bieti ENSRBIG00000044234
rhinopithecus_roxellana ENSRROG00000033873
piliocolobus_tephrosceles ENSPTEG00000018507
colobus_angolensis_palliatus ENSCANG00000041826
macaca_fascicularis ENSMFAG00000041051
macaca_nemestrina ENSMNEG00000037153
macaca_mulatta ENSMMUG00000012696
chlorocebus_sabaeus ENSCSAG00000011310
theropithecus_gelada ENSTGEG00000004712
mandrillus_leucophaeus ENSMLEG00000041975
papio_anubis ENSPANG00000026071
cercocebus_atys ENSCATG00000006978
saimiri_boliviensis_boliviensis ENSSBOG00000025368
cebus_capucinus_imitator ENSCCAG00000000284
callithrix_jacchus ENSCJAG00000020930
aotus_nancymaae ENSANAG00000029643
carlito_syrichta ENSTSYG00000034758
prolemur_simus ENSPSMG00000023364
microcebus_murinus ENSMICG00000037632
propithecus_coquereli ENSPCOG00000001289
otolemur_garnettii ENSOGAG00000031549
