heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016116
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004720
fukomys_damarensis ENSFDAG00000005962
chinchilla_lanigera ENSCLAG00000008006
cavia_porcellus ENSCPOG00000030774
octodon_degus ENSODEG00000010801
urocitellus_parryii ENSUPAG00010023361
ictidomys_tridecemlineatus ENSSTOG00000031351
marmota_marmota_marmota ENSMMMG00000004319
castor_canadensis ENSCCNG00000008111
oryctolagus_cuniculus ENSOCUG00000000576
ochotona_princeps ENSOPRG00000007543
tupaia_belangeri ENSTBEG00000010215
pan_paniscus ENSPPAG00000003026
pan_troglodytes ENSPTRG00000022681
homo_sapiens ENSG00000198040
gorilla_gorilla ENSGGOG00000036973
gorilla_gorilla ENSGGOG00000004156
pongo_abelii ENSPPYG00000005152
nomascus_leucogenys ENSNLEG00000012472
macaca_fascicularis ENSMFAG00000033974
macaca_nemestrina ENSMNEG00000033401
macaca_mulatta ENSMMUG00000013867
mandrillus_leucophaeus ENSMLEG00000044237
cercocebus_atys ENSCATG00000036128
theropithecus_gelada ENSTGEG00000001239
papio_anubis ENSPANG00000013322
chlorocebus_sabaeus ENSCSAG00000001817
rhinopithecus_roxellana ENSRROG00000025288
rhinopithecus_bieti ENSRBIG00000031574
piliocolobus_tephrosceles ENSPTEG00000030915
colobus_angolensis_palliatus ENSCANG00000032066
cebus_capucinus_imitator ENSCCAG00000023249
saimiri_boliviensis_boliviensis ENSSBOG00000023381
callithrix_jacchus ENSCJAG00000045434
aotus_nancymaae ENSANAG00000025084
carlito_syrichta ENSTSYG00000028281
propithecus_coquereli ENSPCOG00000018763
microcebus_murinus ENSMICG00000031977
prolemur_simus ENSPSMG00000016295
otolemur_garnettii ENSOGAG00000009951
ursus_americanus ENSUAMG00000007493
ursus_maritimus ENSUMAG00000001038
ailuropoda_melanoleuca ENSAMEG00000013372
neovison_vison ENSNVIG00000021993
canis_lupus_dingo ENSCAFG00020009807
canis_lupus_familiaris ENSCAFG00000031048
vulpes_vulpes ENSVVUG00000007791
panthera_pardus ENSPPRG00000006449
panthera_tigris_altaica ENSPTIG00000016750
felis_catus ENSFCAG00000046230
equus_asinus_asinus ENSEASG00005016745
equus_caballus ENSECAG00000008278
pteropus_vampyrus ENSPVAG00000014536
ovis_aries ENSOARG00000008472
capra_hircus ENSCHIG00000021018
bos_taurus ENSBTAG00000013001
bos_mutus ENSBMUG00000015555
bison_bison_bison ENSBBBG00000017294
tursiops_truncatus ENSTTRG00000004351
sus_scrofa ENSSSCG00000009729
vicugna_pacos ENSVPAG00000011392
sorex_araneus ENSSARG00000003182
dasypus_novemcinctus ENSDNOG00000031471
choloepus_hoffmanni ENSCHOG00000009861
procavia_capensis ENSPCAG00000014266
