chelonoidis_abingdonii ENSCABG00000002216
gopherus_agassizii ENSGAGG00000001411
chrysemys_picta_bellii ENSCPBG00000025543
pelodiscus_sinensis ENSPSIG00000002678
apteryx_haastii ENSAHAG00000013725
anser_brachyrhynchus ENSABRG00000020710
sphenodon_punctatus ENSSPUG00000001490
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019502
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014863
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020343
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020363
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010606
fukomys_damarensis ENSFDAG00000001177
chinchilla_lanigera ENSCLAG00000004397
octodon_degus ENSODEG00000018704
octodon_degus ENSODEG00000019016
octodon_degus ENSODEG00000019797
dipodomys_ordii ENSDORG00000025254
meriones_unguiculatus ENSMUGG00000000492
peromyscus_maniculatus_bairdii ENSPEMG00000026984
urocitellus_parryii ENSUPAG00010010663
microcebus_murinus ENSMICG00000047834
octodon_degus ENSODEG00000019074
piliocolobus_tephrosceles ENSPTEG00000036512
felis_catus ENSFCAG00000042900
panthera_pardus ENSPPRG00000017683
bison_bison_bison ENSBBBG00000015480
piliocolobus_tephrosceles ENSPTEG00000037145
colobus_angolensis_palliatus ENSCANG00000035969
macaca_mulatta ENSMMUG00000044651
theropithecus_gelada ENSTGEG00000000896
equus_asinus_asinus ENSEASG00005016264
equus_caballus ENSECAG00000040466
phascolarctos_cinereus ENSPCIG00000013649
monodelphis_domestica ENSMODG00000025103
sarcophilus_harrisii ENSSHAG00000004017
microtus_ochrogaster ENSMOCG00000013560
rattus_norvegicus ENSRNOG00000031995
ochotona_princeps ENSOPRG00000017353
ochotona_princeps ENSOPRG00000009001
ornithorhynchus_anatinus ENSOANG00000009816
microcebus_murinus ENSMICG00000045175
saimiri_boliviensis_boliviensis ENSSBOG00000030448
bos_taurus ENSBTAG00000053323
bison_bison_bison ENSBBBG00000003178
bison_bison_bison ENSBBBG00000007352
bos_taurus ENSBTAG00000048033
capra_hircus ENSCHIG00000008317
ovis_aries ENSOARG00000005385
capra_hircus ENSCHIG00000000618
capra_hircus ENSCHIG00000006569
capra_hircus ENSCHIG00000020137
capra_hircus ENSCHIG00000000905
bison_bison_bison ENSBBBG00000002719
bos_taurus ENSBTAG00000052483
vulpes_vulpes ENSVVUG00000019342
canis_lupus_dingo ENSCAFG00020007176
panthera_pardus ENSPPRG00000014663
panthera_tigris_altaica ENSPTIG00000005291
felis_catus ENSFCAG00000024907
cavia_porcellus ENSCPOG00000031620
equus_asinus_asinus ENSEASG00005011853
erinaceus_europaeus ENSEEUG00000007477
chlorocebus_sabaeus ENSCSAG00000019003
homo_sapiens ENSG00000188725
otolemur_garnettii ENSOGAG00000010010
sorex_araneus ENSSARG00000006643
sus_scrofa ENSSSCG00000037073
jaculus_jaculus ENSJJAG00000013168
jaculus_jaculus ENSJJAG00000011579
jaculus_jaculus ENSJJAG00000011590
jaculus_jaculus ENSJJAG00000015185
carlito_syrichta ENSTSYG00000013502
panthera_tigris_altaica ENSPTIG00000006389
panthera_pardus ENSPPRG00000021285
rhinopithecus_roxellana ENSRROG00000037324
macaca_mulatta ENSMMUG00000021815
cebus_capucinus_imitator ENSCCAG00000031562
microcebus_murinus ENSMICG00000041543
myotis_lucifugus ENSMLUG00000008614
prolemur_simus ENSPSMG00000015138
panthera_tigris_altaica ENSPTIG00000009554
choloepus_hoffmanni ENSCHOG00000013976
sus_scrofa ENSSSCG00000033534
sus_scrofa ENSSSCG00000033047
equus_caballus ENSECAG00000006252
mustela_putorius_furo ENSMPUG00000020042
papio_anubis ENSPANG00000034419
theropithecus_gelada ENSTGEG00000015277
microcebus_murinus ENSMICG00000028275
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018876
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015947
mesocricetus_auratus ENSMAUG00000012856
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071180
mus_spicilegus ENSMSIG00000000287
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019755
nannospalax_galili ENSNGAG00000024020
cricetulus_griseus_crigri-picr ENSCGRG00015002371
cricetulus_griseus_crigri_1.0 ENSCGRG00000002762
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019168
peromyscus_maniculatus_bairdii ENSPEMG00000030811
castor_canadensis ENSCCNG00000009409
pan_paniscus ENSPPAG00000025331
macaca_fascicularis ENSMFAG00000018925
aotus_nancymaae ENSANAG00000019641
castor_canadensis ENSCCNG00000024174
oryctolagus_cuniculus ENSOCUG00000004528
choloepus_hoffmanni ENSCHOG00000004780
dasypus_novemcinctus ENSDNOG00000038371
equus_caballus ENSECAG00000033425
equus_asinus_asinus ENSEASG00005012201
ailuropoda_melanoleuca ENSAMEG00000018903
nannospalax_galili ENSNGAG00000014283
nannospalax_galili ENSNGAG00000002539
peromyscus_maniculatus_bairdii ENSPEMG00000030382
tupaia_belangeri ENSTBEG00000001685
choloepus_hoffmanni ENSCHOG00000013272
marmota_marmota_marmota ENSMMMG00000008025
marmota_marmota_marmota ENSMMMG00000017396
ictidomys_tridecemlineatus ENSSTOG00000033191
spermophilus_dauricus ENSSDAG00000008301
nannospalax_galili ENSNGAG00000018243
prolemur_simus ENSPSMG00000014657
oryctolagus_cuniculus ENSOCUG00000008938
canis_lupus_dingo ENSCAFG00020023816
canis_lupus_familiaris ENSCAFG00000007166
vulpes_vulpes ENSVVUG00000000544
ursus_maritimus ENSUMAG00000008886
neovison_vison ENSNVIG00000008139
felis_catus ENSFCAG00000031689
sus_scrofa ENSSSCG00000033024
sus_scrofa ENSSSCG00000033814
tursiops_truncatus ENSTTRG00000004457
rhinopithecus_bieti ENSRBIG00000030126
colobus_angolensis_palliatus ENSCANG00000011143
mandrillus_leucophaeus ENSMLEG00000027450
pongo_abelii ENSPPYG00000015492
