amphiprion_percula ENSAPEG00000006330
amphiprion_ocellaris ENSAOCG00000011118
acanthochromis_polyacanthus ENSAPOG00000016928
stegastes_partitus ENSSPAG00000009466
labrus_bergylta ENSLBEG00000003233
seriola_lalandi_dorsalis ENSSLDG00000010506
seriola_dumerili ENSSDUG00000018082
gasterosteus_aculeatus ENSGACG00000004802
cynoglossus_semilaevis ENSCSEG00000011856
xiphophorus_maculatus ENSXMAG00000002604
xiphophorus_couchianus ENSXCOG00000010710
gambusia_affinis ENSGAFG00000006041
poecilia_formosa ENSPFOG00000019566
poecilia_mexicana ENSPMEG00000013047
poecilia_reticulata ENSPREG00000007657
poecilia_latipinna ENSPLAG00000012142
fundulus_heteroclitus ENSFHEG00000023181
cyprinodon_variegatus ENSCVAG00000022897
kryptolebias_marmoratus ENSKMAG00000015180
oryzias_latipes_asm223469v1 ENSORLG00015010112
oryzias_latipes_asm223467v1 ENSORLG00000017301
oryzias_latipes_asm223471v1 ENSORLG00020017751
oryzias_melastigma ENSOMEG00000013676
monopterus_albus ENSMALG00000002828
mastacembelus_armatus ENSMAMG00000004009
anabas_testudineus ENSATEG00000008261
mola_mola ENSMMOG00000006226
takifugu_rubripes ENSTRUG00000025504
maylandia_zebra ENSMZEG00005001874
pundamilia_nyererei ENSPNYG00000002570
haplochromis_burtoni ENSHBUG00000019463
astatotilapia_calliptera ENSACLG00000002482
neolamprologus_brichardi ENSNBRG00000009508
oreochromis_niloticus ENSONIG00000012557
amphilophus_citrinellus ENSACIG00000017319
scophthalmus_maximus ENSSMAG00000015038
hippocampus_comes ENSHCOG00000008898
periophthalmus_magnuspinnatus ENSPMGG00000008053
gadus_morhua ENSGMOG00000002202
esox_lucius ENSELUG00000006283
pygocentrus_nattereri ENSPNAG00000018861
astyanax_mexicanus ENSAMXG00000030996
ictalurus_punctatus ENSIPUG00000007479
danio_rerio ENSDARG00000070391
paramormyrops_kingsleyae ENSPKIG00000019030
scleropages_formosus ENSSFOG00015006281
lepisosteus_oculatus ENSLOCG00000017164
anolis_carolinensis ENSACAG00000004926
pogona_vitticeps ENSPVIG00000015465
notechis_scutatus ENSNSUG00000005869
salvator_merianae ENSSMRG00000004222
sphenodon_punctatus ENSSPUG00000003318
gopherus_agassizii ENSGAGG00000006210
chelonoidis_abingdonii ENSCABG00000018606
chrysemys_picta_bellii ENSCPBG00000006631
xenopus_tropicalis ENSXETG00000002879
latimeria_chalumnae ENSLACG00000016143
