jaculus_jaculus ENSJJAG00000012573
mesocricetus_auratus ENSMAUG00000017914
dipodomys_ordii ENSDORG00000006617
octodon_degus ENSODEG00000018754
octodon_degus ENSODEG00000005931
fukomys_damarensis ENSFDAG00000010485
oryctolagus_cuniculus ENSOCUG00000027945
microcebus_murinus ENSMICG00000046287
canis_lupus_dingo ENSCAFG00020004023
vulpes_vulpes ENSVVUG00000019628
phascolarctos_cinereus ENSPCIG00000030884
ornithorhynchus_anatinus ENSOANG00000014811
calidris_pygmaea ENSCPGG00000015498
calidris_pygmaea ENSCPGG00000008264
apteryx_owenii ENSAOWG00000014066
apteryx_haastii ENSAHAG00000007604
apteryx_rowi ENSARWG00000017137
dromaius_novaehollandiae ENSDNVG00000014157
nothoprocta_perdicaria ENSNPEG00000009232
crocodylus_porosus ENSCPRG00005015541
gopherus_agassizii ENSGAGG00000001122
chelonoidis_abingdonii ENSCABG00000015582
chrysemys_picta_bellii ENSCPBG00000001671
pelodiscus_sinensis ENSPSIG00000017006
pogona_vitticeps ENSPVIG00000010971
notechis_scutatus ENSNSUG00000013251
salvator_merianae ENSSMRG00000002904
sphenodon_punctatus ENSSPUG00000017571
notechis_scutatus ENSNSUG00000006503
eptatretus_burgeri ENSEBUG00000002085
