fukomys_damarensis ENSFDAG00000002420
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009254
chinchilla_lanigera ENSCLAG00000007617
cavia_porcellus ENSCPOG00000011911
ictidomys_tridecemlineatus ENSSTOG00000010731
marmota_marmota_marmota ENSMMMG00000006340
urocitellus_parryii ENSUPAG00010006809
spermophilus_dauricus ENSSDAG00000019376
nannospalax_galili ENSNGAG00000008617
octodon_degus ENSODEG00000011077
cavia_aperea ENSCAPG00000014233
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005480
prolemur_simus ENSPSMG00000003348
capra_hircus ENSCHIG00000026637
ovis_aries ENSOARG00000001002
bos_taurus ENSBTAG00000046943
sus_scrofa ENSSSCG00000007596
equus_caballus ENSECAG00000000243
equus_asinus_asinus ENSEASG00005000807
ailuropoda_melanoleuca ENSAMEG00000008965
canis_lupus_dingo ENSCAFG00020016892
jaculus_jaculus ENSJJAG00000018779
dipodomys_ordii ENSDORG00000012852
erinaceus_europaeus ENSEEUG00000006188
sorex_araneus ENSSARG00000001886
callithrix_jacchus ENSCJAG00000015258
saimiri_boliviensis_boliviensis ENSSBOG00000021103
cebus_capucinus_imitator ENSCCAG00000027694
aotus_nancymaae ENSANAG00000024814
colobus_angolensis_palliatus ENSCANG00000034984
colobus_angolensis_palliatus ENSCANG00000035526
piliocolobus_tephrosceles ENSPTEG00000020957
gorilla_gorilla ENSGGOG00000009068
homo_sapiens ENSG00000122543
pan_troglodytes ENSPTRG00000018896
homo_sapiens ENSG00000135175
gorilla_gorilla ENSGGOG00000022595
pan_troglodytes ENSPTRG00000019432
pongo_abelii ENSPPYG00000017340
macaca_mulatta ENSMMUG00000017181
macaca_fascicularis ENSMFAG00000042673
macaca_nemestrina ENSMNEG00000036828
mandrillus_leucophaeus ENSMLEG00000037262
cercocebus_atys ENSCATG00000042940
papio_anubis ENSPANG00000009446
theropithecus_gelada ENSTGEG00000011189
theropithecus_gelada ENSTGEG00000011230
macaca_fascicularis ENSMFAG00000036278
papio_anubis ENSPANG00000033390
pan_troglodytes ENSPTRG00000049686
pan_troglodytes ENSPTRG00000043094
pongo_abelii ENSPPYG00000018277
carlito_syrichta ENSTSYG00000009390
propithecus_coquereli ENSPCOG00000017766
microcebus_murinus ENSMICG00000042503
otolemur_garnettii ENSOGAG00000007674
cricetulus_griseus_crigri-picr ENSCGRG00015014792
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020230
cricetulus_griseus_crigri_1.0 ENSCGRG00000010316
mesocricetus_auratus ENSMAUG00000016041
peromyscus_maniculatus_bairdii ENSPEMG00000023404
microtus_ochrogaster ENSMOCG00000005057
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029618
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028997
mus_spicilegus ENSMSIG00000029288
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027994
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024565
rattus_norvegicus ENSRNOG00000001031
meriones_unguiculatus ENSMUGG00000000442
castor_canadensis ENSCCNG00000003986
loxodonta_africana ENSLAFG00000027808
pteropus_vampyrus ENSPVAG00000010089
pteropus_vampyrus ENSPVAG00000010917
myotis_lucifugus ENSMLUG00000009432
bison_bison_bison ENSBBBG00000010109
bos_mutus ENSBMUG00000014529
tursiops_truncatus ENSTTRG00000005274
vicugna_pacos ENSVPAG00000011090
ursus_maritimus ENSUMAG00000009054
ursus_americanus ENSUAMG00000018834
neovison_vison ENSNVIG00000006417
mustela_putorius_furo ENSMPUG00000016568
canis_lupus_familiaris ENSCAFG00000015446
vulpes_vulpes ENSVVUG00000015131
panthera_tigris_altaica ENSPTIG00000009441
panthera_pardus ENSPPRG00000001866
felis_catus ENSFCAG00000000313
choloepus_hoffmanni ENSCHOG00000002573
oryctolagus_cuniculus ENSOCUG00000007419
ochotona_princeps ENSOPRG00000005230
dasypus_novemcinctus ENSDNOG00000007139
echinops_telfairi ENSETEG00000011129
