xiphophorus_maculatus ENSXMAG00000020181
xiphophorus_couchianus ENSXCOG00000011136
poecilia_latipinna ENSPLAG00000001122
fundulus_heteroclitus ENSFHEG00000000181
cyprinodon_variegatus ENSCVAG00000003261
hippocampus_comes ENSHCOG00000000143
anabas_testudineus ENSATEG00000013435
astatotilapia_calliptera ENSACLG00000024205
maylandia_zebra ENSMZEG00005009696
pundamilia_nyererei ENSPNYG00000011900
haplochromis_burtoni ENSHBUG00000008891
neolamprologus_brichardi ENSNBRG00000009904
amphilophus_citrinellus ENSACIG00000017361
acanthochromis_polyacanthus ENSAPOG00000001603
mastacembelus_armatus ENSMAMG00000014769
seriola_lalandi_dorsalis ENSSLDG00000025062
cynoglossus_semilaevis ENSCSEG00000021090
labrus_bergylta ENSLBEG00000017556
oryzias_latipes_asm223467v1 ENSORLG00000026998
poecilia_formosa ENSPFOG00000024226
poecilia_reticulata ENSPREG00000001356
poecilia_mexicana ENSPMEG00000019639
kryptolebias_marmoratus ENSKMAG00000003259
oryzias_latipes_asm223469v1 ENSORLG00015017718
oryzias_latipes_asm223471v1 ENSORLG00020018298
oryzias_melastigma ENSOMEG00000004300
amphiprion_ocellaris ENSAOCG00000010590
stegastes_partitus ENSSPAG00000007773
amphiprion_percula ENSAPEG00000011829
seriola_dumerili ENSSDUG00000006910
mola_mola ENSMMOG00000005600
oreochromis_niloticus ENSONIG00000020566
monopterus_albus ENSMALG00000001289
scophthalmus_maximus ENSSMAG00000005541
takifugu_rubripes ENSTRUG00000025371
periophthalmus_magnuspinnatus ENSPMGG00000003126
esox_lucius ENSELUG00000015121
pygocentrus_nattereri ENSPNAG00000016184
astyanax_mexicanus ENSAMXG00000025930
ictalurus_punctatus ENSIPUG00000005886
danio_rerio ENSDARG00000075043
scleropages_formosus ENSSFOG00015017415
lepisosteus_oculatus ENSLOCG00000009144
paramormyrops_kingsleyae ENSPKIG00000013137
scleropages_formosus ENSSFOG00015013502
paramormyrops_kingsleyae ENSPKIG00000014970
apteryx_haastii ENSAHAG00000003665
apteryx_rowi ENSARWG00000003129
apteryx_owenii ENSAOWG00000001251
dromaius_novaehollandiae ENSDNVG00000018205
nothoprocta_perdicaria ENSNPEG00000012678
junco_hyemalis ENSJHYG00000010991
serinus_canaria ENSSCAG00000014492
ficedula_albicollis ENSFALG00000014847
parus_major ENSPMJG00000009120
cyanistes_caeruleus ENSCCEG00000021122
lonchura_striata_domestica ENSLSDG00000010130
lepidothrix_coronata ENSLCOG00000006190
calidris_pygmaea ENSCPGG00000005130
calidris_pugnax ENSCPUG00000009839
melopsittacus_undulatus ENSMUNG00000000313
manacus_vitellinus ENSMVIG00005002347
anser_brachyrhynchus ENSABRG00000007795
anas_platyrhynchos_platyrhynchos ENSAPLG00000027271
meleagris_gallopavo ENSMGAG00000016247
coturnix_japonica ENSCJPG00005009003
gallus_gallus ENSGALG00000025851
numida_meleagris ENSNMEG00000014423
crocodylus_porosus ENSCPRG00005013008
chrysemys_picta_bellii ENSCPBG00000004935
chelonoidis_abingdonii ENSCABG00000007432
pelodiscus_sinensis ENSPSIG00000010978
sphenodon_punctatus ENSSPUG00000009383
anolis_carolinensis ENSACAG00000026743
notechis_scutatus ENSNSUG00000012552
pogona_vitticeps ENSPVIG00000018318
salvator_merianae ENSSMRG00000012960
tupaia_belangeri ENSTBEG00000003184
ochotona_princeps ENSOPRG00000016077
sorex_araneus ENSSARG00000013809
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009969
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006616
fukomys_damarensis ENSFDAG00000019695
chinchilla_lanigera ENSCLAG00000017649
octodon_degus ENSODEG00000003246
cavia_porcellus ENSCPOG00000010370
urocitellus_parryii ENSUPAG00010010391
ictidomys_tridecemlineatus ENSSTOG00000002493
spermophilus_dauricus ENSSDAG00000005983
marmota_marmota_marmota ENSMMMG00000006319
castor_canadensis ENSCCNG00000015967
dipodomys_ordii ENSDORG00000002588
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029455
mus_spicilegus ENSMSIG00000010400
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045441
