ficedula_albicollis ENSFALG00000006584
cyanistes_caeruleus ENSCCEG00000005881
numida_meleagris ENSNMEG00000002492
mustela_putorius_furo ENSMPUG00000005822
myotis_lucifugus ENSMLUG00000025701
rhinopithecus_bieti ENSRBIG00000039271
callithrix_jacchus ENSCJAG00000041544
cavia_aperea ENSCAPG00000010971
microtus_ochrogaster ENSMOCG00000012763
monodelphis_domestica ENSMODG00000003254
sarcophilus_harrisii ENSSHAG00000003771
pogona_vitticeps ENSPVIG00000022781
chrysemys_picta_bellii ENSCPBG00000025750
anabas_testudineus ENSATEG00000001875
mastacembelus_armatus ENSMAMG00000015334
oryzias_latipes_asm223469v1 ENSORLG00015004450
oryzias_latipes_asm223467v1 ENSORLG00000024017
amphilophus_citrinellus ENSACIG00000013562
cynoglossus_semilaevis ENSCSEG00000004198
labrus_bergylta ENSLBEG00000001271
stegastes_partitus ENSSPAG00000023097
oryzias_latipes_asm223467v1 ENSORLG00000027923
astatotilapia_calliptera ENSACLG00000020133
haplochromis_burtoni ENSHBUG00000003113
maylandia_zebra ENSMZEG00005012296
pundamilia_nyererei ENSPNYG00000018424
anabas_testudineus ENSATEG00000008031
mastacembelus_armatus ENSMAMG00000014188
seriola_dumerili ENSSDUG00000011979
seriola_lalandi_dorsalis ENSSLDG00000000888
cynoglossus_semilaevis ENSCSEG00000021137
takifugu_rubripes ENSTRUG00000004916
esox_lucius ENSELUG00000003724
notechis_scutatus ENSNSUG00000001638
eptatretus_burgeri ENSEBUG00000014576
