echinops_telfairi ENSETEG00000009961
procavia_capensis ENSPCAG00000009622
loxodonta_africana ENSLAFG00000006995
ursus_americanus ENSUAMG00000000286
ursus_maritimus ENSUMAG00000006807
ailuropoda_melanoleuca ENSAMEG00000020097
canis_lupus_dingo ENSCAFG00020016620
neovison_vison ENSNVIG00000005094
sus_scrofa ENSSSCG00000031295
papio_anubis ENSPANG00000000062
cercocebus_atys ENSCATG00000020187
macaca_fascicularis ENSMFAG00000029928
macaca_mulatta ENSMMUG00000040519
macaca_nemestrina ENSMNEG00000013588
theropithecus_gelada ENSTGEG00000009822
mandrillus_leucophaeus ENSMLEG00000022536
rhinopithecus_roxellana ENSRROG00000028523
rhinopithecus_bieti ENSRBIG00000021343
colobus_angolensis_palliatus ENSCANG00000038374
piliocolobus_tephrosceles ENSPTEG00000035153
homo_sapiens ENSG00000166002
gorilla_gorilla ENSGGOG00000011166
pan_troglodytes ENSPTRG00000046135
pan_paniscus ENSPPAG00000016913
nomascus_leucogenys ENSNLEG00000027353
pongo_abelii ENSPPYG00000003771
chlorocebus_sabaeus ENSCSAG00000000608
cebus_capucinus_imitator ENSCCAG00000019420
callithrix_jacchus ENSCJAG00000045722
saimiri_boliviensis_boliviensis ENSSBOG00000011877
aotus_nancymaae ENSANAG00000015761
piliocolobus_tephrosceles ENSPTEG00000025068
theropithecus_gelada ENSTGEG00000015674
pan_troglodytes ENSPTRG00000043630
propithecus_coquereli ENSPCOG00000026449
microcebus_murinus ENSMICG00000017877
oryctolagus_cuniculus ENSOCUG00000015530
ochotona_princeps ENSOPRG00000014422
cricetulus_griseus_crigri_1.0 ENSCGRG00000011808
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013247
cricetulus_griseus_crigri-picr ENSCGRG00015003094
mesocricetus_auratus ENSMAUG00000000425
peromyscus_maniculatus_bairdii ENSPEMG00000027427
microtus_ochrogaster ENSMOCG00000006274
mus_spicilegus ENSMSIG00000015880
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058173
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031798
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032917
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014674
rattus_norvegicus ENSRNOG00000011162
meriones_unguiculatus ENSMUGG00000026775
nannospalax_galili ENSNGAG00000019710
jaculus_jaculus ENSJJAG00000000940
cavia_aperea ENSCAPG00000000697
cavia_porcellus ENSCPOG00000032286
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000671
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020948
fukomys_damarensis ENSFDAG00000002658
chinchilla_lanigera ENSCLAG00000011932
octodon_degus ENSODEG00000018804
spermophilus_dauricus ENSSDAG00000012975
ictidomys_tridecemlineatus ENSSTOG00000008008
marmota_marmota_marmota ENSMMMG00000004447
dipodomys_ordii ENSDORG00000001107
castor_canadensis ENSCCNG00000028441
carlito_syrichta ENSTSYG00000012967
panthera_tigris_altaica ENSPTIG00000010019
panthera_pardus ENSPPRG00000015134
felis_catus ENSFCAG00000013712
myotis_lucifugus ENSMLUG00000006975
equus_asinus_asinus ENSEASG00005012324
equus_caballus ENSECAG00000035706
tupaia_belangeri ENSTBEG00000009207
prolemur_simus ENSPSMG00000021635
otolemur_garnettii ENSOGAG00000016748
bos_mutus ENSBMUG00000017105
bos_taurus ENSBTAG00000033621
bison_bison_bison ENSBBBG00000013502
capra_hircus ENSCHIG00000002094
ovis_aries ENSOARG00000014370
tursiops_truncatus ENSTTRG00000004636
sorex_araneus ENSSARG00000008815
erinaceus_europaeus ENSEEUG00000014220
dasypus_novemcinctus ENSDNOG00000014946
pogona_vitticeps ENSPVIG00000008743
anolis_carolinensis ENSACAG00000014597
notechis_scutatus ENSNSUG00000018145
salvator_merianae ENSSMRG00000009779
sphenodon_punctatus ENSSPUG00000015813
lepidothrix_coronata ENSLCOG00000014068
manacus_vitellinus ENSMVIG00005012265
taeniopygia_guttata ENSTGUG00000012859
lonchura_striata_domestica ENSLSDG00000000226
serinus_canaria ENSSCAG00000003568
junco_hyemalis ENSJHYG00000017803
zonotrichia_albicollis ENSZALG00000014278
ficedula_albicollis ENSFALG00000014226
parus_major ENSPMJG00000017893
cyanistes_caeruleus ENSCCEG00000000012
gallus_gallus ENSGALG00000026639
meleagris_gallopavo ENSMGAG00000015617
numida_meleagris ENSNMEG00000019716
anser_brachyrhynchus ENSABRG00000022697
melopsittacus_undulatus ENSMUNG00000002791
calidris_pygmaea ENSCPGG00000006824
crocodylus_porosus ENSCPRG00005015426
gopherus_agassizii ENSGAGG00000022586
chelonoidis_abingdonii ENSCABG00000011621
pelodiscus_sinensis ENSPSIG00000001523
phascolarctos_cinereus ENSPCIG00000003565
monodelphis_domestica ENSMODG00000024310
apteryx_haastii ENSAHAG00000000267
apteryx_owenii ENSAOWG00000010926
apteryx_rowi ENSARWG00000000968
dromaius_novaehollandiae ENSDNVG00000016867
nothoprocta_perdicaria ENSNPEG00000012608
xenopus_tropicalis ENSXETG00000024646
paramormyrops_kingsleyae ENSPKIG00000022063
scleropages_formosus ENSSFOG00015015402
oryzias_latipes_asm223469v1 ENSORLG00015013544
oryzias_latipes_asm223471v1 ENSORLG00020007692
oryzias_latipes_asm223467v1 ENSORLG00000026161
oryzias_melastigma ENSOMEG00000001257
gasterosteus_aculeatus ENSGACG00000004992
gadus_morhua ENSGMOG00000020586
seriola_dumerili ENSSDUG00000007883
seriola_lalandi_dorsalis ENSSLDG00000018334
takifugu_rubripes ENSTRUG00000006578
labrus_bergylta ENSLBEG00000013580
labrus_bergylta ENSLBEG00000001020
cynoglossus_semilaevis ENSCSEG00000003084
kryptolebias_marmoratus ENSKMAG00000013790
mastacembelus_armatus ENSMAMG00000001151
monopterus_albus ENSMALG00000020181
anabas_testudineus ENSATEG00000002043
scophthalmus_maximus ENSSMAG00000013720
amphiprion_ocellaris ENSAOCG00000011776
amphiprion_percula ENSAPEG00000007556
