nothoprocta_perdicaria ENSNPEG00000004256
apteryx_owenii ENSAOWG00000008946
dromaius_novaehollandiae ENSDNVG00000016205
apteryx_owenii ENSAOWG00000015533
bos_mutus ENSBMUG00000026248
bison_bison_bison ENSBBBG00000006720
bos_taurus ENSBTAG00000001997
capra_hircus ENSCHIG00000012521
capra_hircus ENSCHIG00000002172
ovis_aries ENSOARG00000009007
tursiops_truncatus ENSTTRG00000010949
sus_scrofa ENSSSCG00000021645
vicugna_pacos ENSVPAG00000002545
equus_caballus ENSECAG00000018068
equus_asinus_asinus ENSEASG00005013910
pteropus_vampyrus ENSPVAG00000000935
myotis_lucifugus ENSMLUG00000007613
ursus_americanus ENSUAMG00000018564
ursus_maritimus ENSUMAG00000007341
ailuropoda_melanoleuca ENSAMEG00000015313
mustela_putorius_furo ENSMPUG00000014663
neovison_vison ENSNVIG00000000452
canis_lupus_familiaris ENSCAFG00000018606
canis_lupus_dingo ENSCAFG00020012118
vulpes_vulpes ENSVVUG00000001980
panthera_pardus ENSPPRG00000004540
panthera_tigris_altaica ENSPTIG00000013970
felis_catus ENSFCAG00000015522
sorex_araneus ENSSARG00000001538
erinaceus_europaeus ENSEEUG00000005410
pan_paniscus ENSPPAG00000002482
pan_paniscus ENSPPAG00000040649
pan_troglodytes ENSPTRG00000016825
homo_sapiens ENSG00000171495
gorilla_gorilla ENSGGOG00000002203
pongo_abelii ENSPPYG00000015425
nomascus_leucogenys ENSNLEG00000016538
colobus_angolensis_palliatus ENSCANG00000038289
piliocolobus_tephrosceles ENSPTEG00000021526
rhinopithecus_roxellana ENSRROG00000044370
rhinopithecus_bieti ENSRBIG00000038316
cercocebus_atys ENSCATG00000011334
mandrillus_leucophaeus ENSMLEG00000042724
papio_anubis ENSPANG00000017936
theropithecus_gelada ENSTGEG00000009989
macaca_fascicularis ENSMFAG00000045823
macaca_mulatta ENSMMUG00000004774
macaca_nemestrina ENSMNEG00000044309
chlorocebus_sabaeus ENSCSAG00000016876
saimiri_boliviensis_boliviensis ENSSBOG00000023538
cebus_capucinus_imitator ENSCCAG00000035424
callithrix_jacchus ENSCJAG00000007279
aotus_nancymaae ENSANAG00000027518
carlito_syrichta ENSTSYG00000010393
propithecus_coquereli ENSPCOG00000019914
microcebus_murinus ENSMICG00000012385
prolemur_simus ENSPSMG00000007806
otolemur_garnettii ENSOGAG00000015864
tupaia_belangeri ENSTBEG00000016850
castor_canadensis ENSCCNG00000023112
dipodomys_ordii ENSDORG00000008307
mus_spicilegus ENSMSIG00000031833
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020529
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022155
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019632
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016013
rattus_norvegicus ENSRNOG00000042327
meriones_unguiculatus ENSMUGG00000025911
cricetulus_griseus_crigri_1.0 ENSCGRG00000016263
cricetulus_griseus_crigri-picr ENSCGRG00015019237
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004445
mesocricetus_auratus ENSMAUG00000000313
peromyscus_maniculatus_bairdii ENSPEMG00000011744
microtus_ochrogaster ENSMOCG00000006405
nannospalax_galili ENSNGAG00000018783
jaculus_jaculus ENSJJAG00000024133
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012423
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006059
fukomys_damarensis ENSFDAG00000007125
chinchilla_lanigera ENSCLAG00000008282
octodon_degus ENSODEG00000002798
cavia_porcellus ENSCPOG00000003334
cavia_aperea ENSCAPG00000004189
ictidomys_tridecemlineatus ENSSTOG00000008175
urocitellus_parryii ENSUPAG00010005355
marmota_marmota_marmota ENSMMMG00000017369
spermophilus_dauricus ENSSDAG00000005846
castor_canadensis ENSCCNG00000024127
oryctolagus_cuniculus ENSOCUG00000014097
ochotona_princeps ENSOPRG00000003739
choloepus_hoffmanni ENSCHOG00000005521
dasypus_novemcinctus ENSDNOG00000009137
loxodonta_africana ENSLAFG00000003380
loxodonta_africana ENSLAFG00000027888
procavia_capensis ENSPCAG00000014071
echinops_telfairi ENSETEG00000006571
notamacropus_eugenii ENSMEUG00000006237
phascolarctos_cinereus ENSPCIG00000028633
sarcophilus_harrisii ENSSHAG00000012840
monodelphis_domestica ENSMODG00000020294
ornithorhynchus_anatinus ENSOANG00000002183
ornithorhynchus_anatinus ENSOANG00000004088
