lepisosteus_oculatus ENSLOCG00000009845
scleropages_formosus ENSSFOG00015007461
notamacropus_eugenii ENSMEUG00000003443
phascolarctos_cinereus ENSPCIG00000012233
monodelphis_domestica ENSMODG00000006840
sarcophilus_harrisii ENSSHAG00000004130
pteropus_vampyrus ENSPVAG00000014459
myotis_lucifugus ENSMLUG00000003626
ursus_maritimus ENSUMAG00000016897
ursus_americanus ENSUAMG00000017294
ailuropoda_melanoleuca ENSAMEG00000000609
neovison_vison ENSNVIG00000024321
mustela_putorius_furo ENSMPUG00000015257
canis_lupus_familiaris ENSCAFG00000013852
canis_lupus_dingo ENSCAFG00020026751
vulpes_vulpes ENSVVUG00000010873
panthera_tigris_altaica ENSPTIG00000015210
panthera_pardus ENSPPRG00000002691
felis_catus ENSFCAG00000002164
ovis_aries ENSOARG00000003814
capra_hircus ENSCHIG00000022338
bos_taurus ENSBTAG00000017165
bos_mutus ENSBMUG00000022566
bison_bison_bison ENSBBBG00000013106
tursiops_truncatus ENSTTRG00000016051
sus_scrofa ENSSSCG00000006082
vicugna_pacos ENSVPAG00000008269
equus_caballus ENSECAG00000002579
equus_asinus_asinus ENSEASG00005003231
erinaceus_europaeus ENSEEUG00000014049
sorex_araneus ENSSARG00000004373
ictidomys_tridecemlineatus ENSSTOG00000011440
urocitellus_parryii ENSUPAG00010013247
spermophilus_dauricus ENSSDAG00000008779
marmota_marmota_marmota ENSMMMG00000015779
chinchilla_lanigera ENSCLAG00000005911
octodon_degus ENSODEG00000003867
cavia_aperea ENSCAPG00000008804
cavia_porcellus ENSCPOG00000003062
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017155
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010275
fukomys_damarensis ENSFDAG00000008814
castor_canadensis ENSCCNG00000017211
dipodomys_ordii ENSDORG00000001226
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020617
mus_spicilegus ENSMSIG00000016562
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019721
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019730
rattus_norvegicus ENSRNOG00000006060
meriones_unguiculatus ENSMUGG00000026296
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022796
