theropithecus_gelada ENSTGEG00000002062
macaca_fascicularis ENSMFAG00000036456
chlorocebus_sabaeus ENSCSAG00000017308
rhinopithecus_bieti ENSRBIG00000042878
rhinopithecus_roxellana ENSRROG00000034559
pongo_abelii ENSPPYG00000015347
pan_paniscus ENSPPAG00000042372
homo_sapiens ENSG00000112977
gorilla_gorilla ENSGGOG00000012480
mandrillus_leucophaeus ENSMLEG00000037444
cercocebus_atys ENSCATG00000012211
papio_anubis ENSPANG00000009356
macaca_mulatta ENSMMUG00000001131
callithrix_jacchus ENSCJAG00000046611
saimiri_boliviensis_boliviensis ENSSBOG00000026915
cebus_capucinus_imitator ENSCCAG00000006743
aotus_nancymaae ENSANAG00000033682
tupaia_belangeri ENSTBEG00000015896
tursiops_truncatus ENSTTRG00000005993
pteropus_vampyrus ENSPVAG00000002784
dasypus_novemcinctus ENSDNOG00000033431
