macaca_nemestrina ENSMNEG00000041818
macaca_fascicularis ENSMFAG00000014292
cercocebus_atys ENSCATG00000036348
papio_anubis ENSPANG00000035505
mandrillus_leucophaeus ENSMLEG00000036971
rhinopithecus_bieti ENSRBIG00000036524
rhinopithecus_roxellana ENSRROG00000034063
colobus_angolensis_palliatus ENSCANG00000038099
macaca_mulatta ENSMMUG00000045933
pan_troglodytes ENSPTRG00000043618
pan_paniscus ENSPPAG00000042747
gorilla_gorilla ENSGGOG00000036200
nomascus_leucogenys ENSNLEG00000033502
cebus_capucinus_imitator ENSCCAG00000031175
aotus_nancymaae ENSANAG00000022028
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016311
microtus_ochrogaster ENSMOCG00000008464
mus_spicilegus ENSMSIG00000011138
jaculus_jaculus ENSJJAG00000011499
fukomys_damarensis ENSFDAG00000008713
